host,status,SDE,SDE_raw,FAP,period,period_uncertainty,T0,duration,depth,depth_mean,depth_mean_std,depth_mean_even,depth_mean_odd,odd_even_mismatch,rp_rs,snr,transit_count,distinct_transit_count,empty_transit_count,chi2red_min,depth_consistency_std,secondary_eclipse_depth,transit_shape_ratio,depth_duration_ratio,elapsed_s,st_rad,st_teff,sector,n_sectors_observed,sectors_observed,predicted_probability,in_distribution_univariate,ood_features,multivariate_ood_score,multivariate_ood_flag,in_distribution
TIC_352140701,Success,10.99246154339395,5.622661091060167,8.0032e-05,12.986480843686037,0.0253444563663931,4112.418531082966,0.0282180025010756,0.9989963171697296,0.9983434755685008,0.0004733231231358,0.9962903487209488,0.9999859770465424,4.31949728049279,0.0284908492148127,10.459205682647909,6.0,4.0,2.0,6.817275040788551e-07,0.0021332461520169,1.934596692687585e-05,-0.0918032443717063,35.402800645851876,77.42528170795413,0.770436,4864.0,103,3,"103,102,101",0.9462158144703915,True,,-0.3994013494231065,False,True
TIC_392762103,Success,7.210505425444176,5.111239632130648,0.006642657,9.465153450701006,0.0193866226358156,4106.133567600847,0.0192962700013308,0.9986946154834254,0.9981255350955152,0.0009081122586186,0.9989880826372,0.9973588261695732,0.6641028272696621,0.0324919948261059,5.429235422999211,8.0,8.0,0.0,4.064347361345543e-06,0.0053396135023744,2.667232360764604e-05,-0.1117432271608814,51.75583754863232,75.5115913330228,0.976033,5696.13,103,3,"103,102,101",0.9418413144770266,True,,-0.36893844836332435,False,True
TIC_293901590,Success,8.911588185941088,3.9160402155667526,0.000240096,9.081344810983303,0.0093553483897066,4107.666165021221,0.0155676335928375,0.999529038215849,0.999171210663102,0.0004334036212573,0.9998771212248334,0.9984109992889294,1.5823464928517794,0.0195164121429141,19.422919163587647,8.0,8.0,0.0,4.8732991379007126e-08,0.0022394365900047,4.947099193963744e-06,-0.2736848942788396,64.20558604846147,170.58158862497658,16.3273,4605.0,103,3,"103,102,101",0.9093285398974935,True,,-0.4166393168706842,False,True
TIC_410397673,Success,9.124203013274991,6.977069936086763,8.0032e-05,1.1552717238073966,0.000909630321543,4101.3971435906815,0.020475219473907,0.9999201602479052,0.9999184437110564,1.1399007703807224e-05,0.9999263961681024,0.999910180611157,0.5031593523962947,0.0080355708886538,6.779592764270071,44.0,39.0,5.0,3.7817263105686374e-08,9.848672061381084e-05,1.1427884056391946e-05,0.7250413537108452,48.83562598790065,139.5592880419572,28.212,4545.0,103,3,"103,102,101",0.9001397032972379,True,,-0.46071901760618456,False,True
TIC_380838154,Success,6.538417287530724,6.088639481227707,0.021048419,0.6580493725264321,0.0005885145091137,4153.283166067164,0.0172113341546344,0.9999122806002247,0.9999265172941256,2.054066954278261e-05,0.9999221922930648,0.9999308178601526,0.148476319079125,0.008422770599283,3.400807055519176,37.0,34.0,3.0,1.643975901835157e-07,0.0001203126912417,5.052979887842923e-06,-2.08923712869279,58.09615173446523,50.641205958032515,15.2693,4459.0,103,3,"103,102,101",0.8416287710014094,True,,-0.43068297367199504,False,True
TIC_371836310,Success,8.657449432184,5.898985439743618,0.00040016,2.046102882984696,0.0008569317577056,4101.278674241702,0.0032635958498336,0.99994698012555,0.9998916457723328,4.628299634667015e-05,0.9999186140456628,0.9998646774990032,0.4161962471668879,0.0065482687377262,2.961671640136087,38.0,24.0,14.0,3.2020458670686245e-08,0.0002267394496328,-5.028749441304825e-06,-0.9965400924172708,306.394243079001,154.9556294590002,12.5713,4629.75,103,3,"103,102,101",0.8183895697467498,True,,-0.4681244776367714,False,True
TIC_324608514,Success,14.944056292537416,14.205083626334396,8.0032e-05,1.631249229837927,0.0033939099326628,4101.503137535535,0.0207629686758868,0.9869554853611494,0.9882221971549368,0.0003554686408082,0.9875193977331416,0.989210508841836,1.734900288965254,0.1027119818432611,14.732476146193187,47.0,41.0,6.0,9.701208222036224e-05,0.0029402780292452,0.0012223206195047,0.2608067485887235,47.53441093938331,25.409989750012755,2.10702,7362.0,103,3,"103,102,101",0.6064334693287681,True,,-0.4676557413569071,False,True
TIC_265467908,Success,8.702560454162489,4.953537224787216,0.000240096,13.124730089660575,0.1478231028745664,4111.898406859169,0.0250653176627225,0.993377584653259,0.9829585743498468,0.0053490993764988,0.9937386314078032,0.970638509140754,1.90295834644853,0.0731838671544268,25.52803643560691,5.0,4.0,1.0,6.047214434153499e-06,0.0128546324232556,5.58914727832871e-08,-21.587829954983352,39.63155775722022,27.235835958039388,2.40019,4953.0,103,3,"103,102,101",0.41864960702628407,True,,-0.49283576219363523,False,True
TIC_361861044,Success,10.170618935781205,6.576075614509893,8.0032e-05,12.914162881289505,0.0371265011260364,4101.41576294424,0.0277151035447746,0.999396004893883,0.99894147217255,0.0003747881746703,0.9982184578332992,0.9997757194870708,1.84855931747525,0.022101607228256,5.517353016701462,6.0,6.0,0.0,1.0300523650642845e-06,0.0014733251831449,-4.856395676267056e-06,-1.1633625269861545,36.05961649319935,58.76285566604929,1.57036,8266.0,103,3,"103,102,101",0.3359535157940302,True,,-0.40454782794635014,False,True
TIC_341029467,Success,17.416796090725494,10.784219574637218,8.0032e-05,13.233682699954096,0.0568979774263205,4110.9578139913365,0.042947364516038,0.9983751632960188,1.0002844816909089,0.0007217140748397,1.000552781888626,0.9999203599940067,0.3059661133795021,0.0362503335756344,-3.077695485997498,6.0,5.0,1.0,2.759721755577278e-07,0.0026821203057866,5.183330224367566e-06,-0.6336294685604066,23.246482631622023,38.199235833017156,2.14291,7118.0,103,3,"103,102,101",0.26904072459774786,True,,-0.40786753817025667,False,True
TIC_466679588,Success,9.032285436547363,5.71028579809912,0.000160064,12.98863134542126,0.045780189751353,4112.212916520243,0.0617296694994683,0.9986650559346248,0.9987790359336332,0.0001931327928725,0.9997820735324032,0.9980581026595176,4.745146944387559,0.0328578150958361,16.455898036018137,6.0,5.0,1.0,2.916329579845606e-07,0.0013480292437573,2.9993203649603117e-05,-0.3716107332519882,16.178039896086364,36.4705841250252,1.89522,8161.0,103,3,"103,102,101",0.15603508712721195,True,,-0.410068617707424,False,True
TIC_277800037,Success,11.84226579953805,5.503992494741557,8.0032e-05,3.5843986529895773,0.0133133925288859,4104.426789657334,0.0895638221233129,0.9946462000015874,0.9949863417880336,0.0002543256218417,0.9954082844912436,0.9945672891033388,1.1775249289334897,0.0658018673649628,40.15869811734394,21.0,19.0,2.0,4.441426350817494e-06,0.0019068295560338,-0.0020656308425397,0.7206634459810042,11.105446110061523,21.986509083013516,3.08791,8264.0,103,3,"103,102,101",0.0633321412005505,True,,-0.4320767201034059,False,True
