host,status,SDE,SDE_raw,FAP,period,period_uncertainty,T0,duration,depth,depth_mean,depth_mean_std,depth_mean_even,depth_mean_odd,odd_even_mismatch,rp_rs,snr,transit_count,distinct_transit_count,empty_transit_count,chi2red_min,depth_consistency_std,secondary_eclipse_depth,transit_shape_ratio,depth_duration_ratio,elapsed_s,st_rad,st_teff,sector,n_sectors_observed,sectors_observed,predicted_probability,in_distribution_univariate,ood_features,multivariate_ood_score,multivariate_ood_flag,in_distribution
TIC_406242857,Success,7.103501639682569,5.90491239449787,0.007923169,0.3828054029046762,9.601477102635923e-05,4101.472700002624,0.0093057336436456,0.9926096017677464,0.9922680150630996,0.0017689027006971,0.9894682504421728,0.995067779684026,1.1233630113094302,0.0773109602212726,4.224736129696012,199.0,166.0,33.0,0.0011940827229267,0.0231232762522675,-0.0007083751036363,-0.8335519464115545,106.66645315445255,441.3960707079968,0.18,31000.0,103,3,"103,102,101",0.9329231577985612,False,"transit_count=199 (above training max 78, 155% over); distinct_transit_count=166 (above training max 60, 177% over); empty_transit_count=33 (above training max 32, 3% over); MULTIVARIATE: unusual combination of feature values (anomaly score=-0.570, below the training-calibrated threshold -- individual features may each be in-range, but this specific combination is atypical)",-0.56961218051013,True,False
TIC_343720622,Success,6.233679494584261,5.792700458867387,0.037535014,1.8823443498355843,0.0014646788021495,4102.458803331991,0.0033015829169879,0.9889031600686604,0.9719230624531808,0.0061508370241126,0.9770195879347506,0.9668265369716108,0.5962676948616024,0.0947342034033685,4.127320847986511,40.0,20.0,20.0,0.0009060072905318,0.0275073794088769,-0.0011281974981836,-0.0483781317479478,299.52395106613045,229.71660641697235,0.258459,3178.0,103,3,"103,102,101",0.9280994674456251,True,"MULTIVARIATE: unusual combination of feature values (anomaly score=-0.566, below the training-calibrated threshold -- individual features may each be in-range, but this specific combination is atypical)",-0.5656640983089393,True,False
TIC_340390410,Success,6.296560945304804,6.42621754308639,0.033133253,33.18328286422075,0.1597571223475213,4125.72822229426,0.0918028176975988,0.8441532094207498,0.8903391283540457,0.0338145351458231,0.8871901380728578,0.8987364357705463,0.1378941051721852,0.3550226638976286,5.322113497671101,2.0,2.0,0.0,0.0092161716688835,0.0057731488488442,-0.0015729509969324,-0.0208805414688675,9.195286491112018,120.82854320801562,0.646786,3738.0,103,3,"103,102,101",0.9273697190118556,False,"period=33.18 (above training max 14.1, 135% over); MULTIVARIATE: unusual combination of feature values (anomaly score=-0.620, below the training-calibrated threshold -- individual features may each be in-range, but this specific combination is atypical)",-0.6201561178074789,True,False
TIC_67918274,Success,6.981361607217544,5.991042933248032,0.00992397,0.572329139031605,0.0004091723488252,4101.162280322253,0.0162098970311931,0.999008566650421,0.9990338607574334,0.0002933324799277,0.9992270484127496,0.9988349631221572,0.4747537885164059,0.0283164567252328,3.404119559884243,134.0,120.0,14.0,3.3141569851662196e-05,0.0030082822936044,-0.0001228215029356,9.4831722872056,61.62954426718441,88.89054058300098,0.811552,4949.0,103,3,"103,102,101",0.9202597470550422,False,"transit_count=134 (above training max 78, 72% over); distinct_transit_count=120 (above training max 60, 100% over)",-0.448450451799273,False,False
TIC_345170989,Success,7.61159150672755,6.542365425033182,0.003121248,19.69246061284522,0.0445895469421468,4107.279858830854,0.0348808828435148,0.9979020932256494,0.9980083976487916,0.0004763690390941,0.9984459787657488,0.9976802118110736,0.687050380214948,0.0411908012031335,4.5463306380172135,4.0,2.0,2.0,2.6785868104428643e-06,0.0003828834773376,2.029985486151631e-05,-1.075517585757645,28.608854245533596,74.42446187505266,0.735972,4306.0,103,3,"103,102,101",0.9198672605423397,False,"period=19.69 (above training max 14.1, 40% over)",-0.3827578704532993,False,False
TIC_317058444,Success,8.62905791882905,8.10659448578637,0.00040016,0.0935832252435739,1.4687206591153246e-05,4101.49521448886,0.0030139425215519,0.99592173997609,0.9948744187237608,0.0012659762649338,0.9963166454303196,0.9934568454651772,0.7998191651677373,0.0574307652250715,3.915904739982512,812.0,464.0,348.0,0.0007752174970113,0.0272699633143566,0.0014656465530817,-1.0744726148795414,330.4381994197012,451.0424362079939,0.18,31000.0,103,3,"103,102,101",0.9091982884654672,False,"transit_count=812 (above training max 78, 941% over); distinct_transit_count=464 (above training max 60, 673% over); empty_transit_count=348 (above training max 32, 987% over); MULTIVARIATE: unusual combination of feature values (anomaly score=-0.587, below the training-calibrated threshold -- individual features may each be in-range, but this specific combination is atypical)",-0.587229677887999,True,False
TIC_447263332,Success,8.62887416759866,7.688359692988064,0.00040016,0.6996803263220648,0.0005045752832328,4101.728537997001,0.0159403884146843,0.999351650405299,0.9993819253567422,0.000146917310727,0.999193986052856,0.9995721020332936,0.9122212357319998,0.0228987496321172,4.106477317432391,109.0,94.0,15.0,7.638623096589198e-06,0.0012188258903411,-0.0001164086129188,3.757791781932196,62.693055175788,145.7127246669843,0.761005,4877.0,103,3,"103,102,101",0.9012215550070355,False,"transit_count=109 (above training max 78, 40% over); distinct_transit_count=94 (above training max 60, 57% over)",-0.4489646309121461,False,False
TIC_464378507,Success,11.11724774048876,11.605590068365268,8.0032e-05,13.068935781425974,0.0508164319372754,4112.252900982932,0.0563367451182076,0.9544576322496384,0.9666025347298928,0.0081971121995235,0.9614731798209468,0.9775024139114028,0.8510164356777693,0.1919176644243695,5.122442425021331,5.0,3.0,2.0,0.0010499076883262,0.0201938169606275,0.0006085440842411,-0.2247583924782721,16.94200881231182,165.0420506669907,0.538109,3565.0,103,3,"103,102,101",0.8844840994886569,True,"MULTIVARIATE: unusual combination of feature values (anomaly score=-0.535, below the training-calibrated threshold -- individual features may each be in-range, but this specific combination is atypical)",-0.5351278602395851,True,False
TIC_1689447815,Success,8.447589359343137,8.006261590153802,0.000720288,22.71934331855824,0.0427432500629798,4102.591720013705,0.0399822660034129,0.9957267180912104,0.9959302270489871,0.0009285820317615,0.9980098492809796,0.9938506048169944,1.937682257618013,0.0587878962349707,5.704325498402761,4.0,4.0,0.0,1.4191643216591502e-05,0.0029272881278428,9.306598019076516e-05,9.293983766752916,24.90420923131807,131.8847689590184,0.565905,3942.0,103,3,"103,102,101",0.8754600802934528,False,"period=22.72 (above training max 14.1, 61% over)",-0.39592215330222935,False,False
TIC_311531517,Success,7.458090040628422,6.932629428445383,0.004081633,20.843094555935615,0.0379748482759705,4104.2782196773605,0.08459377098692,0.9564152642631736,0.961407695541546,0.006800023649066,0.9716675999650256,0.9535417688168782,0.9890571209221344,0.1877475832791422,5.768029746503711,4.0,4.0,0.0,0.0023608911629513,0.0139254288011012,0.0020928964546405,10.232267075849633,11.30597741541816,186.0983030409552,0.282865,3266.0,103,3,"103,102,101",0.8485942149711135,False,"period=20.84 (above training max 14.1, 48% over); MULTIVARIATE: unusual combination of feature values (anomaly score=-0.544, below the training-calibrated threshold -- individual features may each be in-range, but this specific combination is atypical)",-0.5440914158516217,True,False
TIC_1310815601,Success,13.063280182189398,11.256034601642478,8.0032e-05,0.8536541404120871,0.0031369388683004,4101.652926216143,0.0867321173866002,0.9931926764378792,0.994109364919486,0.0001301669972704,0.9943371481930036,0.9938868526638676,1.2284967150455044,0.074198537255563,46.55086846415202,89.0,77.0,12.0,2.3637476311725617e-05,0.0037682783606939,0.0053885965757037,0.1513353902160435,11.451267493111184,75.27348608401371,0.920943,5054.0,103,3,"103,102,101",0.8459040940928044,False,"transit_count=89 (above training max 78, 14% over); distinct_transit_count=77 (above training max 60, 28% over)",-0.5174066522645117,False,False
TIC_259719464,Success,10.781897256223065,5.179049409568238,8.0032e-05,24.10417688634075,0.1181004505955485,4103.302072697006,0.030917827332028,0.999438301553782,0.9990191872522172,0.0003483085268339,0.9987938873690918,0.9992670171236554,0.5172275089938664,0.0213136955589314,29.421610488604223,4.0,4.0,0.0,2.399863210032332e-08,0.0013831218126308,2.3438551022270104e-06,0.0532749209058088,32.32563177291746,44.46639562497148,1.18404,6031.36,103,3,"103,102,101",0.836586957696773,False,"period=24.1 (above training max 14.1, 71% over)",-0.3963894804808005,False,False
TIC_331634064,Success,9.356061798425454,7.126285080311227,8.0032e-05,31.628060071119258,0.1807815545649109,4114.48894251674,0.094504894364751,0.997916245533073,0.9980832386655036,0.0003099581736204,0.997457947423838,0.9988222192238356,1.829942710879786,0.0410516312115268,9.551784214247771,2.0,2.0,0.0,9.531303673366008e-07,0.0006821358999987,2.8926147329411123e-05,0.0026402748267028,10.559413374735025,86.06460516696097,0.845916,4944.0,103,3,"103,102,101",0.817842970969382,False,"period=31.63 (above training max 14.1, 124% over)",-0.4006402700882633,False,False
TIC_364486973,Success,10.814604559643248,4.331297759009397,8.0032e-05,25.81603246745124,0.0502544761429391,4101.434010995021,0.0552606447835306,0.9994988020376429,0.99944520163349,0.0002141408003858,0.9993334873127324,0.9996965588551944,0.7387224287669638,0.0201331530579872,14.532165108712196,3.0,3.0,0.0,3.773282040064796e-08,0.0008849699435777,6.056556737243923e-07,-85.62359547958111,18.08699131095777,165.6907574160141,40.0053,3998.0,103,3,"103,102,101",0.8115957682037624,False,"period=25.82 (above training max 14.1, 83% over)",-0.4808353085055857,False,False
TIC_362374242,Success,9.461678769980422,6.234704209336305,8.0032e-05,0.578688424897585,0.0007483311717394,4101.423197762349,0.0014649748344068,0.998995918483589,0.9978837430434866,0.0006277234435387,0.9982636224625476,0.9975238572780606,0.4181690269322205,0.0284965072666346,3.16500071941213,132.0,37.0,95.0,1.6022653018064546e-05,0.0038182926417473,0.0004390997067695,0.852160195154625,681.9201907233205,150.26494254200952,0.705067,4598.0,103,3,"103,102,101",0.8103420303339132,False,"transit_count=132 (above training max 78, 69% over); empty_transit_count=95 (above training max 32, 197% over)",-0.49919596125827626,False,False
TIC_82849372,Success,11.6715052750627,3.519644618854027,8.0032e-05,24.252443347358863,0.1166088721672586,4103.005689504857,0.0458430877284853,0.9995330603775556,0.9995711613103924,0.0001991152815202,0.9993025547315068,0.9998114935125534,0.9798116200943308,0.0194328952977109,18.947484618773867,4.0,4.0,0.0,1.8787513418995756e-08,0.000686525740599,-1.422082865243368e-06,-5.923394331469074,21.803353785798347,31.071938666980714,1.79157,6253.9,103,3,"103,102,101",0.8020063696402012,False,"period=24.25 (above training max 14.1, 72% over)",-0.3950980907846381,False,False
TIC_364115836,Success,9.042437391855051,5.397874236340687,8.0032e-05,0.959716342531522,0.0017205306649613,4101.706920874478,0.0042059407865726,0.9998171913271158,0.9997280831294466,3.4950275324643064e-05,0.9997606355818638,0.9996925713631732,0.693755522253947,0.0121592151965132,6.3854166892214295,79.0,45.0,34.0,8.108467862366068e-08,0.0002297505531463,0.0001075267881186,1.006623656756715,237.7154701081409,48.209793207992334,1.36733,6694.0,103,3,"103,102,101",0.7678639878677641,False,"transit_count=79 (above training max 78, 1% over); empty_transit_count=34 (above training max 32, 6% over)",-0.47415821546256365,False,False
