iter	Passed	Remaining
405	7110	10402
406	7118	10372
407	7130	10346
408	7143	10322
409	7155	10297
410	7167	10271
411	7179	10246
412	7192	10222
413	7202	10194
414	7218	10175
415	7237	10160
416	7246	10130
417	7263	10113
418	7277	10090
419	7289	10066
420	7300	10040
421	7316	10021
422	7325	9992
423	7338	9969
424	7351	9945
425	7362	9920
426	7372	9893
427	7384	9869
428	7398	9846
429	7406	9818
430	7418	9793
431	7431	9771
432	7443	9746
433	7454	9721
434	7466	9697
435	7481	9677
436	7489	9648
437	7500	9623
438	7514	9602
439	7528	9582
440	7536	9553
441	7548	9529
442	7563	9509
443	7576	9487
444	7584	9459
445	7595	9434
446	7608	9413
447	7616	9384
448	7626	9358
449	7637	9334
450	7649	9311
451	7657	9283
452	7666	9256
453	7677	9232
454	7684	9204
455	7694	9179
456	7705	9155
457	7712	9127
458	7724	9104
459	7734	9079
460	7744	9054
461	7755	9031
462	7764	9005
463	7776	8983
464	7788	8960
465	7804	8943
466	7816	8921
467	7824	8895
468	7837	8873
469	7853	8856
470	7874	8844
471	7890	8826
472	7902	8804
473	7913	8781
474	7924	8759
475	7940	8741
476	7958	8726
477	7972	8705
478	7991	8692
479	8025	8693
480	8046	8682
481	8061	8664
482	8075	8643
483	8089	8624
484	8097	8598
485	8108	8575
486	8120	8554
487	8136	8536
488	8142	8508
489	8153	8485
490	8160	8459
491	8177	8443
492	8188	8420
493	8199	8398
494	8208	8374
495	8220	8353
496	8234	8333
497	8243	8309
498	8257	8290
499	8270	8270
500	8283	8250
501	8291	8225
502	8304	8205
503	8316	8184
504	8330	8165
505	8338	8140
506	8351	8120
507	8362	8099
508	8369	8073
509	8383	8055
510	8396	8035
511	8407	8013
512	8427	8000
513	8443	7983
514	8459	7967
515	8474	7948
516	8491	7933
517	8509	7918
518	8525	7901
519	8541	7884
520	8560	7870
521	8576	7853
522	8593	7837
523	8607	7818
524	8622	7801
525	8639	7784
526	8653	7767
527	8670	7750
528	8677	7726
529	8688	7704
530	8696	7681
531	8713	7665
532	8723	7642
533	8738	7626
534	8754	7609
535	8766	7589
536	8784	7574
537	8805	7561
538	8938	7645
539	9028	7690
540	9065	7691
541	9078	7671
542	9087	7647
543	9113	7639
544	9165	7651
545	9179	7632
546	9194	7614
547	9203	7590
548	9214	7569
549	9225	7547
550	9234	7525
551	9245	7503
552	9252	7478
553	9263	7457
554	9272	7434
555	9284	7414
556	9304	7400
557	9322	7384
558	9329	7359
559	9344	7342
560	9362	7326
561	9375	7306
562	9390	7289
563	9406	7271
564	9420	7252
565	9429	7230
566	9442	7210
567	9456	7191
568	9470	7173
569	9480	7151
570	9494	7133
571	9508	7114
572	9521	7095
573	9537	7078
574	9552	7060
575	9569	7044
576	9585	7027
577	9601	7010
578	9623	6997
579	9641	6982
580	9667	6971
581	9677	6950
582	9693	6933
583	9704	6912
584	9723	6897
585	9739	6880
586	9749	6859
587	9763	6841
588	9776	6822
589	9792	6804
590	9807	6787
591	9820	6768
592	9829	6746
593	9843	6728
594	9855	6708
595	9863	6686
596	9881	6670
597	9892	6650
598	9914	6637
599	9925	6616
600	9939	6598
601	9958	6583
602	9973	6566
603	9990	6549
604	10006	6532
605	10022	6516
606	10033	6496
607	10048	6478
608	10063	6461
609	10072	6439
610	10090	6424
611	10100	6403
612	10113	6384
613	10130	6368
614	10148	6352
615	10171	6340
616	10194	6328
617	10229	6323
618	10245	6306
619	10261	6289
620	10275	6270
621	10298	6258
622	10310	6239
623	10317	6216
624	10334	6200
625	10348	6182
626	10357	6161
627	10364	6139
628	10372	6118
629	10379	6095
630	10388	6074
631	10395	6052
632	10407	6033
633	10417	6013
634	10428	5994
635	10436	5972
636	10445	5952
637	10460	5935
638	10468	5914
639	10476	5893
640	10484	5872
641	10498	5854
642	10506	5833
643	10519	5815
644	10528	5794
645	10537	5774
646	10549	5755
647	10560	5736
648	10573	5718
649	10586	5700
650	10598	5681
651	10610	5663
652	10619	5643
653	10631	5624
654	10645	5606
655	10652	5586
656	10667	5569
657	10679	5550
658	10689	5531
659	10699	5512
660	10714	5494
661	10722	5474
662	10734	5456
663	10744	5437
664	10760	5420
665	10771	5401
666	10786	5384
667	10799	5367
668	10809	5348
669	10821	5329
670	10831	5310
671	10842	5292
672	10854	5274
673	10866	5256
674	10877	5237
675	10891	5220
676	10906	5203
677	10918	5185
678	10928	5166
679	10942	5149
680	10953	5130
681	10965	5112
682	10975	5094
683	10988	5076
684	11000	5058
685	11010	5039
686	11023	5022
687	11036	5004
688	11054	4989
689	11066	4971
690	11085	4957
691	11101	4941
692	11115	4924
693	11125	4905
694	11133	4885
695	11147	4869
696	11162	4852
697	11177	4836
698	11202	4823
699	11234	4814
700	11251	4798
701	11266	4782
702	11281	4766
703	11296	4749
704	11312	4733
705	11328	4717
706	11338	4698
707	11350	4681
708	11363	4663
709	11379	4647
710	11399	4633
711	11410	4615
712	11425	4599
713	11437	4581
714	11454	4565
715	11467	4548
716	11478	4530
717	11493	4514
718	11501	4495
719	11515	4478
720	11531	4462
721	11550	4447
722	11568	4432
723	11580	4414
724	11592	4397
725	11606	4380
726	11620	4363
727	11633	4346
728	11651	4331
729	11663	4313
730	11673	4295
731	11688	4279
732	11699	4261
733	11710	4243
734	11723	4227
735	11735	4209
736	11746	4191
737	11757	4174
738	11774	4158
739	11788	4141
740	11803	4125
741	11819	4109
742	11840	4095
743	11857	4079
744	11877	4065
745	11896	4050
746	11922	4037
747	11939	4022
748	11959	4007
749	11973	3991
750	11994	3976
751	12015	3962
752	12027	3945
753	12037	3927
754	12049	3910
755	12063	3893
756	12072	3875
757	12091	3860
758	12099	3841
759	12119	3827
760	12143	3813
761	12161	3798
762	12175	3781
763	12191	3766
764	12210	3751
765	12226	3734
766	12245	3719
767	12275	3708
768	12291	3692
769	12306	3675
770	12324	3660
771	12345	3645
772	12363	3630
773	12380	3614
774	12407	3602
775	12430	3588
776	12454	3574
777	12474	3559
778	12490	3543
779	12522	3531
780	12539	3516
781	12561	3501
782	12585	3487
783	12625	3478
784	12644	3463
785	12658	3446
786	12672	3429
787	12700	3416
788	12715	3400
789	12737	3386
790	12763	3372
791	12782	3356
792	12802	3341
793	12817	3325
794	12833	3309
795	12848	3292
796	12862	3276
797	12885	3261
798	12910	3247
799	12933	3233
800	12946	3216
801	12962	3200
802	12978	3183
803	12994	3167
804	13008	3151
805	13025	3135
806	13038	3118
807	13050	3101
808	13066	3084
809	13080	3068
810	13092	3051
811	13107	3034
812	13116	3016
813	13131	3000
814	13146	2984
815	13158	2967
816	13169	2949
817	13178	2932
818	13194	2915
819	13205	2898
820	13223	2883
821	13238	2866
822	13247	2849
823	13257	2831
824	13270	2814
825	13281	2797
826	13289	2779
827	13302	2763
828	13316	2746
829	13334	2731
830	13356	2716
831	13371	2700
832	13386	2683
833	13401	2667
834	13421	2652
835	13432	2635
836	13444	2618
837	13454	2600
838	13466	2584
839	13479	2567
840	13488	2550
841	13504	2534
842	13514	2516
843	13528	2500
844	13541	2483
