iter	Logloss
0	0.6776099092
1	0.6633862181
2	0.6493041621
3	0.6376704567
4	0.6243058965
5	0.612012097
6	0.5993555482
7	0.586871341
8	0.5772098299
9	0.5683219499
10	0.5588779705
11	0.5479524931
12	0.5386432188
13	0.5300461506
14	0.5216712156
15	0.5137905718
16	0.5075607317
17	0.4996823997
18	0.4928339045
19	0.4852264797
20	0.4780738742
21	0.4722625329
22	0.466102932
23	0.4599736939
24	0.4543090383
25	0.448391436
26	0.4437238175
27	0.4377949871
28	0.4327717164
29	0.4282708695
30	0.4238136422
31	0.4194264934
32	0.415261435
33	0.4123105684
34	0.4082673039
35	0.4041870941
36	0.4003849325
37	0.3956125916
38	0.3923172728
39	0.3886495641
40	0.384489346
41	0.3810190028
42	0.3776341628
43	0.3746175658
44	0.3726849853
45	0.369313287
46	0.3669651833
47	0.3639248142
48	0.3613015091
49	0.3593008236
50	0.3565685123
51	0.3545874893
52	0.3524756353
53	0.3498855965
54	0.3474652294
55	0.3456513421
56	0.3430810813
57	0.3407773546
58	0.3389684633
59	0.3363741471
60	0.3343829894
61	0.3322580278
62	0.3301989881
63	0.3285608584
64	0.3265767925
65	0.3252747584
66	0.3236213313
67	0.3219824293
68	0.3198002302
69	0.3183091129
70	0.3168126712
71	0.3153958276
72	0.3143416865
73	0.3128326459
74	0.3116039777
75	0.3103053755
76	0.308780802
77	0.3072797608
78	0.3055834979
79	0.3040912123
80	0.3025283585
81	0.3009338502
82	0.2997396722
83	0.2981049421
84	0.2968716803
85	0.2953660063
86	0.2941379261
87	0.292754024
88	0.2918339403
89	0.2903762883
90	0.2891816476
91	0.288166105
92	0.2871084365
93	0.2861581992
94	0.2852488234
95	0.2841514599
96	0.2833763096
97	0.2822654175
98	0.2811275331
99	0.2801144409
100	0.2788857461
101	0.2782960487
102	0.2775294367
103	0.276533424
104	0.2756096727
105	0.2742326573
106	0.2730258945
107	0.2720508963
108	0.2711052643
109	0.2701536822
110	0.2688880738
111	0.2679213734
112	0.2673645165
113	0.2663173148
114	0.2657726909
115	0.2650388013
116	0.2638003146
117	0.2629540312
118	0.2620916371
119	0.2612723674
120	0.2605475676
121	0.2595635366
122	0.2586158788
123	0.257958633
124	0.2571849544
125	0.2564524833
126	0.2555474327
127	0.2546359215
128	0.2535602781
129	0.253011906
130	0.252232727
131	0.2511820326
132	0.2505627031
133	0.2498836087
134	0.2491870222
135	0.2484859584
136	0.2477714955
137	0.2471412595
138	0.2467222833
139	0.2460819856
140	0.2454094052
141	0.2445866182
142	0.2440246949
143	0.2434552006
144	0.2428366916
145	0.242411129
146	0.2417211264
147	0.2410154313
148	0.2402424882
149	0.239529129
