host,label,n_points,SDE,SDE_raw,FAP,period,period_uncertainty,T0,duration,depth,depth_mean,depth_mean_std,depth_mean_even,depth_mean_odd,odd_even_mismatch,rp_rs,snr,transit_count,distinct_transit_count,empty_transit_count,pl_names,n_planets_in_catalog,ra,dec,st_rad,st_teff,st_mass,n_original,n_after_quality,n_after_outliers,n_final,points_removed_pct,pre_norm_median_flux,flux_source,chi2red_min,depth_consistency_std,secondary_eclipse_depth,transit_shape_ratio,depth_duration_ratio,r_star_used,m_star_used
HAT-P-29,1.0,111688.0,4.142352965655523,4.349655783619316,,1.2056179584300803,0.0038677604196301,2882.8853780842824,0.0277555797362043,0.9996682023995176,0.9996507009873122,0.0001138691649257,0.9997581043058684,0.9995324241922904,0.7012914924199134,0.0175332543123616,3.029295339269738,21.0,21.0,0.0,HAT-P-29 b,1.0,33.1310921,51.7787754,1.3,6087.0,1.45,116989.0,111688.0,111688.0,111688.0,4.531195240578178,4913.6567,pdcsap_flux,3.251957085825335e-06,0.0002998508474735,6.56677710275666e-06,-4.634077779010998,36.01683740352767,1.3,1.45
HAT-P-3,1.0,12911.0,17.845656908877455,13.34444999287518,8.0032e-05,2.895964192513245,0.0209244943663893,1739.444559854988,0.027019461028935,0.9982316792830148,0.9983028270861912,0.0006192120340948,0.9984530933811356,0.998227693938719,0.1279561101470851,0.0365214193622228,5.207002793212728,8.0,3.0,5.0,HAT-P-3 b,1.0,206.0940142,48.028565,0.87,5185.0,1.06,16719.0,13197.0,12911.0,12911.0,22.77648184700042,8340.65,pdcsap_flux,2.5421683247064495e-06,0.0006604405817306,-6.207908406596907e-05,0.3529524254632074,36.94491456413634,0.87,1.06
HAT-P-30,1.0,15878.0,12.7102737495942,14.29160667703028,8.0032e-05,2.814833058519742,0.0183814649175384,1491.8833021683463,0.0408404664074186,0.9989864482385428,0.9984426480187548,0.0003174400812172,0.9985888430351394,0.9982448547612938,0.3836670904372937,0.0287559698112904,9.7663311767821,9.0,4.0,5.0,HAT-P-30 b,1.0,123.9498431,5.8368669,1.31,6304.0,1.55,16342.0,16256.0,15878.0,15878.0,2.839309754008079,17421.639,pdcsap_flux,1.017067259584411e-06,0.0013352536436197,-2.537556215176373e-05,,24.460701263124623,1.31,1.55
HAT-P-31,1.0,16896.0,13.481816388150625,14.545810993514294,8.0032e-05,4.997905071606096,0.0391593596376567,2010.8331876425937,0.1507509389044788,0.9967732661659248,0.9969762624145324,8.039494935554454e-05,0.9969588028261168,0.9970024517971562,0.1858631465788563,0.0525120352901418,31.44426535546395,5.0,5.0,0.0,HAT-P-31 b,1.0,271.5376722,26.4266061,1.39,6065.0,1.31,16941.0,16941.0,16896.0,16896.0,0.2656277669559004,6216.4220000000005,pdcsap_flux,4.371044426718463e-06,0.0001444018068542,-0.0003981532050651,-0.2549213771006139,6.612053453262511,1.39,1.31
HAT-P-32,1.0,109159.0,13.76819241863667,23.347627606587835,8.0032e-05,2.1452798866787393,0.0075786200789842,2883.6266106860617,0.0270908528770894,0.9980776554035184,0.9915421423323846,0.0002415188484729,0.9919242790564038,0.9908820879908966,1.6371928772417632,0.0546835928768742,21.563286848637823,13.0,13.0,0.0,HAT-P-32 b,1.0,31.0427614,46.6878512,1.367,6001.0,1.132,116971.0,114205.0,109159.0,109159.0,6.678578451069073,7828.481,pdcsap_flux,2.3397525894268706e-06,0.00114307598459,-9.880685970875548e-05,-0.2150393222538771,36.84186909625085,1.367,1.132
HAT-P-33,1.0,15821.0,11.465162457257296,13.13498253004047,8.0032e-05,6.949357167488499,0.0151567618422354,1846.063752630856,0.0336848436437063,0.9966585091295384,0.995887112346542,0.0004533622018969,0.9958798512300124,0.9959045390262132,0.021309233128897,0.050575350482525,14.923597190826404,7.0,6.0,1.0,HAT-P-33 b,1.0,113.1842383,33.8350214,1.79,6446.0,1.82,17324.0,16560.0,15821.0,15821.0,8.675825444470098,8276.939,pdcsap_flux,2.555998931986434e-06,0.0002933063266194,-0.0001157317879365,-0.4083468272998438,29.587743368247892,1.79,1.82
HAT-P-34,1.0,13076.0,11.57701304972945,18.516536412980685,8.0032e-05,5.474429208252249,0.0270309062749039,1686.8220032679778,0.042736554299492,0.9973323088749112,0.9954174674921572,0.0001115474767351,0.995389111820166,0.9955734236881084,0.5213678329560233,0.0613268148154435,14.10504983411297,5.0,4.0,1.0,HAT-P-34 b,1.0,303.1954355,18.1047776,1.53,6442.0,1.392,17499.0,13346.0,13076.0,13076.0,25.27573004171667,18318.68,pdcsap_flux,1.3173396489393777e-06,0.0005321131129969,-0.0003657107339649,0.1216749241680072,23.33675059261309,1.53,1.392
HAT-P-35,1.0,16335.0,10.64896531780672,14.890689476932844,8.0032e-05,3.657047399314101,0.0259836321028426,1492.3305450668558,0.1052708559230997,0.9959497819039924,0.995749299012758,0.0001275457937686,0.9958117771620952,0.995624726015614,0.5235563097158997,0.0614393449353373,30.729359509553493,7.0,6.0,1.0,HAT-P-35 b,1.0,123.250703,4.7870288,1.435,6096.0,1.236,16343.0,16343.0,16335.0,16335.0,0.0489506210610057,2875.5754,pdcsap_flux,9.246782947970211e-06,0.0005004232160034,-0.0006377142125733,,9.460831045503545,1.435,1.236
HAT-P-36,1.0,15805.0,18.71074049008331,16.493462976589672,8.0032e-05,1.328795844330873,0.0063264294204981,1900.7914457572497,0.0192488095600172,0.9917997434059662,0.9889210512330028,0.0003157432616506,0.9894152999645186,0.9885327129439546,1.0358443091410692,0.080166946442127,19.791867918248048,20.0,13.0,7.0,HAT-P-36 b,1.0,188.2662048,44.9153672,1.041,5620.0,1.03,18605.0,16616.0,15805.0,15805.0,15.04971781779092,3586.1157,pdcsap_flux,7.1896406843151474e-06,0.0009772995026052,0.0011827913674907,0.2874287738442492,51.52525096752424,1.041,1.03
HAT-P-37,1.0,14518.0,11.423421763679334,10.634786216711328,8.0032e-05,0.6524381680855065,0.0027912433013908,2012.7457646795256,0.0691296986093436,0.943171659714807,0.9498306368527772,0.0004478507660829,0.9519229198019138,0.9474728937204624,3.5290259397342223,0.2133076139676514,53.90343925615774,35.0,32.0,3.0,HAT-P-37 b,1.0,284.2960393,51.2691212,0.877,5500.0,0.929,16941.0,14518.0,14518.0,14518.0,14.302579540759108,1244.8084,pdcsap_flux,0.0011465252806024,0.0045071263232287,0.0545797051453667,,13.64350892146559,0.877,0.929
HAT-P-38,1.0,99890.0,5.6031075866958675,11.204392589790915,8.0032e-05,0.7141479743808221,0.0222199160389515,2886.241768904958,0.0159656509289294,0.9995185896150788,0.9990336207866434,0.0002196188951919,0.9990846666678792,0.9989825749054074,0.1643646040180872,0.02967346864121,4.442123725294822,6.0,6.0,0.0,HAT-P-38 b,1.0,35.3834942,32.2460441,0.923,5330.0,0.886,116909.0,99896.0,99890.0,99890.0,14.55747632774209,3313.8956500000004,pdcsap_flux,5.170616899256151e-06,0.0007075402171623,-8.845748252284125e-05,0.4899917719848042,62.60431184825503,0.923,0.886
HAT-P-39,1.0,15796.0,11.47191098342844,12.490682256942485,8.0032e-05,3.53595597650215,0.0253183107281855,2500.365017971026,0.1240771441440878,0.9949693341424682,0.9959192684698852,0.0001328268579183,0.9959119301911046,0.995928943940195,0.0454448808295436,0.0619966508922209,31.311224080926916,7.0,7.0,0.0,HAT-P-39 b,1.0,113.7582526,17.8300283,1.625,6430.0,1.404,16308.0,15808.0,15796.0,15796.0,3.139563404464063,2830.9503000000004,pdcsap_flux,1.128892747405922e-05,0.0003829932376142,-0.0005270441715168,45.40243128315399,8.018957407554725,1.625,1.404
HAT-P-4,1.0,14454.0,13.243728507026663,16.625628057338762,8.0032e-05,3.0531047077734104,0.0126576654766745,1955.9253072072197,0.0755658196393591,0.995725774479112,0.9958142755036976,7.87047772983493e-05,0.995900099098595,0.9955800789142322,1.39349964181957,0.0582188319275518,35.29648759225049,9.0,7.0,2.0,HAT-P-4 b,1.0,229.99122,36.229545,1.596,5860.0,1.248,18216.0,14746.0,14454.0,14454.0,20.65217391304348,9001.259,pdcsap_flux,2.8590210214500557e-06,0.0003535722791756,-0.0003833193054039,0.8289744316443998,13.176933423487672,1.596,1.248
HAT-P-40,1.0,99590.0,4.120875359654215,5.532047770868645,0.074109644,7.807763495341369,0.0045943912267706,2826.062043460666,0.0308496138961737,0.999514635947102,0.999681526027531,0.0001044774188798,0.9997061152567764,0.9996462814656132,0.2015384608032082,0.0176953571897077,3.0501317358347735,19.0,17.0,2.0,HAT-P-40 b,1.0,335.5129199,45.4573423,1.94,6080.0,1.03,117652.0,99590.0,99590.0,99590.0,15.352055213681028,6353.5947,pdcsap_flux,2.455984440374792e-06,0.0002223172110691,-4.660299218461894e-05,0.4556466965821557,32.399583324155394,1.94,1.03
HAT-P-41,1.0,8604.0,9.658912404900285,7.459542593574532,8.0032e-05,2.687470519470615,0.0162187648278,2771.2063124704555,0.0142805521409592,0.993885261780136,0.992745998919324,0.0002070803932759,,0.992745998919324,,0.0682649716494378,8.040607189188758,10.0,1.0,9.0,HAT-P-41 b,1.0,297.3226523,4.6724124,2.05,6390.0,2.56,13239.0,9113.0,8604.0,8604.0,35.01019714479946,9605.81375,pdcsap_flux,2.953394825423117e-06,0.0004527977039758,4.200256832831428e-05,-0.1794620552839329,69.597117252175,2.05,2.56
HAT-P-42,1.0,12895.0,10.804560115448476,9.055027351962488,8.0032e-05,4.628792118410723,0.0366421865008228,1519.4451684048945,0.1071970830403726,0.9966601631985096,0.9966605964040808,0.000146344724649,0.996733896144229,0.996439634868562,0.6152712816113916,0.0536121736120118,22.117204367103525,5.0,4.0,1.0,HAT-P-42 b,1.0,135.3443583,6.0970828,1.53,5743.0,1.178,13363.0,12899.0,12895.0,12895.0,3.502207588116446,3882.022,pdcsap_flux,6.207227501193965e-06,0.0003333210089867,-0.000333298859438,2.139684272494198,9.29745600282003,1.53,1.178
HAT-P-43,1.0,16340.0,12.853043257389748,14.42543027882312,8.0032e-05,3.342155630497448,0.0230748243110203,1493.530735386197,0.0791159499624874,0.9915655041739624,0.992074942144968,0.0002875650587238,0.9923657850969034,0.9914932562410966,1.0194744267532656,0.0846695459272283,28.10399165685595,7.0,6.0,1.0,HAT-P-43 b,1.0,128.9256885,10.2065866,1.08,5693.0,1.03,16343.0,16343.0,16340.0,16340.0,0.0183564828978743,1325.24495,pdcsap_flux,2.9593084936144306e-05,0.0010104490078321,-0.0006070012199215,0.2041802659916866,12.533067031921002,1.08,1.03
HAT-P-44,1.0,15090.0,19.60004751537542,14.926929444671403,8.0032e-05,4.300024795889374,0.0311874538528962,1931.4497842130224,0.0685488182204134,0.9863059121696602,0.9870747549757894,0.0002703571328915,0.987415253618276,0.9866958902890792,0.9506926978314748,0.100227683833935,35.08363516221117,6.0,6.0,0.0,HAT-P-44 b; HAT-P-44 c,2.0,213.1438604,47.0147826,0.949,5295.0,0.942,17533.0,15231.0,15090.0,15090.0,13.933724975759995,1698.44425,pdcsap_flux,1.841272961743696e-05,0.0008925380917904,-0.0017175233380688,-0.0595099342796075,14.388372225444796,0.949,0.942
HAT-P-45,1.0,11706.0,15.216097838050556,10.935973851755518,8.0032e-05,3.129603265789783,0.0196462691385101,3482.946791305344,0.0626477809235682,0.992185289856451,0.99278314696009,0.0001671428196581,0.9929352158185348,0.992521389088996,0.8517281485193501,0.0768625888789536,30.402729768023217,8.0,5.0,3.0,HAT-P-45 b,1.0,274.3732697,-3.3810594,1.319,6330.0,1.259,16557.0,11801.0,11706.0,11706.0,29.29878601195869,3453.48095,pdcsap_flux,8.58062027474781e-06,0.0006103005150952,-0.0011215361735026,-0.1325021978962978,15.83751691168345,1.319,1.259
HAT-P-46,1.0,69593.0,5.968492305161645,6.967498403191677,0.010404162,3.694151469187619,0.0018078028880955,3480.601589533931,0.0179801379393697,0.999277435950446,0.9995201591770286,0.0001325664079957,0.9996094769811852,0.9994222078417144,0.5008645710643519,0.0184177149019166,3.7174106476354383,37.0,23.0,14.0,HAT-P-46 b,1.0,270.4441831,-2.97098,1.396,6120.0,1.284,100635.0,69601.0,69593.0,69593.0,30.84612709295971,5828.045,pdcsap_flux,3.914909365668498e-06,0.000661988425363,-1.9232038287686493e-05,-0.5990443481818625,55.57673913960396,1.396,1.284
HAT-P-49,1.0,17907.0,12.77599543338574,18.56438463123262,8.0032e-05,2.69575717755073,0.015934516792857,2422.237949384389,0.0763980353898438,0.996249283519251,0.9962682651934548,5.176314429655532e-05,0.99609741525232,0.9963759524290794,1.9648363543585108,0.0572449653867079,40.94713021356263,10.0,9.0,1.0,HAT-P-49 b,1.0,305.4413294,26.6926759,2.06,6820.0,2.22,18322.0,18322.0,17907.0,17907.0,2.2650365680602524,16924.322,pdcsap_flux,2.0554087393254943e-06,0.0002816596241262,0.000392604407174,-0.263119003132615,13.040247415206313,2.06,2.22
HAT-P-5,1.0,16680.0,17.68634090227734,19.648507462599376,8.0032e-05,2.786231589257672,0.0119395876144736,2012.8478946879363,0.0635303611616369,0.9908450846961464,0.9909730346069916,0.0001348365417166,0.9910980078623718,0.9907903813875896,0.7950143983670706,0.0877842732669355,40.526759363011195,8.0,8.0,0.0,HAT-P-5 b,1.0,274.4055335,36.6214617,1.12,5960.0,1.04,16940.0,16940.0,16680.0,16680.0,1.5348288075560768,4443.579299999999,pdcsap_flux,6.990035133795348e-06,0.0004989715802489,-0.001046779700935,-1.280153508403724,15.596402516510054,1.12,1.04
HAT-P-50,1.0,16292.0,12.871710307577755,12.214485815187714,8.0032e-05,3.1188533884922744,0.0211831900808896,1493.1765376775252,0.1222917055936862,0.9967958020143488,0.9972685533683114,0.000108704656384,0.9973496622211444,0.9971887198119064,0.5286602695847681,0.050616650320796,30.114388694060963,8.0,8.0,0.0,HAT-P-50 b,1.0,118.0634379,12.1393474,1.698,6280.0,1.273,16334.0,16334.0,16292.0,16292.0,0.2571323619444121,4976.19045,pdcsap_flux,5.150819929719002e-06,0.0004789414866056,-9.06791537662599e-05,,8.150968188522938,1.698,1.273
HAT-P-51,1.0,17978.0,19.356242785429117,17.02869926635102,8.0032e-05,4.218657549045639,0.0179166281176335,2855.365092314368,0.0945336783043571,0.9888754832107192,0.9900693445217186,0.000272250814006,0.9902741196328354,0.9898696887883792,0.5265397703830181,0.0949724142289068,34.85721421474403,7.0,6.0,1.0,HAT-P-51 b,1.0,21.0651251,32.8107,0.995,5453.0,0.961,17991.0,17991.0,17978.0,17978.0,0.0722583513979246,1259.45995,pdcsap_flux,3.0924536285799023e-05,0.0006322380307913,-0.0015867208924666,-2.6538414988345496,10.460562848585797,0.995,0.961
HAT-P-52,1.0,14129.0,15.262884895547588,15.353045623425512,8.0032e-05,2.750796813544519,0.0122316303800553,2448.306134193111,0.0654682652776799,0.9899775298249336,0.9909757820653702,0.0003438181005424,0.9909104584674492,0.9910411056632912,0.1344578664461871,0.0902234915246669,25.317485982709407,9.0,8.0,1.0,HAT-P-52 b,1.0,42.7217412,29.0222492,0.893,5131.0,0.887,16707.0,14129.0,14129.0,14129.0,15.430657808104389,907.57336,pdcsap_flux,5.248097505242071e-05,0.0014881820044044,-0.0002590235206583,0.5838832651634853,15.121487114802882,0.893,0.887
HAT-P-53,1.0,12626.0,13.458654818069752,14.9373639111852,8.0032e-05,1.965164216642957,0.0109486877521971,3611.891442312116,0.0686376526391531,0.99128183783202,0.9914684818876358,0.0002781900061086,0.991614670651246,0.9913244508917542,0.370186531587772,0.0866292615257521,29.7276700970054,13.0,10.0,3.0,HAT-P-53 b,1.0,21.8711012,38.9681137,1.209,5956.0,1.093,16628.0,12628.0,12626.0,12626.0,24.06783738272793,947.28189,pdcsap_flux,4.516597439596657e-05,0.0007641235725256,0.002066090269202,-1.4535698114829194,14.442245614713247,1.209,1.093
HAT-P-54,1.0,15683.0,24.064625378460505,16.770650642140406,8.0032e-05,3.8024154528901946,0.0186480565559212,2475.980162961798,0.037985959849922,0.985158740211072,0.9827784628512256,0.0004270209456765,0.981585242168952,0.9850611458955756,2.980657467636876,0.1147893266799297,30.992387892699433,6.0,6.0,0.0,HAT-P-54 b,1.0,99.8979924,25.4824005,0.617,4390.0,0.645,16943.0,15781.0,15683.0,15683.0,7.43669952192646,2086.0732,pdcsap_flux,1.949318853298029e-05,0.0024120182469749,-0.0010505960889992,,25.934812338646086,0.617,0.645
HAT-P-55,1.0,13921.0,12.770140974076885,11.74728136100872,8.0032e-05,3.592256703138118,0.0242305967235738,1985.927636886269,0.0593339684315503,0.9892473321810554,0.9894947247834436,0.0003807887870744,0.9895475404934968,0.9894195400667798,0.1182276449584923,0.0948787600023026,24.920505750164377,7.0,5.0,2.0,HAT-P-55 b,1.0,264.2735096,25.7311468,1.105,5804.0,1.028,17240.0,13926.0,13921.0,13921.0,19.251740139211137,1304.1254,pdcsap_flux,3.565323438704543e-05,0.0005236080016716,-0.0014734053127976,,16.67252938461861,1.105,1.028
HAT-P-56,1.0,15837.0,11.179573772052034,12.754818565745156,8.0032e-05,5.581154286526756,0.0184292990540113,2475.637444862756,0.0473811793192806,0.9932120816893004,0.9946084658449852,0.0002123700249503,0.9951100193273772,0.9941136901123556,1.70379972511165,0.0639628400521517,32.155343841420695,9.0,8.0,1.0,HAT-P-56 b,1.0,100.8480137,27.2521823,1.47,6566.0,1.42,16943.0,15973.0,15837.0,15837.0,6.527769580357667,9241.38,pdcsap_flux,4.076548253544863e-06,0.0003017526829599,-0.0002997981119154,-0.0809852079566486,20.96216463918063,1.47,1.42
HAT-P-57,1.0,67993.0,10.380911942669314,15.333929817347975,8.0032e-05,1.2329490175225957,0.0095231809531219,3480.479469741327,0.0136930314831612,0.9990922037904524,0.9982800311493896,0.0001258144179401,0.9983796434856772,0.998228984258196,0.397397946377618,0.0335792635521755,13.491819874995745,11.0,7.0,4.0,HAT-P-57 b,1.0,274.743418,10.5971968,1.85,6330.0,2.77,103728.0,68299.0,67993.0,67993.0,34.450678698133586,14462.56,pdcsap_flux,1.533106436972369e-06,0.00117902464055,-1.553206407289842e-05,,72.96355120625195,1.85,2.77
HAT-P-58,1.0,16065.0,9.79177637780392,11.875243616449904,8.0032e-05,4.025835345509402,0.0291306421403305,2913.8250635341274,0.131507905212429,0.9965165417465228,0.9966436563865748,0.0001825706573561,0.9967513466308584,0.9965346991982412,0.4196791845710972,0.0564865313872936,19.312870284906396,6.0,6.0,0.0,HAT-P-58 b,1.0,68.8465093,56.8682691,1.53,6078.0,1.031,18542.0,16065.0,16065.0,16065.0,13.35886096429727,2129.932,pdcsap_flux,1.5425433696665138e-05,0.0005425036271858,-0.0003550469016933,0.2758716635097756,7.57761702718036,1.53,1.031
HAT-P-59,1.0,14354.0,20.103123174042395,15.124332078793737,8.0032e-05,4.14389321885973,0.0203343598827339,1933.3213090378497,0.0453729535351762,0.9931730324549568,0.9932144825811222,0.0001397409106564,0.9931578623866936,0.9932549255771426,0.2450177456795492,0.0727984222200791,30.795635021841843,6.0,5.0,1.0,HAT-P-59 b,1.0,292.4588212,62.5291892,1.1038,5678.0,1.008,17525.0,14427.0,14354.0,14354.0,18.0941512125535,5250.436,pdcsap_flux,4.345260003430338e-06,0.0002742081937066,-0.0007911936307254,,21.88909813166519,1.1038,1.008
HAT-P-6,1.0,104412.0,14.904843489544218,13.829666422200848,8.0032e-05,1.2846340206630489,0.0062970223137873,2853.665347875684,0.0190214670684796,0.9995089776004094,0.9995368756260792,6.511904369243346e-05,0.9991726839171142,0.9999307972704696,4.163280046037452,0.0200421354151013,7.570452675047794,15.0,14.0,1.0,HAT-P-6 b,1.0,354.7740917,42.4659866,1.62,6570.0,1.79,107917.0,104537.0,104412.0,104412.0,3.247866415856626,15997.411,pdcsap_flux,7.160005502814764e-07,0.0005820923713285,-9.476122740270654e-06,-0.0635342215203448,52.54636637658153,1.62,1.79
HAT-P-60,1.0,112798.0,3.2994781715488064,12.414628253982007,8.0032e-05,9.664922642325246,0.0087473068705929,2883.3714633442487,0.1102805502145074,0.9997850887139572,0.9997521786324932,4.1924561699134254e-05,1.0000149033600003,0.999484076498282,4.542332869849264,0.0148903924658562,5.961948921360463,12.0,12.0,0.0,HAT-P-60 b,1.0,28.2825719,52.0539209,2.197,6212.0,1.435,116930.0,113051.0,112798.0,112798.0,3.5337381339262786,34079.1275,pdcsap_flux,2.980225791429073e-07,2.7874443245464032e-05,2.8846320805464565e-05,,9.065833338419774,2.197,1.435
HAT-P-61,1.0,16555.0,19.391847600294746,12.89706862953216,8.0032e-05,1.9018105008358157,0.010601957893466,2913.3019885937933,0.0465239289566441,0.9904636954275022,0.9931723830239784,0.0002839333240943,0.993273508891541,0.9930514716605888,0.2769394867307685,0.0771664798850595,30.033325095866516,13.0,11.0,2.0,HAT-P-61 b,1.0,75.4801665,50.1311784,0.938,5587.0,1.004,18540.0,16555.0,16555.0,16555.0,10.706580366774542,1838.3837,pdcsap_flux,2.0610614065405313e-05,0.0004851289754299,0.0003599336309237,0.3182337935372415,21.28933900553671,0.938,1.004
HAT-P-62,1.0,16642.0,14.558537934170422,15.786904653304868,8.0032e-05,2.648590569602139,0.0109617460526734,2911.848886363574,0.0978203256594015,0.9939398793338444,0.9941767847408024,0.000141647056321,0.9938660194483124,0.9945613288437392,1.722621079824905,0.0725276063218384,42.54906179109718,10.0,9.0,1.0,HAT-P-62 b,1.0,74.5043816,48.3008551,1.17,5629.0,1.023,18539.0,16653.0,16642.0,16642.0,10.232482873941418,2926.37265,pdcsap_flux,1.1613971694715644e-05,0.0009016399494696,-3.785583518389757e-05,0.3543522209230831,10.160872728993178,1.17,1.023
HAT-P-63,1.0,11594.0,16.15796190158769,10.659722555884455,8.0032e-05,3.3746796833892403,0.0217485838219344,3480.156713115919,0.0564074185519059,0.9886925431623066,0.9900531049013428,0.0004090562356914,0.9902328799558006,0.9897824323474405,0.3881775173354319,0.0885989708567789,23.08497754319549,8.0,5.0,3.0,HAT-P-63 b,1.0,269.5720695,5.7613709,0.9661,5400.0,0.925,16492.0,11594.0,11594.0,11594.0,29.699248120300748,1161.7727,pdcsap_flux,4.057518856301939e-05,0.0003352733179019,-0.0010605201205988,-0.9579616248206224,17.527704130840792,0.9661,0.925
HAT-P-64,1.0,146113.0,7.885253087938196,9.97816715559706,8.0032e-05,8.014103098485583,0.009318059516634,3997.2432806930337,0.0322122401194518,0.999033992080525,0.9989519954573052,0.0002618511517975,0.9990116884604372,0.9989046567120748,0.1450608831835703,0.0272015130284719,3.849752265207141,13.0,9.0,4.0,HAT-P-64 b,1.0,68.9743955,2.4312732,1.735,6457.0,1.298,231099.0,146122.0,146113.0,146113.0,36.77471559807701,2269.5247,pdcsap_flux,6.514851591031083e-06,0.0004534221424915,-8.513700679002589e-05,-0.549454234721818,31.014111045237264,1.735,1.298
HAT-P-65,1.0,13043.0,13.470461774063995,12.180660527491222,8.0032e-05,2.605190581654866,0.0149692896781867,2799.0426337556605,0.1069032998943349,0.9947596947525368,0.9951118186780172,0.0002048411162805,0.9951440431021934,0.9950690062287544,0.1292986340316873,0.063995832763497,23.261411309622453,10.0,7.0,3.0,HAT-P-65 b,1.0,315.9054895,11.9893675,1.666,5872.0,1.297,18791.0,13044.0,13043.0,13043.0,30.58911180884466,1667.1554,pdcsap_flux,2.1309677350448827e-05,0.0002054010587143,0.001228118933825,,9.3052290783893,1.666,1.297
HAT-P-66,1.0,18607.0,9.210106737740375,15.094848541008687,8.0032e-05,2.962602496674064,0.023617606166991,1872.6477545565724,0.1047486117727357,0.9965223447465076,0.996902949470931,0.0001417290404734,0.9969493577638504,0.9968565411780116,0.2316035061303815,0.0525391644897658,21.113755174553702,9.0,8.0,1.0,HAT-P-66 b,1.0,150.5726262,53.9508237,1.881,6002.0,1.255,18753.0,18608.0,18607.0,18607.0,0.7785420999306791,1569.9513,pdcsap_flux,1.8653565860220333e-05,0.0004858773383195,0.00061385065967,0.1489759327068131,9.513465886388822,1.881,1.255
HAT-P-67,1.0,17286.0,9.645755673295849,16.59199694816478,8.0032e-05,4.795697940061325,0.0347380514677211,1958.0434295225168,0.0392666974448644,0.9966385423967624,0.9963017133622069,0.0001511964218068,0.9960718019528392,0.9968994830265632,2.549423421420531,0.0541803284370134,15.69317320290432,6.0,4.0,2.0,HAT-P-67 b,1.0,256.6107279,44.7768849,2.62,6640.0,1.73,18207.0,18207.0,17286.0,17286.0,5.058493985829626,22182.747,pdcsap_flux,9.241030991301868e-07,0.0002947732224597,-0.0005451812877261,0.4609675651142917,25.381267263338707,2.62,1.73
HAT-P-68,1.0,15020.0,21.22800234708516,17.932168341332957,8.0032e-05,2.300149678335435,0.0095766411302733,2500.9893878889534,0.0426301960502081,0.9793822263452068,0.9793569498850282,0.000327305039903,0.9798024982992808,0.9787213881764616,1.195080124952958,0.1273471602105036,43.03791037102064,11.0,10.0,1.0,HAT-P-68 b,1.0,118.4831501,23.9382192,0.6701,4508.0,0.6785,16151.0,15207.0,15020.0,15020.0,7.0026623738468246,1229.5775,pdcsap_flux,3.546094808889834e-05,0.001365614870343,-0.0013426210896323,6.2712739689647305,22.973908569215364,0.6701,0.6785
HAT-P-69,1.0,96246.0,7.575477497735081,15.05851860318777,8.0032e-05,3.191195386710284,0.0244210809296965,2233.0596000512064,0.0284051170323949,0.999591615809054,0.9993212735455356,7.34053508751267e-05,0.9994031759768142,0.9992037229337368,0.9469509121656876,0.0240460192011351,9.557692128441127,5.0,5.0,0.0,HAT-P-69 b,1.0,130.5056385,3.7105662,1.926,7394.0,1.648,103694.0,96557.0,96246.0,96246.0,7.182672092888687,23486.118499999997,pdcsap_flux,5.183396059326311e-07,0.0004494245596566,-2.3735309839789664e-05,-0.627399060266531,35.1905473464186,1.926,1.648
HAT-P-7,1.0,17660.0,12.795282732802844,18.257663373385956,8.0032e-05,2.2006840023720113,0.0121076115139981,1684.7548884368357,0.051552863294475,0.9962751518997016,0.9962404798549956,6.64634290157348e-05,0.9963410385424756,0.996133732940594,1.1631937095925338,0.0544792159410538,34.14694400027138,12.0,12.0,0.0,HAT-P-7 b,1.0,292.24719,47.9695429,2.0,6389.0,1.56,18420.0,18420.0,17660.0,17660.0,4.125950054288818,15347.219,pdcsap_flux,1.4565708149626834e-06,0.0003104339309838,0.0007991469292685,2.881989006434493,19.325311694306492,2.0,1.56
HAT-P-70,1.0,16479.0,11.00254449618672,16.65977493526651,8.0032e-05,2.734628736175293,0.0111901565816663,2175.117183315614,0.0250648607715497,0.9985798586725808,0.9975588656125112,0.0003121743493142,0.9979421822562032,0.997158883027789,0.90179668890398,0.0394332903182459,14.276094734534224,10.0,6.0,4.0,HAT-P-70 b,1.0,74.5523332,9.9979794,1.858,8450.0,1.89,17903.0,17277.0,16479.0,16479.0,7.95397419426912,30273.309,pdcsap_flux,1.3780612312662856e-06,0.0008084870395878,2.4514316174784057e-05,15.618068040184085,39.8398326555253,1.858,1.89
HAT-P-8,1.0,112662.0,16.566385626595636,19.18751026293552,8.0032e-05,1.5376442052633708,0.0121327555722137,2827.3731581627217,0.0243394634047512,0.999386171821921,0.9989239133693708,6.005055775767221e-05,0.9989380640851268,0.9989056394846884,0.1880680701998264,0.0294154684416142,16.814869567380285,9.0,9.0,0.0,HAT-P-8 b,1.0,343.0414932,35.4471778,1.57,6200.0,1.27,117602.0,113658.0,112662.0,112662.0,4.2006088331831055,19517.649,pdcsap_flux,5.437097418676527e-07,0.0006477515140847,1.8744056808017717e-05,-1.845754037224879,41.0603206489275,1.57,1.27
