host,label,n_points,SDE,SDE_raw,FAP,period,period_uncertainty,T0,duration,depth,depth_mean,depth_mean_std,depth_mean_even,depth_mean_odd,odd_even_mismatch,rp_rs,snr,transit_count,distinct_transit_count,empty_transit_count,pl_names,n_planets_in_catalog,ra,dec,st_rad,st_teff,st_mass,n_original,n_after_quality,n_after_outliers,n_final,points_removed_pct,pre_norm_median_flux,flux_source,chi2red_min,depth_consistency_std,secondary_eclipse_depth,transit_shape_ratio,depth_duration_ratio,r_star_used,m_star_used
2MASS_J01033563-5515561_A,1.0,18271.0,7.395306845160627,10.571176628733252,8.0032e-05,1.66661556078864,0.001606564244989,1354.75062402115,0.0598121858923589,0.9905899243430942,0.9931030933835232,0.0001976892327995,0.993192793994568,0.9930093538967976,0.3289076363018341,0.0794032698852582,29.27036305423609,41.0,39.0,2.0,2MASS J01033563-5515561 AB b,1.0,15.8992489,-55.2658291,,,0.19,18295.0,18295.0,18271.0,18271.0,0.1311833834380937,1145.0259,pdcsap_flux,0.0001124296699522,0.0031563402932168,0.0005533929670989,0.7417022701490769,16.56167400612663,1.0,0.19
2MASS_J01225093-2439505,1.0,12869.0,6.498408554440173,5.147210939317118,,9.108837937773515,0.0710532399775383,1393.6841211353274,0.0715995740330696,0.9963603374214391,0.996679901020599,0.0003191761279409,0.995519298727584,0.9978405033136138,2.7740722581534563,0.0561646544627721,9.90515926660598,2.0,2.0,0.0,2MASS J01225093-2439505 b,1.0,20.7128012,-24.6646128,0.36645,3530.0,0.4,13538.0,12892.0,12869.0,12869.0,4.941645737922884,3228.3127,pdcsap_flux,1.0430187512042172e-05,0.0007795482848312,0.0002397762005781,,13.91572995896947,0.36645,0.4
2MASS_J02192210-3925225,1.0,12295.0,5.029455838117377,4.8829911682622775,,7.385595809818753,0.0024361295426849,1386.9191517102015,0.0667686782074062,0.994409118082693,0.996962563506606,0.0007275179584436,0.9993769000299926,0.9945482269832192,2.449327929978377,0.0440520935854683,4.008768926940741,20.0,17.0,3.0,2MASS J02192210-3925225 b,1.0,34.8427046,-39.4230767,0.281,3064.0,0.108,13537.0,12331.0,12295.0,12295.0,9.174854103567998,642.5487,pdcsap_flux,8.130553442441912e-05,0.0009870941284991,0.0005533673052352,0.6133260471370722,14.893347371558267,0.281,0.108
2MASS_J0249-0557_A,1.0,3229.0,6.438917256388895,5.318702472791561,0.060264106,2.201594695802673,0.0313571794453839,2146.230407415193,0.2445438384851877,0.9876959077595828,0.9892548396641077,0.0003954740512075,0.9870806071488238,0.9925161884370334,5.08875449239751,0.1003379245571782,21.947411218005843,11.0,10.0,1.0,2MASS J0249-0557 c,1.0,42.4851627,-5.9599921,0.315959,2859.0,0.046,3439.0,3229.0,3229.0,3229.0,6.106426286711253,335.99063,pdcsap_flux,8.074624474558068e-05,0.0029434152136664,0.0113309820840575,1.1364669746262397,4.038931889994884,0.315959,0.046
2MASS_J03590986+2009361,1.0,14022.0,6.283382397560766,3.7641004450559175,,6.729144676120334,0.0134455758837996,2448.550493420877,0.0217569973578059,0.9243004401027098,0.9321475066317388,0.0125991165210207,0.9710736714509584,0.8919238029852116,2.518971500932144,0.2387675440379708,7.380960630789419,4.0,4.0,0.0,2MASS J03590986+2009361 b,1.0,59.7911026,20.1599759,0.289776,2943.0,0.264996,16861.0,14041.0,14022.0,14022.0,16.83767273589941,99.341872,pdcsap_flux,0.0051253604576935,0.073469593853879,-5.211200177379638e-06,-0.5191964189773557,42.48290446066965,0.289776,0.264996
2MASS_J04372171+2651014,1.0,15263.0,10.87447883879848,13.755367692500736,8.0032e-05,1.836049924142262,0.0083259408524826,2474.7408367561657,0.0716104966486333,0.9924632501962084,0.9929270540508552,0.0002986445670695,0.9932198636257088,0.9926359618342124,0.6918028932944612,0.0806568632863266,24.906169454975416,13.0,12.0,1.0,2M0437 b,1.0,69.3405531,26.8502997,0.84,3100.0,0.17,16868.0,15263.0,15263.0,15263.0,9.515058098174055,946.3767,pdcsap_flux,5.556793545999144e-05,0.0013927377083436,0.0018241894512027,1.7357508410533304,13.859186804217616,0.84,0.17
2MASS_J04414489+2301513,1.0,15204.0,0.0,0.0,,,-5.63639681055189,0.0,,1.0,,,,,,,,,,,2MASS J04414489+2301513 b,1.0,70.4371079,23.0308544,0.231916,2936.0,0.019,17343.0,15208.0,15204.0,15204.0,12.333506313786549,20.159413,pdcsap_flux,,,,,,,
2MASS_J11011926-7732383,1.0,11700.0,4.83223742397512,5.667472427582997,0.065466186,0.8592522183379255,0.0017977379811583,1601.697887398219,0.0160996773300463,0.9685493101917348,0.9680057075868154,0.0072417524156646,0.9677650260371822,0.9682463891364484,0.0235041994664663,0.1676249411862397,4.11967113271336,22.0,16.0,6.0,2MASS J11011926-7732383 b,1.0,165.3295388,-77.5440912,,,,18186.0,11700.0,11700.0,11700.0,35.66479709666777,43.656617,pdcsap_flux,0.0109850343157028,0.0260521412247623,0.0061185430028063,-1.450844926719885,60.15954794225367,1.0,1.0
2MASS_J11550485-7919108,1.0,19512.0,7.495607834682432,8.113983456899398,0.001280512,12.322362896422042,0.077177472987306,3078.7688371488366,0.1413160850343968,0.995267278729008,0.9962473736275876,0.000604695530657,0.9961198937545892,0.996374853500586,0.1499600538188076,0.0608590469934689,6.065781944354797,2.0,2.0,0.0,2MASS J11550485-7919108 b,1.0,178.7691634,-79.3197558,0.600455,3021.0,0.58846,19515.0,19515.0,19512.0,19512.0,0.0153727901614164,724.9271,pdcsap_flux,7.789667023160848e-05,0.0002140736354119,0.0001043823917331,-1.2204839254455755,7.042844970455817,0.600455,0.58846
2MASS_J12073346-3932539,1.0,14795.0,4.983171040671669,4.761171743453974,,0.3080037242256756,0.0029699353254231,1571.4864519836,0.0015478475649177,0.988565912199834,0.9772719841490716,0.0057551970145813,0.9765504096874438,0.9779935586107,0.0886640009093022,0.0973691862112507,4.092648012140841,26.0,22.0,4.0,2MASS J12073346-3932539 b,1.0,181.8890906,-39.5484399,0.21887,2825.0,0.188001,16921.0,14795.0,14795.0,14795.0,12.564269251226287,79.78064,pdcsap_flux,0.0030775063454347,0.0486222522422266,0.0019084607317412,,638.6713618355543,0.21887,0.188001
