host,gaia_teff,gaia_status,gaia_distance_pc,simbad_sptype,simbad_parallax_mas,simbad_status,stellar_param_flags,stellar_param_verified_clean,stellar_param_could_be_checked
TIC_271503364,4771.009765625,Success,696.4752807617188,K2III,1.4003,Success,,True,True
TIC_161265291,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,,0.8289,Success,,False,False
TIC_33465112,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,K1(III),1.9469,Success,,True,True
TIC_7220124,3392.482177734375,Success,35.855098724365234,,,Not found in SIMBAD,,True,True
TIC_62182085,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,,,Not found in SIMBAD,,False,False
TIC_49617121,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,K0/1III,1.6408,Success,,True,True
TIC_33542596,3564.701416015625,Success,117.5469970703125,,,Not found in SIMBAD,,True,True
TIC_97474160,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,,0.9687,Success,,False,False
TIC_320427373,6110.2021484375,Success,335.94268798828125,,2.8225,Success,,True,True
TIC_412565479,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,,,Not found in SIMBAD,,False,False
TIC_76068281,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,,0.8178,Success,,False,False
TIC_360148433,5689.18994140625,Success,85.2571029663086,,11.7255,Success,,True,True
TIC_118801697,5552.3828125,Success,489.185302734375,,2.0937,Success,,True,True
TIC_100105097,3358.117431640625,Success,247.8708038330078,,,Not found in SIMBAD,,True,True
TIC_234497780,4726.8779296875,Success,591.5548706054688,K3III,1.614,Success,,True,True
TIC_140431282,4985.9638671875,Success,296.56298828125,G8/K0III,3.2443,Success,,True,True
TIC_101778771,4758.3212890625,Success,631.6903076171875,,1.6589,Success,,True,True
TIC_253668790,5147.03515625,Success,344.37030029296875,M2/3II/III,2.7638,Success,TIC Teff (3743K) vs Gaia teff_gspphot (5147K) disagree by 38%,False,True
TIC_57409304,3631.1826171875,Success,1193.865234375,,0.6162,Success,,True,True
TIC_91529289,8700.0126953125,Success,48.54560089111328,A2.5V,20.9663,Success,,True,True
