host,gaia_teff,gaia_status,gaia_distance_pc,simbad_sptype,simbad_parallax_mas,simbad_status,stellar_param_flags,stellar_param_verified_clean,stellar_param_could_be_checked
TIC_74100918,7828.71240234375,Success,41.65340042114258,A5IV/V,24.3817,Success,,True,True
TIC_142250801,8036.05908203125,Success,133.75759887695312,A3III,7.2065,Success,,True,True
TIC_447469406,7219.68310546875,Success,240.35060119628903,F0IV/V,3.9654,Success,,True,True
TIC_466231027,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,A2/3IV,5.2828,Success,,True,True
TIC_369666165,6839.0234375,Success,74.427001953125,F3III,13.318,Success,,True,True
TIC_29993983,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,,,Not found in SIMBAD,,False,False
TIC_98123487,6785.8125,Success,282.78448486328125,Fm_dD,3.5974,Success,,True,True
TIC_281573888,10307.8671875,Success,154.09739685058594,A4IV/V,6.5703,Success,TIC Teff (7895K) vs Gaia teff_gspphot (10308K) disagree by 31%,False,True
TIC_173877131,7660.51171875,Success,122.53630065917967,A3/5mA3-F2,8.124,Success,,True,True
TIC_39761579,7180.04638671875,Success,357.17889404296875,,2.9905,Success,,True,True
TIC_316201175,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,A1/2V,2.2865,Success,,True,True
TIC_343296059,10116.8408203125,Success,438.8374938964844,A1V,2.2164,Success,,True,True
TIC_37589272,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,F0IV/V,2.1675,Success,,True,True
TIC_409853937,8043.037109375,Success,167.7165069580078,A3/5Vs,5.9275,Success,,True,True
TIC_372172466,9354.0302734375,Success,579.99072265625,A2V,1.9085,Success,,True,True
TIC_333954983,7302.28662109375,Success,652.5225219726562,Fm_dD,1.6347,Success,,True,True
TIC_323859617,,"Gaia query error: [Errno 8] nodename nor servname provided, or not known",,K4/5III,6.7176,Success,,True,True
TIC_367899500,,"Gaia query error: [Errno 8] nodename nor servname provided, or not known",,G8/K0III,9.5882,Success,,True,True
TIC_260795157,,"Gaia query error: [Errno 8] nodename nor servname provided, or not known",,K3+Vk:,47.478,Success,,True,True
TIC_324497887,,"Gaia query error: [Errno 8] nodename nor servname provided, or not known",,K1III-IV,26.6984,Success,,True,True
TIC_74648456,,"Gaia query error: [Errno 8] nodename nor servname provided, or not known",,,,Not found in SIMBAD,,False,False
TIC_229141027,,"Gaia query error: [Errno 8] nodename nor servname provided, or not known",,,,Not found in SIMBAD,,False,False
TIC_140459480,,"Gaia query error: [Errno 8] nodename nor servname provided, or not known",,K2III,5.0807,Success,,True,True
TIC_143359172,,"Gaia query error: [Errno 8] nodename nor servname provided, or not known",,K4III,3.0876,Success,,True,True
TIC_277749000,,"Gaia query error: [Errno 8] nodename nor servname provided, or not known",,,,Not found in SIMBAD,,False,False
TIC_343961704,,"Gaia query error: [Errno 8] nodename nor servname provided, or not known",,,,Not found in SIMBAD,,False,False
TIC_102032194,,"Gaia query error: [Errno 8] nodename nor servname provided, or not known",,M1III,3.1631,Success,,True,True
TIC_118273470,,"Gaia query error: [Errno 8] nodename nor servname provided, or not known",,K4III,2.9568,Success,,True,True
TIC_118191232,,"Gaia query error: [Errno 8] nodename nor servname provided, or not known",,,,Not found in SIMBAD,,False,False
TIC_466307646,,"Gaia query error: [Errno 8] nodename nor servname provided, or not known",,,,Not found in SIMBAD,,False,False
TIC_119625675,,"Gaia query error: [Errno 8] nodename nor servname provided, or not known",,K0III,9.2613,Success,,True,True
TIC_207089163,,"Gaia query error: [Errno 8] nodename nor servname provided, or not known",,K1III,1.9725,Success,,True,True
TIC_63687402,,"Gaia query error: [Errno 8] nodename nor servname provided, or not known",,,,Not found in SIMBAD,,False,False
TIC_140041127,,"Gaia query error: [Errno 8] nodename nor servname provided, or not known",,G6III,4.7687,Success,,True,True
TIC_322049520,,"Gaia query error: [Errno 8] nodename nor servname provided, or not known",,,7.384,Success,,False,False
TIC_280794907,,"Gaia query error: [Errno 8] nodename nor servname provided, or not known",,K0III,1.7387,Success,,True,True
TIC_201600307,,"Gaia query error: [Errno 8] nodename nor servname provided, or not known",,,,Not found in SIMBAD,,False,False
TIC_237316813,,"Gaia query error: [Errno 8] nodename nor servname provided, or not known",,,3.7593,Success,,False,False
TIC_237319282,,"Gaia query error: [Errno 8] nodename nor servname provided, or not known",,M3III,2.7247,Success,,True,True
TIC_355765896,,"Gaia query error: [Errno 8] nodename nor servname provided, or not known",,K3(III),1.1326,Success,,True,True
TIC_425884418,,"Gaia query error: [Errno 8] nodename nor servname provided, or not known",,G3III/IV,4.1304,Success,,True,True
TIC_469235870,,"Gaia query error: [Errno 8] nodename nor servname provided, or not known",,,,Not found in SIMBAD,,False,False
TIC_139876330,,"Gaia query error: [Errno 8] nodename nor servname provided, or not known",,K3V,24.8582,Success,,True,True
TIC_220378915,,"Gaia query error: [Errno 8] nodename nor servname provided, or not known",,F8V,19.1724,Success,,True,True
TIC_213932220,,"Gaia query error: [Errno 8] nodename nor servname provided, or not known",,,,Not found in SIMBAD,,False,False
TIC_469815705,,"Gaia query error: [Errno 8] nodename nor servname provided, or not known",,,6.391,Success,,False,False
TIC_425952950,,"Gaia query error: [Errno 8] nodename nor servname provided, or not known",,G5V,19.7351,Success,,True,True
TIC_158442384,,"Gaia query error: [Errno 8] nodename nor servname provided, or not known",,K0III,6.1271,Success,,True,True
TIC_381036825,,"Gaia query error: [Errno 8] nodename nor servname provided, or not known",,,1.8923,Success,,False,False
TIC_219319398,,"Gaia query error: [Errno 8] nodename nor servname provided, or not known",,,,Not found in SIMBAD,,False,False
TIC_406280308,,"Gaia query error: [Errno 8] nodename nor servname provided, or not known",,,22.5544,Success,,False,False
TIC_231053750,,"Gaia query error: [Errno 8] nodename nor servname provided, or not known",,K0II/IIICNIV,6.6286,Success,,True,True
TIC_232864710,,"Gaia query error: [Errno 8] nodename nor servname provided, or not known",,,,Not found in SIMBAD,,False,False
TIC_101311910,,"Gaia query error: [Errno 8] nodename nor servname provided, or not known",,K0III,9.1277,Success,,True,True
TIC_304985492,,"Gaia query error: [Errno 8] nodename nor servname provided, or not known",,K0/1III,1.7078,Success,,True,True
TIC_232062851,,"Gaia query error: [Errno 8] nodename nor servname provided, or not known",,G8/K1III/Vp,2.7659,Success,,True,True
