host,bucket,raw_var_oot_rms,raw_var_excess,raw_var_ls_amp,raw_var_ls_power,raw_var_ls_period,old_var_oot_rms,old_var_excess,old_var_ls_amp,old_var_ls_power,old_var_ls_period,new_var_oot_rms,new_var_excess,new_var_ls_amp,new_var_ls_power,new_var_ls_period
TOI-5238,20-sec,0.0058594428056297256,1.031117761883171,0.0005572719453425102,0.08640365186124638,4.41050222542973,0.005800797693776341,1.0202059264942407,1.8080915974955488e-05,0.0001659648291986313,0.5271214505846604,0.005809357901689115,1.0216839311899546,0.0001514690397672236,0.00921769949815377,0.30461574746801806
TIC_403308915,30-min,0.00035454597683682915,1.0788785633254723,0.00011898075370492917,0.051069402346207306,1.8481318039063088,0.00035775372965355187,1.0886434013128652,0.00012464196053588143,0.05568203540853146,1.8481318039063088,0.00032444140157152,0.987246915891635,8.697108470133066e-05,0.03495270175932591,0.22035417661959839
EPIC_212297394,20-sec,0.0245963853822858,1.0185278728240177,0.0009360258356486097,0.019400965015492773,3.589229424136754,0.024540255419645107,1.0169782021130096,2.4541009032761407e-05,1.7799120107149036e-05,0.25058275240379807,0.02460089151211999,1.0192230652301992,0.0003837631575486713,0.00370412808654583,0.24022401657608197
TOI-6628,30-min,0.0009563218891631782,1.0251628432993334,0.00019008714860736453,0.019750509892490543,3.7500393187220125,0.0009510979795780731,1.0195456995738255,0.0002263585715263584,0.02851545635316907,5.113689980075472,0.0008572461607760511,0.9188694031630503,0.00013401073083561693,0.011601043287745177,0.22366039674286362
Barnard's_star,20-sec,0.0005294822846258717,1.0855195884907156,5.916658918082407e-05,0.05733295416830035,10.863686798922526,0.000514739128256285,1.0554252990852446,1.8931144207813607e-06,0.0001961237525812253,0.3992399718537334,0.0005204580095484685,1.0671554243038062,2.111692280658521e-05,0.012079920614167329,0.23148342064832692
HD_154088,20-sec,0.00031814053689623067,1.0983458717208654,4.010376239680558e-05,0.0871046395744637,2.8294088010602003,0.0003098169908922341,1.069653572433751,1.1404366921577697e-06,0.00016822900921926645,0.5963949923803364,0.00031171289770104215,1.0761974712161024,9.171533596324988e-06,0.008441434632573049,0.2816309686240478
TIC_154870955,30-min,0.0011692974236272658,0.8497109973087593,0.00035988298048585533,0.04710176698376934,4.912545166909149,0.0011618946136220376,0.8442653725268605,0.00037955831861652,0.054083324931986566,5.1172345488636966,0.001032995067623825,0.7506302830732218,0.00015260063993148218,0.010666443667191645,0.2876197404513553
TIC_35883621,30-min,0.00044393081075322,1.9433954498264197,7.317931109928466e-05,0.01530362465441739,2.49150266010414,0.0004374425341639181,1.915010185969686,7.936457433251335e-05,0.01816439528113392,4.069454344836761,0.0003947771762134184,1.7282035925242738,6.077366925654802e-05,0.012821872441395262,0.21800648275911227
TIC_249862365,30-min,0.00027895461563760116,1.5855674366516763,0.00014424330643808238,0.1222629676955786,10.615544395458198,0.0002726328180171603,1.5495643365305283,0.00011633439671169241,0.09212084948822824,3.6490933859387553,0.00019971164207933681,1.1351295339100484,9.226173871581549e-05,0.09587271672880034,0.24739616175855966
TIC_38825265,30-min,0.0015454593848053505,1.1449403095117714,0.0008115085719501715,0.12157468868550578,3.054783378848275,0.0015272539775663643,1.13153099024711,0.0007759096943389733,0.1254760461496243,3.054783378848275,0.001212710045118683,0.8988102336035327,0.00020154198443374948,0.013066460829142482,0.26830045941852804
