host,raw_var_oot_rms,raw_var_excess,raw_var_ls_amp,raw_var_ls_power,raw_var_ls_period,savgol_var_oot_rms,savgol_var_excess,savgol_var_ls_amp,savgol_var_ls_power,savgol_var_ls_period,gp_protect_var_oot_rms,gp_protect_var_excess,gp_protect_var_ls_amp,gp_protect_var_ls_power,gp_protect_var_ls_period
TIC_260849386,0.0016309472766336676,1.045090189986848,0.0005632300314320624,0.20395565790672618,4.382618618598997,0.0015285305268141521,0.9795253230985826,6.796171637828953e-05,0.004860972769119653,0.23992882179984143,0.0015263611636941116,0.9781275868376537,6.549753877981034e-05,0.004537187726435163,0.4440385647871451
TIC_27844066,0.005616328804050231,0.9658119884853098,0.002158998901240597,0.19153103928030565,1.8446874497001262,0.005367827357439882,0.9227687171602735,0.0007823166959626867,0.03693856531796007,0.23205918514575943,0.005219811693775169,0.8976903084255616,0.00017316082113704722,0.002450850402317513,0.20583316588796388
TIC_312259170,0.0004046201145820617,1.0075091651676393,0.0002691339782007594,0.13510109925619337,0.8266013298042145,0.00040501826900021684,1.0085020931857667,0.00026939264545218055,0.13525674025430143,0.8266013298042145,0.0003501599021904608,0.8718262581528524,0.00012743555067382944,0.05034769859873983,0.20590965025588856
TIC_7624182,0.000815555213517362,1.5672431490425722,0.000613585172396674,0.4431256318070502,1.7142739625053307,0.0005562732185603358,1.0689445619890618,0.00010017016526844656,0.05710620740978477,0.27709169652564614,0.0005357457259871804,1.0294929182970707,6.747403689790664e-06,0.0003800157767912047,0.2220562127597579
TIC_284747017,0.0030406043573824567,0.9703052962472946,0.00043600560593709455,0.04295079003341428,0.9004172287155361,0.00299605127405882,0.956117721478188,0.0002301157159838519,0.013581924315216102,0.2246882178865016,0.0029781856168013482,0.950417270219327,0.00015628017361170448,0.0067076036788152,0.2246882178865016
TIC_144440290,0.0005338529499392527,1.0312485886963552,9.920188783112179e-05,0.06757996180571339,10.119497135913099,0.0005225958389022849,1.0095113712631127,3.39005432388259e-05,0.009432168110091416,0.24486382552702213,0.0005249885375666828,1.0141347697268053,2.7927799179014045e-05,0.0061979779204059116,0.24486382552702213
TIC_74197917,0.01423751178405355,0.9671106729703719,0.0032731823192195288,0.09985463565996772,0.750746177618927,0.0138726400682218,0.9418648311832609,0.0018332602625276075,0.038979066337305884,0.2507583974124318,0.013697448653393094,0.9301901341795723,0.0008593944933066453,0.009758902697898971,0.2507583974124318
TIC_424747720,0.007534132238502143,0.9522213355731425,0.000657181494302457,0.011754400554647663,2.089588908805183,0.007547645472795194,0.9531882537059563,0.0006443908850226586,0.012913123587674321,0.22878710680348718,0.007491173418610346,0.9473168654539534,0.00037364336517711793,0.005214560110649773,0.22878710680348718
TIC_237808867,0.0011191502263194597,1.0997814604634002,0.00022509730770340966,0.06916835684240943,0.28388140873326784,0.0011046265583111023,1.0855396146259244,0.00026053182581577437,0.10651162804826593,0.28388140873326784,0.001065061769324881,1.0466683348604833,4.062167780806392e-05,0.003429787964330512,0.28388140873326784
TIC_166190643,0.004110038259081868,1.0063567513233718,0.0008529744738386405,0.07422592267799205,13.0,0.003929079888163014,0.9615222298620708,0.0004195857884466331,0.02632390575566242,0.27546556183687043,0.0038675964494543987,0.9471171755202957,0.00023003050020825,0.009181610646080368,0.2067689592630761
