host,tic_id,ra,dec,st_rad,st_rad_err,st_mass,st_mass_err,st_teff,crowd_flux_ratio_max,crowd_nearest_arcsec,var_oot_rms,var_excess,var_ls_amp,var_ls_power,var_ls_period
TIC_31604105,31604105,89.9243358984234,-66.7626611848955,0.830753,0.0446206,0.92,0.118034,5344.0,0.05617201459287016,6.076687417192242,0.005602324289847777,1.2983857178676133,0.0012630206687635605,0.013841016549099174,13.0
TIC_41033344,41033344,90.4800537035971,-69.5193701758845,2.67922,0.119849,1.19,0.163392,6210.5,0.023319541111398504,1.7622448869599845,0.01544887742608814,12.558085491218794,0.003204603087898309,0.02555412651855826,6.907287562319828
TIC_41359534,41359534,92.6451233626903,-69.596898067011,1.06923,0.0505502,1.03,0.128434,5759.5,0.024499656763111027,1.1637402512415913,0.0033757185041451416,2.379355564520871,0.0010501027545596312,0.034495619008602534,6.8300547845226065
TIC_150108811,150108811,92.5837706229847,-64.0210877724788,0.579531,0.0173521,0.571058,0.0203673,3761.0,0.015781925902467214,7.48227931825043,0.013973415685792774,3.0041077461307277,0.0029822401775105086,0.019196845262124704,7.319228361489218
TIC_389920950,389920950,87.7523943725767,-69.9025074708779,1.30703,0.0558844,1.32,0.215559,6482.0,0.08023428743956457,6.437027913836989,0.003309823750493068,13.282804490188878,0.0014396667658546287,0.03436757531237671,13.0
TIC_40976749,40976749,90.2214391085224,-66.9300449461365,2.03018,0.0892209,1.21,0.170493,6235.85,0.006568103685019571,7.451979870445493,0.006951842963469763,6.964985353814912,0.0011968536996044884,0.021715845295817396,7.0213201424795875
TIC_149503544,149503544,86.0162712183463,-63.9795418559793,0.99813,0.0451433,1.1,0.139168,5984.0,0.0057459256222971945,4.181297374403258,0.009677850828629849,6.125629024144457,0.0023087983340680795,0.019770880990973128,7.506080441564288
TIC_150065151,150065151,91.4086712445934,-63.1359802746646,0.166194,0.00512787,0.136878,0.0200672,3010.0,0.07952066440708727,14.360746800804947,0.043066911789758404,2.103212085635098,0.007222695999542249,0.015153957813326981,7.4248972152899375
TIC_167006919,167006919,94.9648485666361,-68.4326911411598,1.69725,,,,7013.0,0.023088727601076272,1.5353876072485897,0.004269033239687258,6.486065797943705,0.0007842083404274539,0.01365780712952749,6.8242039833314045
TIC_31604303,31604303,89.9258113084552,-66.6051331673608,1.91863,0.0808143,1.05,0.132539,5840.75,0.0017504914747353936,7.553385660169667,0.014376263143505028,11.899907408547929,0.002265152562745254,0.01713296406979525,6.754258214737437
TIC_404850274,404850274,85.0506962218809,-69.6680146949321,,,,,,0.043535145473393835,6.7300481153189935,0.022033827322779132,31.125389175118336,0.0025341101302136797,0.01587262718954701,6.772828399458576
TIC_150272131,150272131,94.7069388285504,-63.0107546345354,1.75116,0.0641834,1.7,0.278701,7421.98,0.35714123821721994,7.363361801611581,0.006791092658798669,5.589694643252338,0.0010303473790063645,0.01295692982895931,13.0
TIC_150065109,150065109,91.6090168620296,-63.0609652544031,1.35667,0.0591206,1.4,0.233824,6643.0,0.04780133216061128,4.059816510662965,0.005944548410900772,11.045799098267048,0.0007842464752960558,0.01828405810707873,6.856925132912503
TIC_41089123,41089123,90.7843032573749,-69.8893082965098,1.79178,0.0908592,1.05,0.131795,5839.0,0.03666063642494719,6.144846800933295,0.007861935352858096,4.004475503011948,0.0015373689158217597,0.015675447982643483,7.475423732471302
TIC_31526975,31526975,89.5147754150058,-66.5723325109145,0.912549,0.0438643,0.99,0.120937,5600.85,0.02464903945604658,4.471354548044925,0.004740389383706105,1.6893076703394738,0.0009578194884535592,0.017010794389204772,7.2506379301197885
TIC_41083208,41083208,90.4061492041377,-66.5889210199328,2.47346,0.0914422,1.71,0.283361,7443.35,0.002316541047477427,8.06154066260622,0.008472565896591244,8.522337432726482,0.0006935722354041606,0.004319775947285986,7.208377630427613
TIC_41083578,41083578,90.4355339096333,-66.2984299837846,0.712362,0.0424146,0.84,0.0958969,5033.25,0.00388078872635906,11.148089996833665,0.005006149000778543,1.392861873715567,0.0005192750119205066,0.013940583659521213,8.001260528313086
TIC_41085097,41085097,90.616162604916,-66.7913044454661,19.8974,,,,5935.73,0.043371056350044145,13.013825529780153,0.005781629215972775,1.4420802962917332,0.0005968132304462176,0.009148100892924296,5.874017363798034
TIC_41172972,41172972,91.2879311862337,-69.3017403074886,,,,,,0.007000353962099628,11.82160271791621,0.0038604873180079057,4.392232468300589,0.0009985145024624911,0.01956382227323434,7.496470161500047
TIC_150148658,150148658,92.9575321230055,-63.8607977692956,1.0015,0.0574045,0.92,0.121192,5327.0,0.0031332857243155793,23.968661380387925,0.005222213060089876,2.456837945902738,0.0019361142029542503,0.01811122289883488,7.573810312123812
TIC_31410025,31410025,88.9699716907302,-66.4895651564762,1.11095,0.0533267,0.97,0.12262,5527.42,0.013440022630821629,9.042268163120013,0.005892336696612187,4.272260756878806,0.0011404542682120094,0.017598092876267436,7.349642334758508
TIC_149503727,149503727,85.8484829284588,-63.7675232111122,2.55106,,,,5094.0,0.013565631012345411,6.491725194441456,0.006311480485087609,2.421931680719304,0.0013897103085980089,0.017908637275319775,13.0
TIC_31604176,31604176,89.9572479054881,-66.7029204392701,1.12881,0.062412,0.93,0.11575,5380.0,0.615857167191635,8.708152384853143,0.020674772292768418,3.511580837612995,0.004741168485735823,0.023282339905521972,7.016133547851893
TIC_41173667,41173667,91.3989020712366,-69.9151360791789,9.05944,,,,5047.0,0.0006421551945230961,16.955598789770963,0.0025414130799565992,3.033536775273437,0.0007197511398056543,0.021502430990681973,7.667583827377457
TIC_31604147,31604147,89.8613960976023,-66.7276964540702,1.90923,0.0861909,1.19,0.174105,6200.12,0.01777296968004114,4.082164096267567,0.008094288224759586,4.338532276606259,0.001298479580704412,0.020492265378573522,6.882580280332888
TIC_31512788,31512788,89.2666788205107,-66.7205367232227,1.15226,0.0519347,1.05,0.128293,5818.55,0.018360309591518367,4.105588634287047,0.008038746343385179,5.19581798099402,0.002574171318318486,0.021183220219141752,7.015823445838186
TIC_150105350,150105350,92.2907831346606,-63.0192310272508,3.03262,0.138301,1.09,0.136157,5963.4,0.03596499464726671,13.753228204721154,0.00456438797604309,6.718936539385491,0.0006766551702271958,0.016360485967916887,7.236934104896942
TIC_150271680,150271680,94.7543934828676,-63.8645175687779,1.30609,0.0746356,0.92,0.115036,5316.6,0.00808053284713729,3.9354128535097614,0.009587852279635482,12.554962444899088,0.0013080677187031604,0.008808548973325996,7.3648968818704805
TIC_41173537,41173537,91.2978001340934,-69.7997932599604,0.679786,0.0569246,0.69,0.0845933,4408.0,0.055040199578031995,6.108515268263636,0.011524724372505093,5.062641768806886,0.0020974510724635306,0.014584214807072542,7.293986117060145
TIC_389328965,389328965,85.6235920357214,-69.4953918920909,,,,,,0.16102006588212964,4.659358873062143,0.016668747879872894,5.121956391492394,0.0057091605445578775,0.03829644432010689,7.418971731836387
TIC_374910243,374910243,88.9469381818339,-63.0863512125338,2.18139,0.0909047,1.44,0.242786,6736.68,0.023144084165877155,6.745045141331676,0.002919401327370516,3.913472099048578,0.0008512792318511158,0.013992137107531763,7.765959826253468
TIC_150250528,150250528,94.5272913755358,-63.8760600581201,0.81855,0.0458292,0.9,0.107552,5270.0,0.006358577954600756,16.018519411654736,0.006112379858821887,3.5130628517565956,0.002206994762577474,0.02598040574250222,8.275978596125872
TIC_31527078,31527078,89.5177734407097,-66.6583381812851,1.17666,0.0518041,1.04,0.125724,5789.16,0.10380063253450655,6.7374748570291825,0.009404811963964895,3.096497155470371,0.0022289278932986897,0.02171029995139991,12.845699241359503
TIC_41232835,41232835,91.9804901937069,-66.3602649811861,0.802884,0.042897,0.97,0.124164,5529.23,0.029818102273281098,2.579057634608832,0.1556756287641682,143.55180529903564,0.05429965848596815,0.09847461115538073,0.23939200943028735
TIC_167006493,167006493,94.8122353346696,-68.831389524258,0.982014,0.0398493,1.01,0.133366,5668.0,0.00044409920937028163,7.6854508911424695,0.004444127581729538,9.594847522071918,0.0008090208764769219,0.017717898177302918,6.84241195558936
TIC_40975842,40975842,90.0775370900381,-66.2242732076955,1.89855,0.0809548,1.22,0.173758,6268.1,0.004412858481188413,2.687177338809371,0.005879510702547761,9.528839057253464,0.0008007524216288254,0.017110150451615663,6.516064301239911
TIC_40975922,40975922,90.0318827995125,-66.2843976746565,0.549435,0.0164196,0.544747,0.020351,3876.0,0.1536455548095219,3.5207155591745796,0.008135951807865398,1.7939046309903035,0.001281263359071883,0.014520293762207552,7.3492514972548575
TIC_41232189,41232189,91.5390897582298,-66.0396195673695,2.47163,0.0620729,2.66,0.342958,10345.0,4.8622803966013984e-05,17.98017532203859,0.0021289848437486074,17.894877560014656,0.000591259360683021,0.0248061205953127,7.022455410045973
TIC_31526716,31526716,89.5509794794096,-66.3399114285936,3.55794,0.152211,1.29,0.199193,6407.1,0.004141522260357362,10.945292547481667,0.0066912806915198336,8.368988513191402,0.0014923551589304924,0.011690847287130888,7.72264665538697
TIC_150104808,150104808,92.280374609683,-63.9608591290326,2.14703,0.10593,0.99,0.124018,5595.0,0.0011715477654051926,15.78815695820443,0.00657901555972448,10.302899880849074,0.0024881500852709645,0.03176820346736747,9.048858962821981
TIC_150140723,150140723,92.8462430405306,-63.9819007617155,1.30334,0.0596105,1.31,0.202201,6446.0,0.02200087735286724,11.37614881298912,0.004751415255128045,3.483964309832424,0.0014111991145127193,0.02009716063088303,7.521490802733316
TIC_41083258,41083258,90.3023028645214,-66.5615790489684,1.10817,0.0623517,1.0,0.120767,5645.0,0.127151064379788,11.206567419055721,0.014681089292022522,2.8870602914805326,0.0028539479061977756,0.018266627869118382,6.838694279652654
TIC_41115548,41115548,90.966096579138,-66.4878801754382,8.20095,,,,5307.0,0.0018073405805644446,10.598047349783725,0.004488028826885383,7.814363144976834,0.0007602212469507701,0.024519447798846874,7.406167782377357
TIC_31513988,31513988,89.4561760466828,-66.1948798155956,0.793387,0.0382136,0.97,0.122712,5506.42,0.0013580632590474845,5.431893143614983,0.006905419422302491,6.783186898028314,0.0010930239923607249,0.01876950455523118,6.757712124230666
TIC_31513962,31513962,89.6270762651578,-66.1655816878238,1.87362,0.0834196,1.08,0.138692,5912.4,0.05486810991883387,2.679306132309975,0.004529489867474154,1.7067676384250687,0.0009588344181117306,0.019221761743514552,7.250637422700518
