host,tic_id,rad,e_rad,mass,e_mass,Teff,logg,e_logg,rho,e_rho,lum,lumclass,priority,contratio,numcont
TOI-1194,147950620,0.992671,0.055799,0.918,0.118409,5323.0,4.4073,0.0856003,0.938483,0.229322,0.71274066,DWARF,0.00217373576,0.0185493436,35
TOI-1199,99869022,1.53552,0.0772462,0.99,0.127451,5618.0,4.06119,0.0776716,0.273442,0.0602203,2.11609578,DWARF,0.00106707,0.000466944737,48
TOI-1203,23434737,1.17321,0.0504221,1.03,0.124138,5742.22,4.31215,0.0705464,0.637835,0.124955,1.34823787,DWARF,0.004563321,0.00238825567,142
TOI-122,231702397,0.334125,0.0100409,0.315858,0.0202514,3356.0,4.88974,0.00177315,8.46769,0.21984,0.0127585251,DWARF,0.00178776786,0.008770765,69
TOI-1221,349095149,1.01814,0.0490778,1.01,0.128814,5665.0,4.42677,0.0789466,0.956961,0.209755,0.961861253,DWARF,0.007857747,0.03026625,144
TOI-1224,299798795,0.404403,0.0120014,0.396442,0.020234,3392.0,4.82262,0.00359931,5.99427,0.227681,0.0195050389,DWARF,0.00549587375,0.0121618127,115
TOI-1226,177115354,0.986943,0.0490577,1.01,0.132671,5668.15,4.45381,0.0783961,1.05062,0.227487,0.905823946,DWARF,0.003084549,0.0360865146,165
TOI-1227,360156606,0.44128,0.013263,0.437175,0.0203843,3055.0,4.78929,0.00584927,5.0876,0.221609,0.0152815729,DWARF,0.000822150963,0.122833915,861
TOI-1230,287156968,1.15281,0.0536432,1.14,0.155961,6083.0,4.37145,0.0839294,0.744095,0.166554,1.63939548,DWARF,0.0040725274,0.00196032156,157
TOI-1232,364395234,1.09597,0.0537437,1.05,0.133005,5818.0,4.37966,0.0781343,0.797624,0.17131,1.23989117,DWARF,0.002007303,0.120714173,244
TOI-1235,103633434,0.629575,0.018704,0.611578,0.0202794,3912.0,4.62642,0.0114063,2.45081,0.137379,0.08363442,DWARF,0.00587234134,0.000820514164,39
TOI-1238,153951307,0.62326,0.0182128,0.606665,0.0201108,3853.0,4.63168,0.010987,2.50577,0.136804,0.0771310553,DWARF,0.00306604127,0.00445519667,34
TOI-1243,219698776,0.490729,0.014421,0.488819,0.0201716,3489.0,4.74553,0.00760071,4.1364,0.194141,0.03215008,DWARF,0.00353933475,0.0555406325,32
