host,crowd_ok,crowd_note,crowd_contratio,crowd_numcont,crowd_flux_ratio_max,crowd_nearest_arcsec,crowd_target_sep_arcsec,crowd_target_tmag,crowd_n_nb_21,crowd_n_nb_42,crowd_n_nb_63
BD+03_2562,1,,,,0.0,49.634656117421066,0.2779282965406103,8.2014,0.0,0.0,4.0
BD+05_4868_A,1,,,,17.864875748520525,3.5875710694720855,0.8694762858714808,12.3186,1.0,4.0,7.0
BD+20_2457,1,,,,8.931409459370248e-05,20.843359875084357,0.72677964208717,8.4752,1.0,1.0,3.0
BD+14_4559,1,,0.006266791,219.0,0.0040700523944023,16.705173171774376,3.6270364328961575,8.7505,1.0,5.0,14.0
BD+15_2375,1,,,,0.0001737480743488,34.37500025433159,0.4771513190454198,9.3605,0.0,1.0,6.0
BD+15_2940,1,,,,0.0035806345672074,8.57207070957135,0.6904068005699276,8.1004,1.0,4.0,10.0
BD+20_274,1,,,,2.2717471924504964e-05,26.46435112645947,0.0586843594883799,8.1716,0.0,2.0,4.0
BD+20_594,1,,0.0005046506,65.0,0.0005548300822656,18.910706806870987,0.9771158413777732,10.4021,1.0,2.0,3.0
BD+37_3172,1,,,,0.0041767646060312,8.194434941947314,0.1991124257364597,8.1867,4.0,10.0,23.0
BD+42_2315,1,,,,0.0004536490439987,23.762682105550564,0.3677161562299814,8.809,0.0,3.0,5.0
BD+45_564,1,,0.002217946,174.0,0.0011731674370293,12.978436323604567,4.310901186265092,8.8588,2.0,9.0,13.0
BD+48_738,1,,,,0.0009383395029948,11.380511174477844,0.1066657530487325,7.8885,4.0,16.0,32.0
BD+49_828,1,,,,0.0079131974067623,5.153992879908213,0.1913526481453101,8.32678,5.0,13.0,29.0
BD+55_362,1,,0.0693340153,518.0,0.0812007424158122,7.454849508952712,5.290950057814227,8.6036,12.0,29.0,62.0
BD+60_1417,1,,2.63778275e-05,31.0,0.0,44.217290587788085,2.19929160415729,8.6054,0.0,0.0,1.0
BD+63_1405,1,,0.000183674842,82.0,0.0,47.67664910354596,3.8657024829254647,8.1519,0.0,0.0,6.0
BD-06_1339,1,,0.007746852,162.0,0.0023212397552437,8.463926603657125,5.374059286486543,8.2906,5.0,9.0,18.0
BD-08_2823,1,,0.00104375,55.0,0.0012683525897666,33.5824136102903,5.833851150280067,8.86,0.0,1.0,5.0
BD-10_3166,1,,0.130540729,41.0,0.1543405345245102,19.15153502443376,2.8679899913126916,9.3253,1.0,4.0,5.0
BD-13_2130,1,,,,0.1523772038760749,8.171885846116368,0.059749489131243,8.999,5.0,25.0,70.0
BD-14_3065_A,1,,0.00430585351,64.0,0.0035347605551482,11.879316734926348,0.1401505577529498,10.6311,1.0,1.0,3.0
BD-210397,1,,0.000387515232,17.0,0.0,45.38773208065786,5.883673942084361,8.4502,0.0,0.0,2.0
BD-11_4672,1,,0.121443272,3618.0,0.0214822615556758,7.940910395311208,5.7742136853142405,8.7204,24.0,157.0,351.0
BEBOP-3,1,,0.00132986845,74.0,6.766560979734989e-05,18.397887470723617,0.501225097697291,8.70912,2.0,4.0,7.0
BEBOP-4_A,1,,0.007322554,34.0,0.0082535350513403,22.414045483830627,0.1993146946171986,9.0024,0.0,3.0,5.0
CD-35_2722,1,,0.002438909,94.0,0.0007159851255182,13.669450285536591,0.8740182299841117,9.20446,2.0,7.0,11.0
CD_Cet,1,,,,2077.2080644034168,24.57665900467373,9.345477558716524,18.9638,0.0,3.0,4.0
Barnard's_star,1,,,,19.820746176051333,12.216353679827414,10.825151825966094,18.1206,6.0,36.0,77.0
