injected_period,injected_depth_ppm,repeat,source_file,recovered_period,recovered_sde,recovered,alias,elapsed_s
1.0,500,3,TIC_127425841.csv,1.519377962031891,11.801986279530416,False,,8.517076957970858
1.0,200,1,TIC_54044474.csv,3.7078548428008284,16.07977893447306,False,,67.31556754198391
1.0,200,2,TIC_347098457.csv,3.1539855658808778,13.642880729862352,False,,79.36584762507118
1.0,500,2,TIC_312221462.csv,0.9986937741324965,12.953430112147597,True,exact,82.36897345806938
1.0,200,0,TIC_184679932.csv,2.170120451728721,16.849798882510523,False,,84.61943962506484
1.0,500,0,TIC_39077574.csv,3.5772109950811095,8.0435462366132,False,,92.48228004202247
1.0,1000,0,TIC_260609205.csv,4.467773113552906,15.223615809036243,False,,91.58170724997763
1.0,500,1,TIC_284564230.csv,0.9992415442080816,15.305935608775952,True,exact,118.32750812498853
1.0,200,3,TIC_23389848.csv,8.012632224981724,8.14589765841143,False,,137.83875054097734
1.0,1000,1,TIC_392112968.csv,1.1963841672763609,9.466169006147467,False,,113.81417904200498
1.0,1000,3,TIC_232967666.csv,1.0006006072058171,18.619068674562314,True,exact,123.48911525006406
1.0,3000,0,TIC_402740809.csv,1.000635456103481,17.415206347345723,True,exact,123.56385495804716
1.0,3000,1,TIC_156816238.csv,2.1435120382496238,14.257893601459308,False,,119.66305191710126
1.0,1000,2,TIC_377304435.csv,0.9992325514262633,14.327855525560667,True,exact,153.30915758304764
3.0,200,1,TIC_169177766.csv,1.6889547936699545,12.601346757909536,False,,6.419586749980226
1.0,3000,3,TIC_330332501.csv,0.9999519765969023,20.73454956431879,True,exact,151.57119562500156
3.0,200,3,TIC_219766989.csv,1.0221310361813527,18.04644832683534,False,,6.398616833030246
3.0,500,0,TIC_328167090.csv,0.7124033600714255,12.261648287875259,False,,5.566807833034545
1.0,8000,3,TIC_256886630.csv,1.0003163206813086,27.472438433348792,True,exact,83.08845595794264
3.0,500,1,TIC_399613138.csv,8.183521224843945,8.425897058153847,False,,15.634468000032939
3.0,200,0,TIC_458856474.csv,6.088793338383917,14.010809638639001,False,,90.54410474991892
1.0,8000,2,TIC_49967354.csv,0.9991880509436258,20.78119226707065,True,exact,134.80325491703115
3.0,200,2,TIC_46772529.csv,10.669251573357242,17.749861571588976,False,,110.82870875007939
3.0,500,2,TIC_353586703.csv,3.0048947175123772,19.343163980634994,True,exact,60.910979499924
3.0,1000,0,TIC_339538183.csv,2.604749134400609,11.282068035265196,False,,51.353613708983175
3.0,500,3,TIC_352924930.csv,2.9913026704901116,10.17349293580195,True,exact,64.15880404191557
3.0,1000,1,TIC_327017634.csv,3.004366507892097,11.354831197140934,True,exact,48.881518041016534
3.0,3000,0,TIC_284050395.csv,3.010456170050548,10.967519007007121,True,exact,41.69429695792496
3.0,3000,1,TIC_344926234.csv,2.997478158189683,16.771353007690404,True,exact,65.87492674996611
3.0,1000,2,TIC_267527924.csv,2.9972253617408064,11.853392561504396,True,exact,88.9985573340673
3.0,3000,2,TIC_347442932.csv,1.3288727463142607,13.90419521888201,False,,99.67284825001843
3.0,3000,3,TIC_178959058.csv,2.9986646821918286,14.350963350328533,True,exact,115.17758170794696
3.0,8000,1,TIC_273774284.csv,3.000019939746394,12.497236064597399,True,exact,114.36786108301021
3.0,8000,0,TIC_268439377.csv,2.9946015755337503,12.413098477668644,True,exact,126.49544633401092
5.0,200,1,TIC_470852531.csv,1.4965640860513798,6.297382122217447,False,,5.614526457968168
3.0,8000,3,TIC_31268146.csv,2.994166587271292,16.234053036882557,True,exact,74.63294487504754
3.0,8000,2,TIC_289125016.csv,3.0016105288304744,15.269449701173263,True,exact,104.5031608750578
5.0,200,0,TIC_237235093.csv,0.9882427341155597,5.877694404949926,False,,48.82765087496955
1.0,8000,1,TIC_95010343.csv,1.0002973372377408,22.451683668470316,True,exact,436.7223725829972
1.0,8000,0,TIC_360286627.csv,1.000430535371471,18.03242566116934,True,exact,480.90912879107054
5.0,200,2,TIC_406855039.csv,9.038268450835744,5.801338913030401,False,,80.86756154103205
5.0,200,3,TIC_373424049.csv,0.9637237089628539,8.820074085880014,False,,56.63378991605714
5.0,1000,1,TIC_71854745.csv,2.5876781075269535,7.099614481955306,False,,5.162550542037934
5.0,500,2,TIC_1101909431.csv,2.7095899226831737,5.957540693631681,False,,49.51877829199657
5.0,500,0,TIC_220435095.csv,3.4194106577337915,14.762191970512687,False,,80.8343688340392
5.0,3000,0,TIC_361034196.csv,5.008305612697898,12.695115839231143,True,exact,3.476758374948986
5.0,1000,0,TIC_389525208.csv,5.00459836175571,9.175416268555729,True,exact,68.09073570801411
5.0,500,3,TIC_154927364.csv,6.991350182567892,14.326019299140173,False,,101.71045387501363
5.0,1000,2,TIC_258777134.csv,5.939786442402024,15.391690628612656,False,,82.42442212498281
5.0,8000,0,TIC_372505528.csv,4.994757979273093,19.705668664227304,True,exact,4.06669587502256
5.0,1000,3,TIC_141663464.csv,1.7661553158397143,13.08675051250486,False,,82.73480366601143
3.0,1000,3,TIC_50365310.csv,2.9975150314343852,11.984508887148822,True,exact,413.6959393749712
5.0,3000,1,TIC_233569098.csv,5.004099349406138,13.039556746630957,True,exact,91.32347033300903
5.0,3000,3,TIC_294090620.csv,4.996958248297583,19.190147226855277,True,exact,55.785901165916584
1.0,3000,2,TIC_343648136.csv,1.0012931324761563,14.864319204635443,True,exact,691.3684947079746
8.0,200,0,TIC_141405814.csv,1.136260123475015,9.134638759731516,False,,27.368195415940136
5.0,3000,2,TIC_233569098.csv,5.004099349406138,12.393275996065844,True,exact,89.65891387499869
5.0,8000,1,TIC_452483795.csv,4.9944592084022394,10.78687662567915,True,exact,65.08456708397716
5.0,500,1,TIC_385624852.csv,4.990238195596899,11.30728335766934,True,exact,206.48125720908865
8.0,200,3,TIC_281979481.csv,1.0845006859484805,11.231639458320245,False,,30.708912582951598
5.0,8000,2,TIC_9727392.csv,5.011536331258094,12.963963237760627,True,exact,77.60161241702735
8.0,500,1,TIC_65347776.csv,8.027225826783576,7.270713101691598,True,exact,33.06451029202435
8.0,1000,1,TIC_320506985.csv,5.292308129509208,7.499600821830859,False,,3.0508970000082627
8.0,200,1,TIC_89759617.csv,0.7456861975508988,8.33489915522757,False,,59.15771091601346
8.0,500,0,TIC_431999925.csv,0.9699328848804182,6.656511632820481,False,,59.10388170799706
8.0,200,2,TIC_45684223.csv,6.5853461422764825,18.06647836363775,False,,68.61566287500318
8.0,1000,2,TIC_152714791.csv,7.996932393799907,9.412242605130617,True,exact,29.618126500048675
8.0,500,2,TIC_80478272.csv,5.092269125056348,17.91061961972604,False,,74.71385016699787
8.0,1000,0,TIC_137500798.csv,8.012795882817397,11.412024331445188,True,exact,73.54405212495476
8.0,3000,2,TIC_314338017.csv,8.019865001871121,15.005237521403986,True,exact,48.32277712493669
8.0,3000,0,TIC_420645189.csv,8.004281380927782,11.845231884297304,True,exact,61.13035470806062
8.0,3000,3,TIC_51024887.csv,8.22774870331339,10.011611219445381,False,,50.05546641605906
8.0,3000,1,TIC_286696848.csv,8.944980668610368,15.728723184815959,False,,74.38484795799013
8.0,8000,2,TIC_49899799.csv,8.011994866202953,24.321269999301922,True,exact,51.276934499968775
12.0,200,1,TIC_336456596.csv,0.7790818662236321,12.605306509433207,False,,3.596218792023137
8.0,8000,1,TIC_389999924.csv,7.983906907317374,11.531283116618958,True,exact,76.51011462509632
8.0,8000,3,TIC_143350972.csv,7.987080367198266,24.159399695674335,True,exact,63.23841016704682
5.0,8000,3,TIC_360286627.csv,4.99865349155291,12.312069555739352,True,exact,242.00857412500773
12.0,500,1,TIC_329145325.csv,1.0768013935790628,10.829634968759104,False,,3.7716415830655023
12.0,200,2,TIC_341805908.csv,1.490302586959937,13.970562135757442,False,,67.76439804106485
12.0,500,0,TIC_19155785.csv,6.406643549087668,8.991196729575512,False,,51.002592334058136
12.0,200,3,TIC_312899686.csv,4.419857294265675,12.258169666636359,False,,60.99668304203078
12.0,500,2,TIC_389525208.csv,6.764423485586763,11.096669437322225,False,,60.13788791699335
12.0,1000,1,TIC_172464366.csv,2.92866541427444,13.61705549753806,False,,48.21717887499835
12.0,500,3,TIC_305943739.csv,11.96909786141729,10.514614665322785,True,exact,64.66122649994213
12.0,1000,0,TIC_141776043.csv,4.071446601465848,11.647872481802953,False,,62.60104645800311
8.0,1000,3,TIC_388624270.csv,8.01739249768883,10.016664748864526,True,exact,293.88694058405235
8.0,500,3,TIC_124709665.csv,7.986155064207871,10.433484322417815,True,exact,305.20524579193443
12.0,200,0,TIC_348684813.csv,12.028545219901833,9.10851634660975,True,exact,199.5274679590948
12.0,8000,0,TIC_326114850.csv,6.013817246931092,8.455937324277123,True,half,3.66207066597417
12.0,1000,2,TIC_233497719.csv,3.803565980469976,17.68241059963531,False,,73.26329616701696
12.0,3000,0,TIC_87597187.csv,2.041263529326734,14.862393989197527,False,,61.34627533296589
12.0,8000,3,TIC_190442486.csv,11.97905950754361,18.23109588402608,True,exact,3.304293666034937
12.0,3000,1,TIC_461662295.csv,11.984677006250665,11.400622409653442,True,exact,63.804723375011235
12.0,1000,3,TIC_347011522.csv,12.01225638058664,9.101311910075708,True,exact,75.62226049997844
12.0,8000,1,TIC_137543637.csv,6.730482705176124,9.368026983831212,False,,46.53176975005772
12.0,3000,2,TIC_38686737.csv,2.244919628328869,17.27629924115763,False,,60.605993875069544
12.0,3000,3,TIC_115446313.csv,11.986548202143448,11.4320829433853,True,exact,57.59168237494305
8.0,8000,0,TIC_297153209.csv,7.993500102595568,13.277454510558284,True,exact,335.21448854205664
12.0,8000,2,TIC_308425348.csv,12.009350348578602,10.016133655836692,True,exact,238.40693483303767
