host,pool,gaia_ruwe,gaia_nss,gaia_gmag,gaia_sep_arcsec,gaia_source,gaia_nss_flag,gaia_ruwe_high
TIC_616437924,main,0.997,0.0,18.52755,37.62,4.992281487346043e+18,0.0,0.0
TIC_261056133,main,0.994,0.0,13.899312,59.28,5.925800845441337e+18,0.0,0.0
TIC_197963087,main,1.048,0.0,8.417082,37.26,6.526934187663039e+18,0.0,0.0
TIC_410006490,main,1.159,0.0,13.397349,9.66,6.375684341651258e+18,0.0,0.0
TIC_337200363,main,0.989,0.0,15.785494,43.92,5.920627024728278e+18,0.0,0.0
TIC_267080594,main,1.168,0.0,12.549351,24.78,6.386850844302987e+18,0.0,0.0
TIC_143894194,main,1.118,0.0,15.199833,85.19999999999999,6.509691169576015e+18,0.0,0.0
TIC_144285638,main,0.944,0.0,6.891439,92.04,6.531722255860914e+18,0.0,0.0
TIC_1989598625,main,1.123,0.0,17.083982,14.16,6.475565902062967e+18,0.0,0.0
TIC_23595159,main,1.09,0.0,15.942986,33.36,5.956077508689541e+18,0.0,0.0
TIC_67644505,main,1.032,0.0,10.285234,7.68,5.014169400897084e+18,0.0,0.0
TIC_379470448,main,1.064,0.0,15.243138,5.3999999999999995,6.637897214674476e+18,0.0,0.0
TIC_91636891,main,0.983,2.0,9.054072,13.86,4.953822460392301e+18,1.0,0.0
TIC_355340132,main,1.046,0.0,16.42479,7.0200000000000005,6.669933611955633e+18,0.0,0.0
TIC_67583991,main,0.955,0.0,13.493351,22.62,5.026550726459166e+18,0.0,0.0
TIC_143951327,main,1.135,0.0,12.236751,92.58,6.511622010777372e+18,0.0,0.0
TIC_314017913,main,,,,,,,
TIC_371950279,main,1.232,0.0,11.995649,53.94,6.374710208709051e+18,0.0,0.0
TIC_91240021,main,2.009,0.0,5.277691,8.459999999999999,6.721796892548702e+18,0.0,1.0
TIC_1695999069,main,0.977,0.0,16.23187,4.62,6.720657317455798e+18,0.0,0.0
TIC_33241809,main,0.915,0.0,8.934923,8.100000000000001,5.955040948427483e+18,0.0,0.0
TIC_88143396,main,0.946,0.0,12.003437,21.6,6.719943077278063e+18,0.0,0.0
TIC_2055325970,main,1.057,0.0,18.699911,89.88,6.500737807735284e+18,0.0,0.0
TIC_118732476,main,1.036,0.0,14.979959,10.38,6.652022503118979e+18,0.0,0.0
TIC_1555630658,main,1.461,0.0,17.115261,2.76,4.0375048673354824e+18,0.0,1.0
TIC_212203714,main,1.002,0.0,17.598265,5.04,5.938647878574705e+18,0.0,0.0
