host,period,depth_ppm,repeat,flux_source,n_raw,baseline_d,duration_d,t0,n_after_clip,savgol_status,savgol_recovered,savgol_alias,savgol_SDE,savgol_snr,savgol_period,savgol_scatter,savgol_tls_s,savgol_window_pts,savgol_window_hours,gp_protect_status,gp_protect_recovered,gp_protect_alias,gp_protect_SDE,gp_protect_snr,gp_protect_period,gp_protect_scatter,gp_protect_tls_s,gp_protect_rho_days,gp_protect_rho_floor,gp_protect_n_fit,gp_tight_status,gp_tight_recovered,gp_tight_alias,gp_tight_SDE,gp_tight_snr,gp_tight_period,gp_tight_scatter,gp_tight_tls_s,gp_tight_rho_days,gp_tight_rho_floor,gp_tight_n_fit,status
TIC_155114483,2.0,84,1,pdcsap_flux,13135,23.262003792538508,0.15454183504798588,1766.1509289318806,13104,ok,False,,7.704577861995112,21.80300303239701,10.53967422464449,0.0008350676292527444,177.2,401,13.366338193503907,ok,False,,8.603289526814738,5.904045942188049,10.53967422464449,0.0007974188627685219,92.6,0.501,0.5,13104,ok,False,,7.001906592282521,4.4105193942625025,10.53967422464449,0.0007865789124316239,59.0,0.22419791037616615,0.1,13104,ok
TIC_427352241,2.0,84,0,pdcsap_flux,14683,21.771801881227248,0.16999601855278448,1468.6053001035355,14683,ok,False,,4.538815252074316,8.500875983518258,2.520418940390133,0.0013901509468020766,141.0,401,13.366419132282317,ok,False,,5.109168609247558,5.577954821847787,2.6351675604915408,0.0013652503276637047,122.4,0.501,0.5,14683,ok,False,,5.683750945561472,4.984264917903301,2.6351675604915408,0.0013563091141344386,73.0,0.2851055808601061,0.1,14683,ok
TIC_367287018,2.0,84,4,pdcsap_flux,16749,24.440514560166775,0.22544926524647355,2719.592714487056,16749,ok,False,,3.8446880771301575,4.33618339200336,8.88891001536712,0.0023517998960020255,169.6,401,13.366785982678266,ok,False,,3.9880706927691,4.216692831388386,3.573236350585037,0.0023399024831304233,111.7,0.501,0.5,16749,ok,False,,4.122743578866023,4.2168904894266666,3.573236350585037,0.0023338981647337163,72.2,0.3566562237295038,0.1,16749,ok
TIC_367913453,2.0,84,2,pdcsap_flux,16553,24.440453494975372,0.1672688096989965,2720.3523448368874,16553,ok,False,,4.244086557155488,4.39710148706151,1.6972654285218414,0.004253675783001106,232.7,401,13.366747894098808,ok,False,,4.558544361452538,4.041909591013429,1.6972654285218414,0.004263166952448342,144.6,1.1672847920746574,0.5,16553,ok,False,,4.558742272109801,4.041890900954227,1.6972654285218414,0.004263197726138393,118.7,1.1675494972039515,0.1,16553,ok
TIC_136971594,2.0,250,4,pdcsap_flux,18882,27.16289449918304,0.15635997428384454,2797.3088649371516,18882,ok,False,,5.23210153928444,4.279378969559301,1.8805558794452497,0.0007297375513869344,112.9,401,13.36685110482722,ok,True,exact,4.93070053827883,4.832700506084773,2.0083085718378437,0.0007259464225737261,70.5,1.005137133137943,0.5,18882,ok,True,exact,4.929332315693755,4.831597098977759,2.0083085718378437,0.0007259117307167373,69.2,1.0046751803935519,0.1,18882,ok
TIC_65347776,2.0,250,2,pdcsap_flux,12933,20.265641759470554,0.0727255694343463,1387.6627350658976,12933,ok,False,,5.605246989683851,4.928250264102065,0.739391200525357,0.001725289380965774,170.3,401,13.3669256780031,ok,False,,7.121510172375356,7.247233190391675,10.067650986155186,0.0017321804942104018,161.9,30.500000000000004,0.5,12933,ok,False,,7.121563527186758,7.247216449288226,10.132820879735268,0.0017321835321770932,196.0,30.100000000000005,0.1,12933,ok
TIC_312899686,2.0,250,3,pdcsap_flux,14999,27.697152767928856,0.09363417064672086,3339.8311562003737,14999,ok,False,,13.660788968953938,8.802086243252875,4.416294758003279,0.008212963888720254,198.8,401,13.366649037976458,ok,False,,13.453443950256375,7.9200322306475055,4.416294758003279,0.008199746057135795,208.0,0.9372253110989525,0.5,14999,ok,False,,13.455432865464063,7.925077739939675,4.416294758003279,0.008199347091242376,203.5,0.9386976639959699,0.1,14999,ok
TIC_177722855,2.0,700,1,pdcsap_flux,17458,25.839287949912432,0.12454253765631805,2203.4104749478897,17458,ok,True,exact,11.814080445295653,11.312848640160027,2.0001957166117976,0.0013981239282360434,133.2,401,13.36687581010483,ok,True,exact,11.059115567935429,7.199548982900708,2.0001957166117976,0.0013870173069097027,109.0,0.501,0.5,17458,ok,True,exact,9.81492452408116,6.521377043863535,2.0001957166117976,0.0013851950905014916,98.7,0.3691254814126185,0.1,17458,ok
TIC_11111899,2.0,700,4,pdcsap_flux,18321,26.589014666714775,0.16272346160934983,2421.0119843652315,18321,ok,False,,6.6266333410924565,10.973644050823223,2.473428947232156,0.0011057907800391216,64.2,401,13.366691494291445,ok,False,,5.509286382264585,5.039111535903608,2.473428947232156,0.0010729455901310422,71.2,0.6156242636879328,0.5,18321,ok,False,,5.506068128417628,5.035308259318291,2.473428947232156,0.0010728121452901998,62.1,0.6146968343200734,0.1,18321,ok
TIC_49617263,2.0,2500,0,pdcsap_flux,808,20.229246962565185,0.16635974008106716,1386.6407423370138,757,ok,False,,3.139464263476174,4.231546198801358,3.0086935059682443,0.000310341075046806,2.5,401,200.50095494906236,ok,False,,3.4090173823382135,4.35065818126266,3.0086935059682443,0.000313169026300073,2.6,30.500000000000004,0.5,757,ok,False,,3.409018063083608,4.3506572883405585,3.0086935059682443,0.00031316908926416054,2.5,30.100000000000005,0.1,757,ok
TIC_274662200,2.0,250,0,pdcsap_flux,12603,26.04462685606927,0.0482015983514668,1712.3083848643564,12603,ok,False,,15.14628370446876,8.223800993462008,1.229024472623801,0.0020587472420891873,509.4,401,13.366732554506598,ok,False,,15.142235733348063,7.892775623479036,1.229024472623801,0.002046479191751456,417.8,0.8032950619261798,0.5,12603,ok,False,,15.140630542096995,7.892605768423648,1.229024472623801,0.002046407773655702,264.9,0.8027728355645798,0.1,12603,ok
TIC_334597566,2.0,700,2,pdcsap_flux,17991,28.759726153255997,0.13454230345354065,2853.6959536150785,17991,ok,False,,9.472329148357165,8.117783837503282,9.117525788713552,0.0037243524240817938,113.1,401,13.366642670185684,ok,False,,4.869778580418792,4.833782962659946,6.363445590741553,0.00365165012843315,118.2,0.6675181193526023,0.5,17991,ok,False,,4.871672955758106,4.833941644320114,6.363445590741553,0.0036517563024456518,107.3,0.6669719634934157,0.1,17991,ok
TIC_402848417,2.0,2500,2,pdcsap_flux,885,22.458683707832733,0.13999672116111664,1790.7761586791041,885,ok,True,exact,11.503324983902065,18.1242426458088,1.9980692379050107,0.001160021640679849,5.2,401,200.50318582359523,ok,True,exact,12.853265621895003,17.697223344489426,1.9980692379050107,0.0010443233392281883,9.9,3.2437423395556886,0.5,885,ok,True,exact,12.853184212413252,17.698550728789645,1.9980692379050107,0.0010444835446771442,4.1,3.2467900505648255,0.1,885,ok
TIC_237751146,2.0,250,1,pdcsap_flux,14653,21.77257683706989,0.03940925882077792,1468.8471777486586,14653,ok,False,,16.262709493152308,11.65222458397126,1.671291811225083,0.021952424837736514,544.2,401,13.366894327027694,ok,False,,15.911350360985486,9.639847160138686,1.671291811225083,0.021870494441281144,427.4,0.501,0.5,14653,ok,False,,13.711276437869417,7.502632469881574,1.671291811225083,0.021752460944964205,340.1,0.26858301554395914,0.1,14653,ok
TIC_13023738,2.0,2500,1,pdcsap_flux,14723,24.28153333776072,0.1554509046659152,2088.28025250591,14723,ok,True,exact,11.53860399389039,10.38803406800157,2.0003443990572536,0.0038295218984363494,55.3,401,13.366490530315787,ok,True,exact,10.429516879426416,7.544983147808834,2.0003443990572536,0.0038067414301262525,86.2,0.501,0.5,14723,ok,True,exact,9.919999183992948,6.760588482746254,2.0003443990572536,0.003794908510331675,43.3,0.30570886343633225,0.1,14723,ok
TIC_33091633,2.0,84,3,pdcsap_flux,17399,25.839160830900255,0.047271620132325096,2202.6164512031646,17264,ok,False,,23.806479774627327,42.31384144343241,7.522060163526151,0.0013345566923357128,610.4,401,13.366813060012646,ok,False,,10.053077195419705,6.1277455054848,0.2837374003589415,0.0012146318097928305,409.5,0.5010000000033913,0.5,17264,ok,False,,8.49141562415417,5.2265809301907735,0.8524785170947156,0.001208813284582049,354.7,0.3811550154414929,0.1,17264,ok
TIC_256349966,6.0,84,0,pdcsap_flux,12874,28.061851665006543,0.21764347412912363,3400.153967997001,12874,ok,False,,5.038510468679414,5.086394541679918,7.603602392049915,0.0034220309097901724,63.2,401,13.366554925967648,ok,False,,4.6801045805477015,5.443385500161449,7.603602392049915,0.0034142084378883295,42.3,0.501,0.5,12874,ok,False,,4.615606054572184,5.251868832836294,7.603602392049915,0.003417002478693486,51.2,0.42825371230561227,0.1,12874,ok
TIC_35377903,6.0,84,2,pdcsap_flux,14118,27.161950240770693,0.25768462894781907,2801.776891091113,14118,ok,True,half,9.568323401693187,19.57707143955717,2.9848449549828437,0.0013585413482405226,33.9,401,13.366337970302993,ok,False,,6.659196137817072,5.373369976813293,8.977737729123469,0.0012850732655677888,30.9,0.998149766151046,0.5,14118,ok,False,,6.659136564591681,5.373394641274849,8.977737729123469,0.0012850718351321562,53.7,0.9986121565984724,0.1,14118,ok
TIC_367913453,6.0,84,1,pdcsap_flux,16553,24.440453494975372,0.24124336891420936,2724.4145347249373,16553,ok,False,,4.19897315696009,4.374113298237883,1.6972654285218414,0.004253805673771672,63.4,401,13.366747894098808,ok,False,,4.457653991680003,4.986907477933771,8.744625854612007,0.0042734107743698495,62.6,4.708194376942966,0.5,16553,ok,False,,4.512102707749045,4.031706585701038,1.6972654285218414,0.00426401633147207,82.5,1.2180526101415916,0.1,16553,ok
TIC_123106490,6.0,84,3,pdcsap_flux,15685,24.002780360126962,0.17147159108736929,2964.854184759356,15685,ok,False,,13.384152000226333,13.708314752550507,3.3009183538528526,0.0020511305272471847,72.1,401,13.366667191650777,ok,False,,13.613201969566198,10.87064890000918,3.3009183538528526,0.0020334500699593014,68.4,0.501,0.5,15685,ok,False,,13.226069441699323,8.490398325793759,3.3009183538528526,0.0020187158786271696,78.7,0.22215642175389022,0.1,15685,ok
TIC_367102581,6.0,250,0,pdcsap_flux,112718,27.720057810949584,0.24779889524339982,2884.857087501802,112710,ok,False,,5.068946746211986,5.172247940310993,5.570088986730615,0.0017354589727735423,46.6,401,2.2277879355751793,ok,True,half,12.337051179817069,12.99820443875892,2.982011421106391,0.0017463674682175307,45.5,1.1562010475443798,0.5,22542,ok,True,half,12.336800240088968,12.997496654396526,2.982011421106391,0.0017463755436191951,47.7,1.1560565062817432,0.1,22542,ok
TIC_309436531,6.0,84,4,pdcsap_flux,15446,24.265016269934222,0.1638881582297618,3831.625238964675,15446,ok,False,,12.26475346042174,17.49139316107978,3.208551065061881,0.0037272410364397146,89.2,401,13.366524785091315,ok,False,,13.270466087007527,12.64428087758443,3.208551065061881,0.003688199298875817,89.1,0.501,0.5,15446,ok,False,,13.44617874033674,8.961909159174295,3.208551065061881,0.003642842106509014,139.4,0.213957652828821,0.1,15446,ok
TIC_266843799,6.0,250,2,pdcsap_flux,988,24.229425445876814,0.4418424745874378,1571.7090339068936,988,ok,False,,15.37573907714652,15.849577713727909,0.8061284102224774,0.00046790115539551065,42.7,401,200.50190681561799,ok,False,,14.591312610915638,8.987440345611546,0.8069093772098894,0.00033943132293584805,48.9,0.501,0.5,988,ok,False,,12.001394639449197,6.913981281115695,0.8069093772098894,0.0002640745716424365,60.2,0.199868801539265,0.1,988,ok
TIC_349790953,2.0,700,0,pdcsap_flux,18275,27.88029940968613,0.3036482786292842,1327.2887097920145,18141,ok,False,,16.748244024693626,32.16952363602653,1.5525358749036908,0.0025504308854748304,612.3,401,13.366530222878282,ok,False,,16.086512164842176,8.183863828144228,1.5525358749036908,0.0023595650806149467,375.0,0.501,0.5,18141,ok,False,,14.276143680109106,6.85176088953759,1.5525358749036908,0.002355856481217957,403.6,0.39194602467012873,0.1,18141,ok
TIC_173860688,2.0,2500,4,pdcsap_flux,9397,24.018423706334033,0.3036482786292842,2964.0873980569004,9397,ok,True,exact,12.304870579684936,24.67099962450485,2.001683210007868,0.0015097914261730412,232.0,401,22.277689022266713,ok,True,exact,11.126232925754199,6.75871324181151,2.001683210007868,0.001387033464909005,222.1,0.5037334933157768,0.5,9397,ok,True,exact,11.125834797483893,6.758422104957247,2.001683210007868,0.0013870169629513957,365.4,0.5037906141842057,0.1,9397,ok
TIC_153651591,6.0,250,3,pdcsap_flux,16917,25.033462246992713,0.3673258068035297,2234.449454405769,16917,ok,False,,5.997605439050465,7.505076233921787,6.42576464756305,0.0016993806343513814,65.4,401,13.366736869724264,ok,False,,3.615990485828217,4.0719106012872235,6.42576464756305,0.0016643296261845094,120.9,0.501,0.5,16917,ok,False,,2.9834145746240623,3.8079602596065367,6.42576464756305,0.0016632172986589117,32.2,0.4430609737523117,0.1,16917,ok
TIC_395773226,6.0,700,0,pdcsap_flux,16749,24.440272915486275,0.22157678992663793,2719.309808662551,16749,ok,False,,7.019004654315574,6.21420102957988,3.849420185136929,0.002919378681126707,126.8,401,13.366635858181326,ok,False,,9.088440820570582,9.78067015472841,1.9266726871524353,0.0029258202420912793,32.2,30.49130676727381,0.5,16749,ok,False,,9.088441535203547,9.780644363197423,1.9266726871524353,0.0029258177352898835,21.6,30.0996538348582,0.1,16749,ok
TIC_367099243,6.0,250,4,pdcsap_flux,15686,24.44059261605753,0.16126594769808558,2722.782494170661,15660,ok,False,,12.691420902122568,41.73674121942312,1.8321744711700638,0.0014156067940657355,159.8,401,13.366840868220606,ok,False,,10.079728742170794,5.987647063573068,1.8321744711700638,0.0013069704538192057,35.8,0.501,0.5,15660,ok,False,,8.902278178742188,5.26916450613727,1.8321744711700638,0.0012987894507735416,27.0,0.3068232999530992,0.1,15660,ok
TIC_409459226,2.0,700,3,pdcsap_flux,17457,25.83939928999189,0.3036482786292842,2202.1552072462323,17457,ok,False,,12.155767173636741,8.747771271993175,1.2811780642474466,0.0017662366753785227,423.7,401,13.366934069919807,ok,False,,9.76109785778584,6.676205724081989,1.2811780642474466,0.001754998211147752,328.9,0.9881278744119857,0.5,17457,ok,False,,9.744632807971707,6.6633684521599745,1.2811780642474466,0.0017548694107048734,401.4,0.9844831169914602,0.1,17457,ok
TIC_307734817,6.0,700,2,pdcsap_flux,15924,26.334599854084217,0.20873320274248797,1903.383118444485,15923,ok,False,,16.15320873157892,22.47272600329566,2.106912656932251,0.0027969309268241656,24.5,401,13.366616153041832,ok,False,,16.29938238234454,19.674300821616363,2.106912656932251,0.002771462398220716,22.1,0.501,0.5,15923,ok,False,,16.088103843207538,14.590734206921708,2.106912656932251,0.0027332566141638685,22.7,0.18663971530241463,0.1,15923,ok
TIC_143350972,6.0,2500,0,pdcsap_flux,17320,25.726846969728513,0.1337327371154856,1443.9742579676283,16947,ok,False,,14.061648062633237,13.636954557952194,1.0802119101832859,0.00033650249838393544,43.0,401,13.366907681882367,ok,False,,14.359328278112963,10.284298962444248,1.0802119101832859,0.0003307637528243136,41.8,0.501,0.5,16947,ok,False,,11.652987912107129,6.9945316597735845,1.0802119101832859,0.0003265811681344374,40.3,0.19920596194012785,0.1,16947,ok
TIC_334597566,6.0,700,4,pdcsap_flux,17991,28.759726153255997,0.19404357934403793,2855.0160734809765,17991,ok,False,,8.941550097124257,8.075794905089898,9.117525788713552,0.0036989001901711815,41.9,401,13.366642670185684,ok,False,,4.74563693888069,4.8045000624098515,6.363445590741553,0.003650978478604694,56.3,0.7084533472291854,0.5,17991,ok,False,,4.750453568701042,4.8038550167530785,6.363445590741553,0.0036511991796170924,54.5,0.7073944514289349,0.1,17991,ok
TIC_299876474,6.0,250,1,pdcsap_flux,15725,24.456575197919392,0.08391073701363803,3833.510081898947,15725,ok,False,,17.125270967926998,12.796460161819477,2.596396277986406,0.04183526833305705,354.5,401,13.366467654410371,ok,False,,16.841395202578976,9.52753662748674,2.596396277986406,0.04130768836897187,105.2,0.501,0.5,15725,ok,False,,15.3704377700721,8.133848018947292,2.596396277986406,0.041312137209081196,117.7,0.2639016678579744,0.1,15725,ok
TIC_302814895,6.0,2500,3,pdcsap_flux,96641,26.706026591983573,0.24386557944588555,3318.095015633237,96626,ok,False,,4.774280944995352,4.135596997203757,6.257676528309952,0.0026532991959070593,26.6,401,2.227763317827339,ok,True,exact,8.202532312287296,9.859811042415636,6.020890574732283,0.0026674279071098738,23.4,0.9194109856723764,0.5,24157,ok,True,exact,8.20340691471699,9.860881540029963,6.020890574732283,0.002667436970428679,22.1,0.9195741663469069,0.1,24157,ok
