host,label,ls_period_match,trend_slope_ppm_day,trend_amp_frac,straylight_frac,flagged_frac,ls_matched_harmonic,raw_status
11_Com,1.0,0.07280520799807429,1.6993597758491141,4.1148488677583886e-05,0.014288485161957716,0.12704467576129824,1.0,ok
11_UMi,1.0,0.08100964637051399,17.249290543388884,0.0004631406829546084,0.0,0.04163941574013517,0.3333333333333333,ok
14_And,1.0,0.027749530153449893,9.56005126430143,0.0002199505708682157,0.0,0.169578745811393,2.0,ok
14_Her,1.0,0.6634344777350838,0.07200418861476396,1.9070172479971218e-06,0.0,0.0,3.0,ok
16_Cyg_B,1.0,0.28001507312618684,11.251080660784696,0.0003020935454572122,0.0,0.0,0.5,ok
17_Sco,1.0,0.19891784511633473,9.273759819244484,0.0002260724919504052,0.00892983699503898,0.09851169383416017,0.3333333333333333,ok
18_Del,1.0,0.08788976558207856,0.045757259831228116,1.2428697039350978e-06,0.0027675767736441534,0.28756187130768,0.5,ok
1RXS_J160929.1-210524,1.0,0.13480256391391923,324.37566974704265,0.007820577038235256,0.10440224735082854,0.11108740487874262,0.3333333333333333,ok
24_Boo,1.0,0.06542788366081362,0.15793851810026832,4.245996950176275e-06,0.0,0.04249246014648858,2.0,ok
24_Sex,1.0,0.0003381863848002895,7.887114403519318,0.00019053261866425046,0.0,0.02468949943545352,0.3333333333333333,ok
2MASS_J01033563-5515561_A,1.0,0.008185582340930279,28.175741616229192,0.0007721693771683972,0.0,0.0,1.0,ok
2MASS_J01225093-2439505,1.0,0.7119365563812723,11.13723380141136,0.0002256978291416608,0.04712660658886098,0.04771753582508494,0.3333333333333333,ok
2MASS_J02192210-3925225,1.0,0.40987707626473074,39.7640788758022,0.000805830979019998,0.08842431853438723,0.08908916303464579,0.3333333333333333,ok
2MASS_J0249-0557_A,1.0,0.0038686379704752465,14.201850460334198,0.00036096099415831466,0.061064262867112536,0.061064262867112536,0.5,ok
2MASS_J03590986+2009361,1.0,1.1037314516280412,259.785607520735,0.0061845752722143885,0.16724986655595753,0.16724986655595753,0.3333333333333333,ok
2MASS_J04372171+2651014,1.0,0.0005874837682254113,28.64828539109538,0.0006843568769254561,0.09515058098174058,0.09515058098174058,1.0,ok
2MASS_J04414489+2301513,1.0,,1738.5403960229103,0.041429139111720026,0.12310442253358704,0.12310442253358704,,ok
2MASS_J11011926-7732383,1.0,0.15800458977813026,22.461048776116886,0.0005064379643810361,0.1569339052018036,0.35664797096667766,2.0,ok
2MASS_J11550485-7919108,1.0,0.5979280834118221,3.1180596623724974,8.695970921290138e-05,0.0,0.0,0.3333333333333333,ok
2MASS_J12073346-3932539,1.0,0.05623327185931752,1.034379449871797,2.5077993777427775e-05,0.12564269251226287,0.12564269251226287,3.0,ok
2MASS_J16262785-2625152,1.0,0.0008958942300684087,113.561027192676,0.0027089095196045237,0.10283763601450821,0.12154185335324656,0.5,ok
2MASS_J19383260+4603591,1.0,1.1093081293824614,89.9239594086053,0.0024144667697857847,0.0,0.0,3.0,ok
2MASS_J21252752-8138278,1.0,0.28743624803684825,35.02541346576104,0.0008873594349477703,0.0,0.11369721936148301,0.5,ok
2MASS_J22362452+4751425,1.0,1.9059067989282086,35.23561914063157,0.0009824664605848996,0.06573735656608584,0.08430939226519336,3.0,ok
2MASS_J22501512+2325342,1.0,0.0010641547303341212,63.6094591088524,0.001773464519845774,0.16664966333401346,0.16787390328504387,1.0,ok
47_UMa,1.0,0.29343791028034616,0.01527812289146691,3.9911994573757205e-07,0.010380372971314064,0.1733883342660625,2.0,ok
4_UMa,1.0,0.21058280078815175,9.996865993715634,0.0002631002279985671,0.0,0.0,0.3333333333333333,ok
51_Eri,1.0,0.14039074351326236,13.988506169887975,0.0003595244144869047,0.0010847844704538966,0.01495860690836426,2.0,ok
