host,var_status,var_oot_rms,var_excess,var_ls_amp,var_ls_power,var_ls_period
11_Com,ok,0.00040739167045649854,8.282787685010199,0.00022377644515298264,0.14852224234100347,2.4208556838645108
11_UMi,ok,0.0009961541580914225,20.203831322213215,0.0006532445705027367,0.18766973279198756,2.054769731279682
14_And,ok,0.0005924471301498116,9.614768403337683,0.00034416005167967067,0.13376929160762474,2.607201090205923
14_Her,ok,0.00019355937879267973,1.4960677727163807,3.373530235308639e-05,0.04999272912967919,9.333982277753432
16_Cyg_B,ok,0.001391765830507505,9.26473340964205,0.0004180685641103236,0.08803395090312469,3.502379724902708
17_Sco,ok,0.0009374985781772614,17.32637995061223,0.0005067276890527269,0.19869253727635644,2.538977062487978
18_Del,ok,0.00021512591437097237,2.9060828420447304,6.722219926267868e-05,0.05913257773298985,0.9738117523672473
1RXS_J160929.1-210524,ok,0.00857361407978355,4.3910906752128955,0.010875795352270014,0.5065711427964428,4.011789534104082
24_Boo,ok,0.0006432023261755385,8.320112190126219,0.0002870580400870178,0.1124979703311611,5.758780564979044
24_Sex,ok,0.00045040775362965266,3.9403225140156883,0.0002755606911371267,0.15725601922194027,3.8955797932982428
2MASS_J01033563-5515561_A,ok,0.012047309191870612,1.6669716209609746,0.0013818871830492414,0.009964850607202069,1.6803137671041535
2MASS_J01225093-2439505,ok,0.00834956364047386,3.075183622843222,0.008542341665952179,0.844355597067597,1.4898810716915234
2MASS_J02192210-3925225,ok,0.009399433054646321,0.976251502481878,0.003332357147436569,0.18280683224091893,1.6340183494916376
2MASS_J0249-0557_A,ok,0.008680865082457911,1.2576267981947384,0.006627841778942723,0.29132995622550184,1.1050641824166554
2MASS_J03590986+2009361,ok,0.07022024823530588,0.9266280771932907,0.003984575624166645,0.006914251871841998,0.7438650121209776
2MASS_J04372171+2651014,ok,0.00941715436147144,1.244245230321976,0.006308360696186572,0.41421884668819586,1.8371288905769478
2MASS_J04414489+2301513,ok,0.8336849962298009,2.238179373203509,0.8260531204317981,0.697741484412327,2.5895960630098016
2MASS_J11011926-7732383,ok,0.10576959900488861,0.9603265737230307,0.008372258259973567,0.014799455588697337,2.0126635393478005
2MASS_J11550485-7919108,ok,0.014766401667146717,1.6286459475815207,0.013888373932263769,0.7359530338047588,2.2588941088982906
2MASS_J12073346-3932539,ok,0.05699466925183846,0.9707153593735005,0.011358956541946146,0.07717238233816703,0.9774600633038003
2MASS_J16262785-2625152,ok,0.02855613473929333,3.532313376837232,0.026609560220953028,0.4182553340995561,0.5992824165118302
2MASS_J19383260+4603591,ok,0.06340644807917635,12.685979714547301,0.001969118095012354,0.000924942710039335,1.144053374136559
2MASS_J21252752-8138278,ok,0.027105507448523445,30.254857379237883,0.02803667280064352,0.9555672797519474,0.5416519364487323
2MASS_J22362452+4751425,ok,0.006809198394776498,1.3927235104366174,0.004884960583041987,0.4282072783409062,10.956424627730176
2MASS_J22501512+2325342,ok,0.022437453720779682,5.331289756921766,0.02611654087930732,0.8540096823907662,0.7385398181210017
47_UMa,ok,0.00017082054580315223,1.1792432136144653,2.7113994225734455e-05,0.10612751992814619,3.7262647237353472
4_UMa,ok,0.0007056527700602821,15.976964298742114,0.0003248613874824968,0.09551704245889969,3.279229176706134
51_Eri,ok,0.0024793776550062446,29.621182085273404,0.001651991952015122,0.22267575101590353,1.8356170012215216
51_Peg,ok,0.00022779434532463493,1.3388016007193204,4.386234569255839e-05,0.14651268612340304,6.134609068821791
55_Cnc,ok,0.00017411588842995384,1.8432104789701287,5.546926485335482e-05,0.13635013332005894,10.114395882330642
55_Cnc_B,ok,0.00017422657875925442,1.8443803642799572,5.57670843444583e-05,0.13481304413649284,10.114395882330642
61_Vir,ok,0.00010498911960157233,1.9136069945190177,2.3685596155935216e-05,0.0751472491592858,3.0491654505445354
6_Lyn,ok,0.00022101813943468373,2.530052959300955,5.112023752554706e-05,0.0356635112883052,0.6607254118793042
70_Vir,ok,0.00011680803087477517,1.9257757413413632,1.4670505414413851e-05,0.01558249680839773,2.9620938063071987
75_Cet,ok,0.00032882503102014715,4.897260493095778,0.00014700895106258696,0.10310671368373778,2.562619765916452
7_CMa,ok,0.0002020388116121416,5.77865402527822,5.456370794550295e-05,0.04102783751732346,2.6547476078993757
