host,st_rad,st_teff,crowd_flux_ratio_max,crowd_nearest_arcsec,var_oot_rms,var_excess,var_ls_amp,var_ls_power,var_ls_period,st_mass
TIC_1310815601,0.920943,5054.0,1.5602708686930624,0.9489242123532527,0.0243894773448633,5.889468710720182,0.031299777852444,0.7713563747180575,0.8538269812558505,0.84
TIC_1689447815,0.565905,3942.0,3.844855300887731,2.7492355400952406,0.0085862350645811,1.1148874700884426,0.0025010761043958,0.1082314314856818,6.2043150321907365,0.61
TIC_208155431,0.940999,5386.0,0.7534943497392497,3.81428891056984,0.0207020092140475,1.4293583861504322,0.0066859824629694,0.1081968162056541,5.672185062678098,0.93
TIC_219285759,10.8967,4980.3,0.012331048332289,2.593251805790542,0.0089393047391663,19.219687906943022,0.0046715784486591,0.0519525719058697,7.274838881989138,
TIC_234281396,0.678038,4365.0,0.0214585315988437,12.66847065899987,0.016668547425741,2.544699375668547,0.0051834941485841,0.0579282179897825,6.878041632833837,0.68
TIC_238831201,0.318299,2965.0,0.1684224575082702,20.020054496375337,0.0241190094624786,3.742697366313597,0.0062406227672218,0.0588990981578784,6.8771944423104925,0.297598
TIC_259719464,1.18404,6031.36,0.0004765187567201,18.732933050139888,0.0115646626088495,29.036630776496672,0.0018313670591556,0.036551553195572,7.156218903427832,1.12
TIC_265285561,3.60556,4913.0,0.008786178051976,11.081808864932242,0.0134662347976025,16.24185703945765,0.0042805892587415,0.0365316976169636,7.01266247395076,
TIC_265467908,2.40019,4953.0,0.0016436146363905,9.217751308400214,0.0430562559419522,21.43025437340549,0.0338714509877961,0.2585518069797545,9.44635477419148,
TIC_265469420,1.65575,6543.0,0.0070333138901809,11.89079857514185,0.0155566996809173,7.136620795480913,0.0032365165617876,0.0331476331632602,7.274532128119961,1.35
TIC_270245472,19.4574,4711.0,0.0034651337299204,2.8292631097071497,0.0022114768430219,2.6076326104147824,0.0013642179746209,0.0473784892381941,7.292625751080852,
TIC_273365294,8.09161,4524.0,0.000306930466878,15.905965233139952,0.0143035701326692,16.95888800567506,0.0060091492498334,0.0360382422100958,7.024449501333434,
