host,injected_period,injected_depth_ppm,repeat,injected_duration_days,duty_cycle_pct,true_secondary_depth,fold_period,fitted_duration_days,old_depth,new_depth,new_half_phase,new_n_in_window,new_truedur_depth,new_truedur_half_phase,new_truedur_n_in_window,fitted_over_true_duration,old_n_in_window,status
TIC_269424395,2.0,1000,5,0.08972366370133783,4.486183185066891,0.0003281149096506786,2.4165881007932173,0.07529343902289683,0.00035596696750039847,0.0010738240777548036,0.015578459357261302,27,0.0009157977900535741,0.022430915925334458,45,0.8391703583741884,97,ok
TIC_119081096,2.0,1000,3,0.02160014126143318,1.080007063071659,0.0003094528875688951,0.8368688658457113,0.0527589004774478,0.0005932030819467693,0.0008325056459156377,0.03152160549319244,827,0.0008148191830239515,0.005400035315358295,143,2.4425257149428115,1311,ok
TIC_427352241,2.0,1000,1,0.07767743107476932,3.883871553738466,0.00026674988820518664,1.2646942329398458,0.0509407117111311,0.0003905959527872316,0.0009138199127449731,0.020139536650181773,587,0.0009007747449452097,0.01941935776869233,563,0.6557980999924872,1451,ok
TIC_309436531,2.0,1000,6,0.05192341649382976,2.5961708246914883,0.0003175344488092202,3.2147035778954995,0.0564793546083423,-0.000310024557863553,0.004822272922245019,0.008784535376247102,208,0.004023686625860168,0.01298085412345744,312,1.0877434194850013,1255,ok
TIC_219205407,2.0,1000,4,0.043615669854817,2.18078349274085,0.00033151964789956967,6.126430622973294,0.0324081473363371,-5.9508112700168425e-05,0.0017004295451750195,0.0026449452650953794,42,0.00014980773642603307,0.01090391746370425,153,0.743039083068396,1170,ok
TIC_367287018,2.0,1000,0,0.10301605832375825,5.150802916187913,0.00033561680030824714,1.999812035824482,0.1014432318204898,0.000413351993610922,0.0008272677410358087,0.025363191640825084,804,0.0008217864730193369,0.025754014580939563,816,0.9847322201134372,1576,ok
TIC_458856474,2.0,1000,7,0.04153873319506381,2.07693665975319,0.0003001432154732253,6.077339645019965,0.04746625940357967,-0.00021136707491198337,0.004388629200039462,0.00390518402591466,64,0.0005846253994987727,0.010384683298765952,177,1.1426987717868164,1376,ok
TIC_277014266,2.0,1000,2,0.11090841763082036,5.545420881541018,0.0002900053626097021,1.379503931384036,0.07616405957792388,0.0004179925614342661,0.0006411804139550004,0.027605597144442204,1094,0.000629769627071175,0.02772710440770509,1101,0.686729296160823,1986,ok
TIC_137543637,2.0,1000,8,0.054831127817484226,2.7415563908742113,0.00032145853736409435,1.2835620387727225,0.04301150635384216,0.0005656252334648171,0.0016846335484511643,0.01675474385132471,431,0.0014802416071298952,0.013707781954371057,356,0.7844359229125122,1240,ok
TIC_130191319,2.0,1000,11,0.047354155842372736,2.3677077921186367,0.00033591834153623434,1.610998137900943,0.03973743802840194,0.00030035368891379033,0.001057082151028732,0.012333173171813223,342,0.001078000976886817,0.011838538960593184,331,0.8391541844959821,1395,ok
TIC_339250695,2.0,1000,9,0.047473367852769253,2.3736683926384625,0.00033266091931116737,4.723639566948786,0.07434221941318471,5.201441898283754e-05,0.0060290538730916055,0.007869167234239862,212,0.004615504395062864,0.011868341963192313,324,1.5659773632185676,1362,ok
TIC_271900960,2.0,1000,10,0.057323451809188054,2.866172590459403,0.0003067685002087206,1.9999626787741922,0.04905741271721441,0.00015736436632263207,0.0007590083082703591,0.012264582043921552,471,0.0006798938859630121,0.014330862952297014,555,0.8558000463843538,1910,ok
TIC_131581531,2.0,2500,0,0.06604658578015146,3.3023292890075733,0.0006936554104849391,3.0581455774427337,0.13101888070687,0.00021343447198840515,0.000999935360126103,0.021421295584043112,848,0.0009270289572076429,0.016511646445037866,656,1.9837343468894986,1971,ok
TIC_165523947,2.0,2500,1,0.1387480626605077,6.937403133025385,0.0007270523265729967,0.9999489481097478,0.04414334156080319,0.0011717584955174276,0.0013623640919534497,0.02207279763844419,689,0.001311587856380081,0.03468701566512693,1079,0.3181546517792774,1553,ok
TIC_146463781,2.0,2500,5,0.011423151628642549,0.5711575814321275,0.000747743524873723,0.8354575798271273,0.06592796560563707,0.016030889255929992,0.01911372229813768,0.03945620172557347,1270,0.01732176222413684,0.0028557879071606372,93,5.771433992027952,1612,ok
TIC_128463355,2.0,2500,2,0.09512369901669614,4.756184950834807,0.0008256854814421288,1.0002697703904428,0.04341848210094572,0.0011613162639372288,0.0015942025053438114,0.021703386119525464,747,0.0015684131310070848,0.023780924754174034,819,0.45644232246818844,1722,ok
TIC_219366908,2.0,2500,10,0.032815599224100406,1.6407799612050202,0.0008074497289208837,0.6294685130170254,0.04525770031804512,0.001696599620608863,0.0018644781504285612,0.03594913755187388,65,0.002923788201962152,0.008203899806025101,15,1.3791520309891827,90,ok
TIC_418971787,2.0,2500,3,0.030323275232396578,1.516163761619829,0.0007972692539880422,1.0635408122175543,0.11721203402433696,0.002092993816354305,0.002016495207002089,0.05510462441960359,1988,0.002594433181904554,0.0075808188080991445,276,3.865414706229054,1802,ok
TIC_56231866,2.0,2500,4,0.1387480626605077,6.937403133025385,0.0007030924804337646,1.0006513721191137,0.11552851046999929,0.0011151713004715624,0.00102464692904225,0.05772665370224827,2077,0.0012758736079743205,0.03468701566512693,1247,0.8326495394222361,1798,ok
TIC_452803785,2.0,5000,1,0.04527721918261955,2.2638609591309775,0.0008222652573667277,5.23652894728349,0.5016845803960648,0.004242759711713617,0.004385969405551249,0.04790239731762769,72,0.004687630623644523,0.011319304795654888,16,11.080286940162729,75,ok
TIC_279605855,2.0,2500,6,0.0664619731121021,3.3230986556051048,0.0008253089305030326,0.9990373742581443,0.054757874486217634,0.0010046913123975543,0.0013063373471028372,0.027405318307975823,906,0.0012759040963994384,0.016615493278025525,549,0.8238978158812251,1654,ok
TIC_317397615,2.0,2500,7,0.1387480626605077,6.937403133025385,0.0008253968836144931,1.9998162827144308,0.11337268464408896,0.0013695183442892223,0.0021301551704964172,0.028345774965439243,866,0.0019025394784827343,0.03468701566512693,1059,0.8171118390423378,1522,ok
TIC_140830390,2.0,5000,0,0.1017449730879893,5.087248654399465,0.0011869275568732185,2.0005144691126215,0.061291372476854754,0.0009023071207401312,0.002720560135557104,0.015318902568108413,339,0.0018352380104541544,0.025436243271997325,567,0.6024019724674734,1131,ok
TIC_417705690,2.0,2500,9,0.04320028252286636,2.160014126143318,0.0008016221278724922,2.0003085213645093,0.03500951168342165,0.0002860419176475837,0.0019326602733027443,0.008751027981308586,277,0.0017781434834654997,0.01080007063071659,343,0.8104000631220584,1573,ok
TIC_445137888,2.0,2500,8,0.11120458879850117,5.560229439925059,0.0007742910765012878,1.000323514962836,0.044928986938119524,0.0012212169830083663,0.0014827355011786114,0.022457228219706863,801,0.001415235670554793,0.027801147199625294,996,0.4040209799213347,1785,ok
TIC_56231866,2.0,2500,11,0.1387480626605077,6.937403133025385,0.0007475476683721505,1.9993659275333813,0.12537142521957859,0.0010936807420800498,0.0016842964461747378,0.031352796277330126,1081,0.001582303802031948,0.03468701566512693,1198,0.9035904560796685,1727,ok
TIC_392112968,2.0,5000,2,0.0643850364523489,3.219251822617445,0.0015691444232448504,1.1951956546773523,0.08994974156725898,0.0036372229980488058,0.004550701479223207,0.03762971410381393,1476,0.005446607824333594,0.016096259113087225,631,1.3970597288366904,1957,ok
TIC_140830390,2.0,5000,5,0.1017449730879893,5.087248654399465,0.0016586761311467857,2.0005144691126215,0.061291372476854754,0.0019423749380133026,0.004688601045374163,0.015318902568108413,348,0.0036710407830566893,0.025436243271997325,566,0.6024019724674734,1131,ok
TIC_452803785,2.0,5000,10,0.04527721918261955,2.2638609591309775,0.0014202430047244308,5.256711475736089,0.5016845803960648,0.004334860774654392,0.004385969405551249,0.047718481669741505,72,0.004288810243183949,0.011319304795654888,18,11.080286940162729,77,ok
TIC_299876474,2.0,5000,7,0.02658478924484084,1.329239462242042,0.0015079329399599883,2.5941908442908175,0.09441010832181662,0.0006399593627715028,0.020622965104553193,0.018196446211655993,611,0.02652241812384082,0.00664619731121021,225,3.551282932970336,1622,ok
TIC_192372961,2.0,5000,3,0.1387480626605077,6.937403133025385,0.0015986474704732245,2.0000929991650684,0.12281826114541954,0.002432144475706388,0.0038034133905460177,0.030703137603273842,1241,0.003638880889632712,0.03468701566512693,1399,0.8851890166274565,2017,ok
TIC_379931600,2.0,5000,4,0.05400035315358295,2.7000176576791475,0.001312318761738429,2.927410120564572,0.08048021963785855,-0.00012904548861825127,0.002966163747426531,0.013745976191121686,290,0.002965988526034802,0.013500088288395738,281,1.490364690930149,1574,ok
TIC_137543637,2.0,5000,8,0.054831127817484226,2.7415563908742113,0.001409829297887466,1.999702596050864,0.022138509250004414,0.0006112765664754161,0.003375025674911103,0.005535450444912385,126,0.0019084400765088105,0.013707781954371057,314,0.4037580500568332,1138,ok
TIC_233569098,2.0,5000,6,0.06272348712454635,3.136174356227318,0.0014683008731282143,1.0001191935376883,0.04627349701841131,0.0010153203508347364,0.002018272136307897,0.023133991086967152,901,0.002354617718882679,0.01568087178113659,609,0.7377379533527646,1944,ok
TIC_33091633,2.0,5000,9,0.02160014126143318,1.080007063071659,0.0016442726950098852,7.5214851231948705,0.10594784061850812,-0.00010612927716113774,0.004686524348581189,0.007043013373235597,177,0.004759535843954388,0.005400035315358295,119,4.904960543368151,2030,ok
TIC_367102581,2.0,5000,11,0.0785082057386706,3.9254102869335297,0.0016857648044396045,1.9999221647450358,0.06737033147556927,0.000470562105413741,0.004199623154436338,0.016843238367768708,493,0.0040388658282812795,0.01962705143466765,575,0.8581310812251162,1461,ok
TIC_110936761,2.0,10000,1,0.05067725449797785,2.5338627248988925,0.003153821389771494,0.9997548845598282,0.028524025174646656,0.0011058969194326362,0.0045659670381733575,0.014265509283910729,370,0.004770442145699549,0.012669313624494463,328,0.5628565607433378,1312,ok
TIC_180987952,2.0,10000,4,0.07643126907891741,3.8215634539458705,0.0032183268999453896,2.000642647210389,0.052059918498058216,0.0006231172483117664,0.00791577778608954,0.013010798947690222,374,0.006557219068951237,0.019107817269729353,549,0.6811337705815784,1439,ok
TIC_41330864,2.0,10000,0,0.06230809979259572,3.115404989629786,0.00289245162574836,0.9998600168548963,0.02294754352177566,0.0013506541365412295,0.0047705701791794786,0.011475378120408379,410,0.004584150937124609,0.01557702494814893,554,0.36829149979153425,1775,ok
TIC_180987952,2.0,10000,5,0.07643126907891741,3.8215634539458705,0.0020162195875670363,2.000642647210389,0.052059918498058216,0.0005045036862447727,0.0041320284732002666,0.013010798947690222,375,0.0033467090175198777,0.019107817269729353,548,0.6811337705815784,1417,ok
TIC_207084429,2.0,10000,3,0.07352355775526294,3.676177887763147,0.003329267942338676,1.9996758634540335,0.054639170169005186,0.00018190947579876937,0.0086579281817587,0.013662006720085907,506,0.007686526922851655,0.018380889438815735,680,0.7431518799849429,1843,ok
TIC_391821647,2.0,10000,2,0.04050529105190381,2.025264552595191,0.003270201699399955,2.000027977842036,0.03046262830669049,0.000655350477823613,0.007644200099626519,0.007615550543337564,301,0.006301186817653903,0.010126322762975953,401,0.7520654096190897,1964,ok
TIC_61733521,5.0,1000,0,0.050739061120072565,1.0147812224014514,0.0003226309463345567,3.368077489545246,0.11742615847047384,0.00018302405472558902,0.0005796743019411688,0.01743222340266414,39,0.0006764119040367778,0.005073906112007256,11,2.314314768115006,114,ok
TIC_420645189,2.0,10000,6,0.042784895190915724,2.1392447595457864,0.0033421426797676235,0.9998472315226561,0.032877511455691705,0.0008584799061019943,0.004761641888805124,0.016441267435237536,538,0.0060985564406116355,0.010696223797728931,351,0.7684373494193437,1636,ok
TIC_12036590,2.0,10000,9,0.03572331054775487,1.7861655273877435,0.003346525576515935,10.8439174861261,0.08518290922111155,0.001559423197562082,0.024599851448178445,0.003927681547286581,183,0.01138831435977905,0.008930827636938718,352,2.38451890138343,2148,ok
