host,tic_id,resolution_status,nearest_sep_arcsec
CoRoT-23,108155949.0,resolved_clear_nearest,0.13415708568814394
CoRoT-24,36105482.0,resolved_clear_nearest,0.047135153634058284
CoRoT-25,130038122.0,resolved_clear_nearest,0.041094702330701775
CoRoT-26,322388624.0,resolved_clear_nearest,0.15683789848249716
CoRoT-28,106352250.0,resolved_clear_nearest,0.13823347478900289
CoRoT-29,370736259.0,resolved_clear_nearest,0.23009319834489506
CoRoT-3,392353449.0,resolved_clear_nearest,0.054232453832319005
CoRoT-30,320636129.0,resolved_clear_nearest,0.019912966101457985
CoRoT-31,250595183.0,resolved_clear_nearest,0.12022333087718558
CoRoT-32,220323515.0,resolved_unique,0.0721640867114141
CoRoT-4,36440357.0,resolved_clear_nearest,0.08278661746701892
CoRoT-5,234112540.0,resolved_clear_nearest,0.13681372266563513
CoRoT-6,130502317.0,resolved_clear_nearest,0.08989272065193145
CoRoT-7,280304863.0,resolved_clear_nearest,0.1698820881027442
CoRoT-8,391880567.0,resolved_clear_nearest,0.5501098180388803
CoRoT-9,130162252.0,resolved_clear_nearest,0.32205016663615993
DENIS-P_J082303.1-491201,388682292.0,resolved_clear_nearest,4.47383558683775e-05
DE_CVn,446175401.0,resolved_unique,4.156502832854382
DH_Tau,268148971.0,resolved_unique,0.3390571779340194
DMPP-1,66560666.0,resolved_unique,0.3325279740562137
DMPP-2,32432767.0,resolved_unique,0.4404964140933379
DMPP-3_A,,ambiguous,4.624475714344364
DMPP-4,26884478.0,resolved_unique,2.9601809029073514
DMPP-6,306668068.0,resolved_unique,1.6382166205942386
DMPP-7,365158631.0,resolved_unique,1.0438111444939397
DMPP-8,318042295.0,resolved_unique,3.150667329727875
DMPP-9,376777782.0,resolved_clear_nearest,1.3437907621018663
DP_Leo,903484062.0,resolved_unique,0.44538071597906115
DS_Tuc_A,410214986.0,resolved_clear_nearest,1.6155656428343497
EPIC_201170410,38116202.0,resolved_unique,0.3387692415917235
EPIC_201238110,35019000.0,resolved_unique,0.43415223181580936
EPIC_201427007,66664249.0,resolved_unique,0.2757669289580501
EPIC_201497682,301610040.0,resolved_unique,0.25441036137850237
EPIC_201595106,397052808.0,resolved_unique,0.3873315038372407
EPIC_201757695,903075188.0,resolved_clear_nearest,0.06729110497016619
EPIC_201841433,380583651.0,resolved_unique,0.12323039275455294
EPIC_206024342,75266189.0,resolved_unique,0.5524080223190175
EPIC_206032309,145752628.0,resolved_unique,1.2810983112425347
EPIC_206042996,12785571.0,resolved_unique,0.1613712311348312
EPIC_206317286,250956593.0,resolved_unique,0.9055633490031028
EPIC_211822797,337632006.0,resolved_clear_nearest,0.5880029472376214
EPIC_211945201,243244680.0,resolved_unique,0.9574766651631352
EPIC_212297394,287331845.0,resolved_unique,0.35894901303494653
EPIC_212424622,297146115.0,resolved_unique,0.19704762842704868
EPIC_212499991,297146957.0,resolved_unique,0.1354758745828544
EPIC_212587672,771548.0,resolved_unique,0.4426342908224572
EPIC_212624936,2764004.0,resolved_unique,0.5360032414884199
EPIC_212737443,670036.0,resolved_unique,0.7948275369494301
EPIC_220492298,257802602.0,resolved_unique,0.24868544100382137
EPIC_220674823,266015990.0,resolved_unique,0.9453971410496593
EPIC_228836835,51641442.0,resolved_unique,1.6856745478155202
EPIC_229004835,94924543.0,resolved_clear_nearest,2.0699699269645455
EPIC_246851721,411839167.0,resolved_clear_nearest,0.20571481060081212
EPIC_248847494,392876254.0,resolved_unique,0.6006476944193987
EPIC_249893012,432254760.0,resolved_clear_nearest,0.5715783478876941
FU_Tau,58544613.0,resolved_clear_nearest,0.00012062663641484523
GJ_1002,,no_match,
GJ_1061,,no_match,
GJ_1132,,ambiguous,5.159386231788699
GJ_1148,115869504.0,resolved_unique,9.030906191481339
GJ_1151,,no_match,
GJ_1252,,no_match,
GJ_1265,,no_match,
GJ_1289,,no_match,
GJ_143,279741379.0,resolved_unique,6.70847210380673
GJ_15_A,,no_match,
GJ_160.2,,no_match,
GJ_163,,no_match,
GJ_179,450102450.0,resolved_unique,5.307273853087139
GJ_180,,no_match,
GJ_2030,,ambiguous,3.402895558046491
GJ_2056,65406275.0,resolved_clear_nearest,1.7739301215324983
GJ_2126,44082776.0,resolved_clear_nearest,1.5819699967846734
GJ_229,,no_match,
GJ_238,737377690.0,resolved_unique,4.912877239123993
GJ_251,,no_match,
GJ_27.1,80417903.0,resolved_unique,8.224060297861683
GJ_273,318686860.0,resolved_unique,0.04094009575436283
GJ_3021,,ambiguous,3.97887645951928
GJ_3082,206548902.0,resolved_unique,5.0795652074227435
GJ_3090,262530407.0,resolved_unique,2.1217250113891053
GJ_3138,,ambiguous,8.096955060298765
GJ_317,,no_match,
GJ_3222,,ambiguous,0.8471542276201197
GJ_328,800022105.0,resolved_unique,9.703210752477629
GJ_3293,,ambiguous,7.501560809735372
GJ_3323,,no_match,
GJ_3341,77897915.0,resolved_unique,8.583021398945478
GJ_3378,,no_match,
GJ_338_B,,no_match,
GJ_341,359271097.0,resolved_unique,9.150018068573424
GJ_3470,19028197.0,resolved_unique,3.0125175216091544
GJ_3473,452866790.0,resolved_unique,8.598363721531413
GJ_3512,,no_match,
GJ_357,,no_match,
GJ_3634,942747314.0,resolved_clear_nearest,1.761221652905924
GJ_367,34068883.0,resolved_unique,9.924195986651812
GJ_3779,,no_match,
GJ_3929,188589164.0,resolved_unique,5.4091679335056675
GJ_393,,no_match,
GJ_3942,162494287.0,resolved_unique,3.30386919179431
GJ_3988,274626553.0,resolved_unique,9.652111434278739
GJ_411,,ambiguous,6.471722123272312
GJ_414_A,9001920.0,resolved_unique,9.666552348573552
GJ_422,,ambiguous,5.053924362810566
GJ_4274,,no_match,
GJ_4276,,ambiguous,4.971502670665845
GJ_433,,no_match,
GJ_436,,no_match,
GJ_463,,no_match,
GJ_480,,no_match,
GJ_486,,no_match,
GJ_504,397587084.0,resolved_unique,5.996269866438543
GJ_508.2,43133318.0,resolved_unique,8.799754026080914
GJ_514,,no_match,
GJ_536,,no_match,
GJ_581,,no_match,
GJ_625,207492082.0,resolved_unique,7.206356281258635
GJ_649,236743275.0,resolved_unique,8.073245609877377
GJ_674,,ambiguous,3.3394685010167837
GJ_676_A,,ambiguous,4.914745857234525
GJ_680,,ambiguous,5.17582988875468
GJ_682,16909008.0,resolved_clear_nearest,0.7652797793139363
GJ_685,219780306.0,resolved_unique,8.947139439562065
GJ_687,,no_match,
GJ_720_A,122958010.0,resolved_unique,8.994401508760554
GJ_724,,ambiguous,5.928762921934433
GJ_740,,no_match,
GJ_806,,ambiguous,1.4675157736677715
GJ_832,,no_match,
GJ_849,,no_match,
GJ_86,631746155.0,resolved_unique,2.5450330748699432
GJ_876,,no_match,
GJ_887,,no_match,
GJ_896_A,,ambiguous,3.410213110042058
GJ_900_A,2052770532.0,resolved_clear_nearest,1.1822923946540742
GJ_9066,,no_match,
GJ_9404,,no_match,
GJ_96,409527090.0,resolved_unique,3.406833926719455
GJ_9689,87942223.0,resolved_unique,6.546640807448684
GJ_9714,,ambiguous,1.5272076805934158
GJ_9773,,no_match,
GJ_9827,301289516.0,resolved_unique,6.72210555230157
GPX-1,245392284.0,resolved_clear_nearest,0.050463588937366174
GQ_Lup,442623945.0,resolved_clear_nearest,0.42734638990778845
GU_Psc,408263079.0,resolved_unique,2.163199517359087
G_192-15,704427628.0,resolved_unique,4.600825028795315
G_196-3,88723334.0,resolved_unique,3.8248676789298077
G_261-6,,no_match,
G_264-012,,ambiguous,6.879183744131733
G_268-110,,ambiguous,1.8054630434409318
G_9-40,203214081.0,resolved_unique,5.636082097883197
Gaia-1,11755687.0,resolved_unique,0.6372668186978436
Gaia-2,147797743.0,resolved_unique,0.38751338202119573
Gaia-4,166669918.0,resolved_unique,1.2039395718086774
Gaia-5,42004825.0,resolved_clear_nearest,1.9947727194196778
Gl_378,,no_match,
Gl_410,97488127.0,resolved_unique,2.3560449885663894
Gl_49,,no_match,
Gl_686,,no_match,
Gl_725_A,,no_match,
Gliese_12,,no_match,
HAT-P-1,346338552.0,resolved_unique,0.8188918062123983
HAT-P-11,,ambiguous,4.105354201729563
HAT-P-12,198108326.0,resolved_unique,2.1992271861323265
HAT-P-13,20096620.0,resolved_unique,0.5538826024384603
HAT-P-14,101721385.0,resolved_unique,0.10981880489140716
HAT-P-15,353459965.0,resolved_clear_nearest,0.2663786154964048
HAT-P-16,191284318.0,resolved_unique,0.34180703278660324
HAT-P-17,266593143.0,resolved_unique,2.32933178510504
HAT-P-18,21744120.0,resolved_clear_nearest,0.609191312427452
HAT-P-19,267650535.0,resolved_unique,0.6522354456438598
HAT-P-2,39903405.0,resolved_clear_nearest,0.48010837222722363
HAT-P-20,26826078.0,resolved_clear_nearest,1.4936826026387782
HAT-P-21,17993892.0,resolved_unique,0.20603393644060583
HAT-P-22,252479260.0,resolved_clear_nearest,1.359915176957622
HAT-P-23,305243225.0,resolved_unique,0.22217603227956187
HAT-P-24,440777904.0,resolved_clear_nearest,0.12912852197177674
HAT-P-25,35022727.0,resolved_unique,0.2967857556580892
HAT-P-26,420779000.0,resolved_unique,2.2909991242280654
HAT-P-27,461239485.0,resolved_unique,0.4457138682183267
HAT-P-28,53728859.0,resolved_unique,0.3979006613686751
HAT-P-29,250707118.0,resolved_clear_nearest,0.1547715931107151
HAT-P-3,311035838.0,resolved_clear_nearest,0.48190293908419846
HAT-P-30,455135327.0,resolved_clear_nearest,0.45787517270176625
HAT-P-31,320798691.0,resolved_unique,0.23754440947628536
HAT-P-32,292152376.0,resolved_unique,0.16165048812072702
HAT-P-33,239154970.0,resolved_unique,0.04098943846393163
HAT-P-34,278348461.0,resolved_clear_nearest,0.32361448939407594
HAT-P-35,455096220.0,resolved_clear_nearest,0.18696520936585762
HAT-P-36,373693175.0,resolved_unique,0.21933167517641458
HAT-P-37,267572272.0,resolved_unique,0.06510655979925484
HAT-P-38,285272237.0,resolved_unique,0.8115158280158538
HAT-P-39,14770122.0,resolved_unique,0.13412109873252678
HAT-P-4,138294130.0,resolved_clear_nearest,0.5039801234594535
HAT-P-40,199671901.0,resolved_clear_nearest,0.16209142923258157
HAT-P-41,398895470.0,resolved_clear_nearest,0.11126068045410813
HAT-P-42,270468559.0,resolved_unique,0.5193904836988598
HAT-P-43,468987719.0,resolved_unique,0.25431508498449634
HAT-P-44,168699373.0,resolved_unique,0.49116312123518846
HAT-P-45,167227214.0,resolved_unique,0.1323458742974051
HAT-P-46,104866616.0,resolved_clear_nearest,0.09840876654716793
HAT-P-49,99224131.0,resolved_clear_nearest,0.1456724528251766
HAT-P-5,76419763.0,resolved_clear_nearest,0.20639227213219377
HAT-P-50,17746821.0,resolved_clear_nearest,0.21510379472293173
HAT-P-51,61205803.0,resolved_clear_nearest,0.29451794097344824
HAT-P-52,436875934.0,resolved_unique,0.4838483784388936
HAT-P-53,189380158.0,resolved_unique,0.050181142847663056
HAT-P-54,284326455.0,resolved_clear_nearest,0.5152918137525211
HAT-P-55,311408969.0,resolved_unique,0.17021500370692297
HAT-P-56,84339983.0,resolved_clear_nearest,0.3777623255187546
HAT-P-57,317520667.0,resolved_clear_nearest,0.2306395572445729
HAT-P-58,9443323.0,resolved_unique,0.24961251630944
HAT-P-59,229400092.0,resolved_unique,0.3380981573363977
HAT-P-6,176899385.0,resolved_clear_nearest,0.3149200684334498
HAT-P-60,354469661.0,resolved_clear_nearest,0.421817170365459
HAT-P-61,259506033.0,resolved_unique,0.37373375392484776
HAT-P-62,453064665.0,resolved_clear_nearest,0.7159797082977876
HAT-P-63,325670253.0,resolved_clear_nearest,0.23060258634800113
HAT-P-64,455036659.0,resolved_clear_nearest,0.13453946020018748
HAT-P-65,283419843.0,resolved_clear_nearest,0.11546483222079404
HAT-P-66,137881699.0,resolved_unique,0.27766972500655696
HAT-P-67,198588220.0,resolved_clear_nearest,0.31763760943429287
HAT-P-68,63189173.0,resolved_unique,0.3674885464385173
HAT-P-69,379929661.0,resolved_clear_nearest,0.04669178915050856
HAT-P-7,424865156.0,resolved_clear_nearest,0.31524385307969194
HAT-P-70,399870368.0,resolved_unique,0.08772759986076974
HAT-P-8,188876052.0,resolved_unique,1.1818005611165388
HAT-P-9,371234684.0,resolved_unique,0.25128742588973946
HATS-1,219698950.0,resolved_clear_nearest,0.31601831915423334
HATS-10,126325985.0,resolved_clear_nearest,0.09112959389179183
HATS-11,11439959.0,resolved_clear_nearest,0.31382693004232526
HATS-12,11270200.0,resolved_clear_nearest,0.27969673523531435
HATS-13,289793076.0,resolved_unique,0.16876056918907026
HATS-14,29344935.0,resolved_unique,0.1541000109806706
HATS-15,271898990.0,resolved_unique,0.28363516282554463
HATS-16,77044471.0,resolved_unique,0.31654091735953904
HATS-17,73717937.0,resolved_clear_nearest,0.49877644112407143
HATS-18,14614418.0,resolved_unique,0.0906467358418249
HATS-2,413376180.0,resolved_unique,0.7198327989368467
HATS-22,14661418.0,resolved_unique,0.4157159587675067
HATS-23,7088246.0,resolved_unique,0.11412379744081995
HATS-24,380589029.0,resolved_clear_nearest,0.27308618190435496
HATS-25,437333618.0,resolved_unique,0.3677690584692189
HATS-26,315002523.0,resolved_clear_nearest,0.07201032271392704
HATS-27,248111245.0,resolved_clear_nearest,0.21092678202048182
HATS-28,6663331.0,resolved_clear_nearest,0.19395673348872713
HATS-29,201604954.0,resolved_unique,0.5797176358125098
HATS-3,336732616.0,resolved_clear_nearest,0.2911141989116236
HATS-30,281459670.0,resolved_clear_nearest,0.354020466637525
HATS-31,9385460.0,resolved_unique,0.03870216277703278
HATS-32,204317710.0,resolved_unique,0.3126913023623585
HATS-33,360742636.0,resolved_clear_nearest,0.5964579759521809
HATS-34,355703913.0,resolved_unique,0.08837732792210387
HATS-35,339522221.0,resolved_clear_nearest,0.36036050429989114
HATS-36,119262291.0,resolved_unique,0.12239325426072792
HATS-37_A,6036597.0,resolved_unique,0.3509572119951893
HATS-38,168281028.0,resolved_unique,0.3568533872966374
HATS-39,112604564.0,resolved_clear_nearest,0.0881733777480013
HATS-4,59843967.0,resolved_unique,0.03862783710346291
HATS-40,172598832.0,resolved_unique,0.10972859408489592
HATS-41,53750200.0,resolved_unique,0.07381244556508619
HATS-42,98283926.0,resolved_clear_nearest,0.04599010984207051
HATS-43,78055054.0,resolved_unique,0.1506682808060497
HATS-44,32499655.0,resolved_unique,0.033602479822389654
HATS-45,4616072.0,resolved_unique,0.07554490208222618
HATS-46,281541555.0,resolved_unique,0.3515031369530478
HATS-47,158297421.0,resolved_clear_nearest,0.0962453773811688
HATS-48_A,201642601.0,resolved_clear_nearest,0.10688968642144836
HATS-49,281541545.0,resolved_unique,0.6723123830758199
HATS-5,139733308.0,resolved_unique,0.3417807706037795
HATS-50,301031110.0,resolved_clear_nearest,0.12908718905952404
HATS-51,53458803.0,resolved_unique,0.277828795252944
HATS-52,19684256.0,resolved_clear_nearest,0.452538204171099
HATS-53,157266693.0,resolved_clear_nearest,0.547669488928747
HATS-54,363851359.0,resolved_clear_nearest,0.1338133751988823
HATS-55,114299824.0,resolved_clear_nearest,0.09772767185927395
HATS-56,272213425.0,resolved_clear_nearest,0.14093034650028027
HATS-57,178289267.0,resolved_unique,0.2938444142088209
HATS-59,437261733.0,resolved_unique,0.37500056282341443
HATS-6,33521996.0,resolved_unique,0.12055557102377752
HATS-60,145750719.0,resolved_unique,0.06910780778028987
HATS-61,44745133.0,resolved_clear_nearest,0.16531507647202504
HATS-62,336732544.0,resolved_unique,0.12530503558170905
HATS-63,178879588.0,resolved_unique,0.27530618508131394
HATS-64,189625051.0,resolved_clear_nearest,0.05409980583617903
HATS-65,169504920.0,resolved_clear_nearest,0.05412365902494686
HATS-66,52689469.0,resolved_clear_nearest,0.06557158118645738
HATS-67,272212970.0,resolved_clear_nearest,0.09505581131027463
HATS-68,322307342.0,resolved_unique,0.3682952212020456
HATS-69,467971286.0,resolved_clear_nearest,0.30827545481521906
HATS-7,220029715.0,resolved_unique,0.8774976626071295
HATS-70,98545929.0,resolved_clear_nearest,0.05318488548437665
HATS-71,234523599.0,resolved_unique,1.292482415493113
HATS-72,188570092.0,resolved_unique,2.1321523161327387
HATS-74_A,,ambiguous,0.8608247137432434
HATS-75,44737596.0,resolved_unique,0.2012211705020388
HATS-76,170849515.0,resolved_unique,0.6044262613065392
HATS-77,11561667.0,resolved_unique,0.40268637417118625
HATS-8,96847781.0,resolved_clear_nearest,0.14633623882640406
HATS-9,12611594.0,resolved_unique,0.17143111512320713
HD_100508,,ambiguous,4.406904966143448
HD_100546,280773136.0,resolved_clear_nearest,0.5982133296613131
HD_100655,156942082.0,resolved_unique,0.9255246012881755
HD_100777,49427341.0,resolved_unique,0.5757198595345201
HD_10180,231836962.0,resolved_unique,0.2571233979517043
HD_101930,,ambiguous,5.313900754738641
HD_102117,267519701.0,resolved_clear_nearest,1.4705960590721174
HD_102195,397024052.0,resolved_unique,3.412965809392266
HD_102272,82605074.0,resolved_unique,0.164731949546048
HD_102329,325254372.0,resolved_unique,0.7673507864835936
HD_102843,78290210.0,resolved_unique,6.298040482706337
HD_102888,397394991.0,resolved_unique,1.2849280023091623
HD_102956,137810576.0,resolved_unique,0.3308290202867138
HD_103197,400806831.0,resolved_clear_nearest,1.2594880589102502
HD_103720,96195878.0,resolved_unique,1.194700236641142
HD_103774,180205814.0,resolved_clear_nearest,1.9609751488152296
HD_103891,183648073.0,resolved_clear_nearest,1.7107896180768898
HD_103949,428657118.0,resolved_unique,2.8084641233141654
HD_104067,428673146.0,resolved_unique,6.928971745178733
HD_10442,380908091.0,resolved_unique,0.3701982592174727
HD_104985,160224839.0,resolved_unique,2.6905896531489484
HD_105618,397519199.0,resolved_unique,1.6216339249140264
