host,sec_depth_windowed,sec_significance,sec_sigma_eff,sec_n_in_window,sec_status
GJ_422,-0.0002054023058223331,-2.761680501139333,7.437583954320358e-05,137,ok
GJ_486,0.00011028735576457116,2.814966024439531,3.91789296236816e-05,278,ok
GJ_414_A,0.00013310807497479704,1.4036188046549987,9.483206874498539e-05,99,ok
GJ_480,9.594999864193099e-05,1.0262733149181302,9.349361154302768e-05,65,ok
GJ_514,-8.597030360690816e-05,-1.6855420026331718,5.1004545405931405e-05,52,ok
GJ_508.2,-3.538425488192054e-05,-0.43857649287403805,8.067977982596328e-05,54,ok
GJ_649,1.815415483330529e-05,0.3749418658590361,4.8418585616498114e-05,77,ok
GJ_581,-7.954338732973909e-05,-1.04023491206451,7.646675419869605e-05,158,ok
GJ_674,-4.883573573088995e-06,-0.17032279606486397,2.8672460092947193e-05,130,ok
GJ_3470,0.0005661557935132677,4.761887088805378,0.00011889315789201128,509,ok
GJ_676_A,-1.5823056144004255e-05,-0.7875094349666012,2.0092528979891296e-05,452,ok
GJ_625,3.763718268046112e-05,0.9143291230695807,4.116371417122292e-05,120,ok
GJ_682,3.306928428281619e-05,0.4541029443737581,7.282332055437607e-05,131,ok
GJ_685,5.664882583988895e-05,1.3726423364952756,4.126991010967111e-05,107,ok
GJ_720_A,-2.576454692193586e-05,-0.8202951098484045,3.140887543105957e-05,195,ok
GJ_393,-3.7138914007028845e-05,-0.7501461624767097,4.950890355075558e-05,180,ok
GJ_806,-3.125531709002871e-07,-0.014105511159180135,2.2158230735003996e-05,796,ok
GJ_740,-7.253861098444059e-05,-3.3963776933728003,2.1357639677701903e-05,246,ok
GJ_687,5.3564892138924236e-05,1.3827901967540004,3.8736817967515196e-05,68,ok
GJ_536,1.9658995593418993e-05,0.350363017836375,5.611036151823549e-05,198,ok
GJ_724,-4.213795871987891e-05,-0.7643976012205039,5.51257076848459e-05,169,ok
GJ_887,0.0004723478823720484,0.8536683837901821,0.0005533154224066284,366,ok
GJ_4274,-0.00033527115989384626,-1.3340208717582247,0.0002513237738566733,432,ok
GJ_832,-1.0672289452839934e-05,-0.6800573329694853,1.569322016753962e-05,187,ok
GJ_86,1.6875309656327886e-06,0.14833587065535472,1.1376418651653162e-05,298,ok
GJ_876,1.9458038043040915e-05,0.4906409733774764,3.9658404207654305e-05,69,ok
GJ_9404,-5.35383384132615e-05,-0.8941220852816357,5.987810758124567e-05,101,ok
GJ_96,0.0001031044909376444,2.269471923944153,4.543104933347551e-05,65,ok
