kind,host,injected_period,injected_depth_ppm,repeat,injected_duration_hours,tls_s,tls_period,tls_sde,tls_detected,tls_alias,bls_s,bls_period,bls_power,bls_depth,bls_ngrid,bls_detected,bls_alias,period_min,period_max,status
transit,TIC_269424395,0.5,700,5,1.7181754352942566,10.857908250298351,2.411863876972198,4.657612704005004,False,,1.3850764171220362,2.4161708652275746,36.81544424647591,0.0009812085194324902,12229.0,False,,1.8940957644400205,11.750019209650294,ok
transit,TIC_277014266,0.5,700,2,1.9050929998178494,27.171675083227456,5.503607189682163,5.579036657436393,False,,3.7306984160095453,5.512885555621867,70.239805621906,0.001066741840398255,10860.0,False,,2.614966514992232,13.294653844426414,ok
transit,TIC_427352241,0.5,700,1,1.864324104421795,29.6018050420098,2.0033083457688736,5.396772226809176,False,,2.9094549999572337,1.9991968929649837,131.05607417077968,0.0007478211294943853,13263.0,False,,1.5351058847639611,10.885900940613611,ok
transit,TIC_367287018,0.5,700,0,1.5789189296869965,30.173672250006348,7.49978606883185,4.064235710088094,False,,2.9703293326310813,5.507353655196491,22.992666194870587,0.0009194860961071017,10352.0,False,,2.334247814511313,12.220257280083377,ok
transit,TIC_309436531,0.5,700,6,1.7325653794373184,48.5593415829353,3.208551065061881,11.725504149702587,False,,6.193850959185511,3.2145620134230275,174.82049324397815,0.004131484744594072,32612.0,False,,0.8402373501984783,12.132508134967104,ok
transit,TIC_219205407,0.5,700,4,1.326719240632592,54.529212709050626,0.9980886034436728,8.415371611333581,True,double,6.852478958200663,6.125801116822414,101.01418899687718,0.005452172427121979,41096.0,False,,0.6455796288358582,11.844648698809115,ok
transit,TIC_137543637,0.5,700,8,1.8986531935232005,27.715649665798992,1.2837191878553982,8.109224453130487,False,,7.407407834194601,1.2825449414831103,42.55520001697094,0.0014075892905351987,36894.0,False,,0.910788576966921,13.425190245557118,ok
transit,TIC_458856474,0.5,700,7,1.4049780359291435,56.35180908301845,6.088793338383917,10.989428417914334,False,,9.717050999868661,6.0714051161503635,7979.144723334616,0.0029733991700090097,47249.0,False,,0.6008522393903458,12.218300096991918,ok
transit,TIC_339250695,0.5,700,9,1.4528699863842938,40.41633162507787,2.3588909697399387,10.087444997396847,False,,9.394858832936734,4.7274294189444355,90.36715746798421,0.006006686040820801,39821.0,False,,0.7348630736817007,12.468885598239458,ok
transit,TIC_271900960,0.5,2500,0,1.896471941597027,49.20919800037518,1.0018477434442727,10.660816613097575,True,double,8.42330216569826,0.9999680640744177,22352.51209811372,0.0022667885643425116,37180.0,True,double,0.9724212379579265,13.940012417489113,ok
