host,tic_id,elapsed_s,status,sector_used,shift_pixels,verdict,error_message
Kepler-180,27532033,51.95286417007446,completed,74.0,1.2774424171184597,"Photocenter shifted 1.28 px from target -- signal likely from a nearby contaminant, not the target star",
Kepler-1807,159763602,30.21648907661438,failed,,,,"Depth measured at the target's own pixel in this sector (-1440 ppm) doesn't match the known transit depth (3019 ppm) -- this sector's data likely doesn't correspond to the same ephemeris (e.g. a different sector than where period/epoch were derived, or period aliasing). The pixel shift below would not be trustworthy, so this check was not completed with a verdict."
Kepler-1810,351057636,25.765265941619873,failed,,,,"Depth measured at the target's own pixel in this sector (-272 ppm) doesn't match the known transit depth (8210 ppm) -- this sector's data likely doesn't correspond to the same ephemeris (e.g. a different sector than where period/epoch were derived, or period aliasing). The pixel shift below would not be trustworthy, so this check was not completed with a verdict."
Kepler-1815,239273090,17.751614809036255,completed,81.0,2.2158132632065373,"Photocenter shifted 2.22 px from target -- signal likely from a nearby contaminant, not the target star",
Kepler-1809,122300177,47.33547806739807,completed,74.0,3.1233276665349097,"Photocenter shifted 3.12 px from target -- signal likely from a nearby contaminant, not the target star",
Kepler-1812,170346516,35.256340980529785,failed,,,,"Depth measured at the target's own pixel in this sector (2 ppm) doesn't match the known transit depth (28263 ppm) -- this sector's data likely doesn't correspond to the same ephemeris (e.g. a different sector than where period/epoch were derived, or period aliasing). The pixel shift below would not be trustworthy, so this check was not completed with a verdict."
Kepler-1811,122294261,49.263829946517944,failed,,,,"Depth measured at the target's own pixel in this sector (-1141 ppm) doesn't match the known transit depth (20638 ppm) -- this sector's data likely doesn't correspond to the same ephemeris (e.g. a different sector than where period/epoch were derived, or period aliasing). The pixel shift below would not be trustworthy, so this check was not completed with a verdict."
Kepler-1816,27911400,34.5406699180603,completed,74.0,0.834533128228395,"Photocenter shifted 0.83 px from target -- signal likely from a nearby contaminant, not the target star",
Kepler-181,27767452,64.89172506332397,failed,,,,"Depth measured at the target's own pixel in this sector (-62 ppm) doesn't match the known transit depth (6256 ppm) -- this sector's data likely doesn't correspond to the same ephemeris (e.g. a different sector than where period/epoch were derived, or period aliasing). The pixel shift below would not be trustworthy, so this check was not completed with a verdict."
Kepler-1818,120251654,20.406742811203003,failed,,,,"Depth measured at the target's own pixel in this sector (-1934 ppm) doesn't match the known transit depth (6886 ppm) -- this sector's data likely doesn't correspond to the same ephemeris (e.g. a different sector than where period/epoch were derived, or period aliasing). The pixel shift below would not be trustworthy, so this check was not completed with a verdict."
Kepler-1817,351804260,25.753860235214233,failed,,,,"Depth measured at the target's own pixel in this sector (-1114 ppm) doesn't match the known transit depth (7852 ppm) -- this sector's data likely doesn't correspond to the same ephemeris (e.g. a different sector than where period/epoch were derived, or period aliasing). The pixel shift below would not be trustworthy, so this check was not completed with a verdict."
Kepler-1814,399821831,51.136873960494995,failed,,,,"Depth measured at the target's own pixel in this sector (-282 ppm) doesn't match the known transit depth (11648 ppm) -- this sector's data likely doesn't correspond to the same ephemeris (e.g. a different sector than where period/epoch were derived, or period aliasing). The pixel shift below would not be trustworthy, so this check was not completed with a verdict."
Kepler-1813,424864367,52.07182598114014,completed,40.0,0.8488054180343176,"Photocenter shifted 0.85 px from target -- signal likely from a nearby contaminant, not the target star",
Kepler-1821,27187386,13.53921365737915,completed,74.0,1.5638081475609433,"Photocenter shifted 1.56 px from target -- signal likely from a nearby contaminant, not the target star",
Kepler-1824,360023295,30.35890030860901,completed,81.0,0.47399129096198284,Borderline: photocenter 0.47 px from target -- weak evidence of a nearby contaminant,
Kepler-1819,272596372,46.89267897605896,failed,,,,"Depth measured at the target's own pixel in this sector (247 ppm) doesn't match the known transit depth (12111 ppm) -- this sector's data likely doesn't correspond to the same ephemeris (e.g. a different sector than where period/epoch were derived, or period aliasing). The pixel shift below would not be trustworthy, so this check was not completed with a verdict."
Kepler-1825,63282889,36.4562029838562,completed,74.0,1.3634134510489282,"Photocenter shifted 1.36 px from target -- signal likely from a nearby contaminant, not the target star",
Kepler-182,267672183,44.46951603889465,failed,,,,"Depth measured at the target's own pixel in this sector (-2982 ppm) doesn't match the known transit depth (8121 ppm) -- this sector's data likely doesn't correspond to the same ephemeris (e.g. a different sector than where period/epoch were derived, or period aliasing). The pixel shift below would not be trustworthy, so this check was not completed with a verdict."
