host,oe_timing_offset_frac,oe_timing_significance,oe_n_epochs_odd,oe_n_epochs_even,oe_status
Kepler-1363,0.039615601494008515,0.8551141110257835,9,9,ok
Kepler-1364,0.002662740320991598,0.05434155145941102,8,10,ok
Kepler-1365,0.09168551815947536,1.9363966997029913,6,7,ok
Kepler-1366,0.01934563789958048,0.575382025630538,23,24,ok
Kepler-1367,0.006911909020818077,0.09509095569857903,13,14,ok
Kepler-1369,0.09732810560980754,0.8449914648019434,8,11,ok
Kepler-137,0.03699711654722905,0.7604965131600576,7,8,ok
Kepler-1370,0.003656422786492947,0.05508181176795573,11,11,ok
Kepler-1371,0.06255265560308641,0.7718181736378052,12,12,ok
Kepler-1372,0.005851912597173525,0.05281026925597229,2,2,ok
Kepler-1373,0.0031033711111303547,0.05935491697642659,8,10,ok
Kepler-1375,0.007327918102345254,0.309660885155018,8,10,ok
Kepler-1376,0.028361757478521783,0.4775143096440425,16,16,ok
Kepler-1377,0.1857152842747388,1.283399551193203,4,3,ok
Kepler-1378,0.12310526813798565,1.3661812685337056,2,2,ok
Kepler-138,0.009459108395510044,0.10325185564616854,18,18,ok
Kepler-1380,0.04805667108482817,0.4990143584606208,2,2,ok
Kepler-1381,,,1,2,"too few epochs (odd=1, even=2)"
Kepler-1382,0.14162486760701512,1.9928900056036214,2,2,ok
Kepler-1383,0.016491443198062717,0.2213079852913755,2,2,ok
Kepler-1384,0.07283671063653066,1.150752287542578,4,6,ok
Kepler-1385,0.13695174254154968,2.2400337205866427,2,2,ok
Kepler-1386,0.03994634126836925,0.5880133398289388,3,4,ok
Kepler-1387,0.03439329927596485,0.791721262650333,20,20,ok
Kepler-1388,0.018482015623736824,0.6723128818674924,34,35,ok
Kepler-1389,0.0011737310350799217,0.02897072454273158,18,17,ok
Kepler-139,0.1065453901745434,1.4344717345993754,3,3,ok
Kepler-1390,0.10956446400812768,1.752171222641965,5,6,ok
Kepler-1391,0.03372326411074227,0.9219922710894028,14,16,ok
Kepler-1392,0.035268344687752085,1.2161554931782173,16,18,ok
Kepler-1393,0.02177081475411372,0.2708887021391871,3,3,ok
Kepler-1394,0.038100144566410955,0.4470172118605508,2,2,ok
Kepler-1395,0.047161366958714555,0.7076559696386655,4,5,ok
Kepler-1396,0.001313778067237189,0.02305550097642678,3,4,ok
Kepler-1397,0.03671321647777976,0.7700049763832794,16,16,ok
Kepler-1398,0.1789811114762739,1.628859686421644,7,9,ok
Kepler-14,0.061643702198447406,0.7869803931477801,2,2,ok
Kepler-140,0.12460172429817246,1.3060148207666291,3,3,ok
Kepler-1400,0.02080885779963561,0.2559146158372684,8,9,ok
Kepler-1401,0.0576401762063675,0.707659412248051,4,6,ok
Kepler-1402,,,1,1,"too few epochs (odd=1, even=1)"
Kepler-1403,0.0025874890554787185,0.12362180306972656,15,16,ok
