host,cadence_min,n_points,baseline_days
GJ_687,1.9999968849151628,18405,26.84996412517694
GJ_720_A,1.9999800356526976,18284,26.849635898347287
GJ_724,1.9999910057958914,12413,26.447218338896164
GJ_740,1.9999454337812494,9629,26.22864414534706
GJ_806,2.0000308709131787,18320,26.589350704896333
GJ_832,1.9999857860966586,18263,27.88023477182469
GJ_849,0.33332580140267964,57754,23.57073901670765
GJ_86,2.0000297210208373,18299,27.405939697568556
GJ_876,1.9999945170275168,18294,27.40530271157718
GJ_887,1.99997306066507,18299,27.40506445365145
GJ_896_A,0.33333854386000894,112211,27.88248792450122
GJ_900_A,0.3333392131025903,67985,23.793151430909347
GJ_9066,2.0000741798139643,15257,24.286992337977154
GJ_9404,2.0000299940875266,16098,26.58090828077752
GJ_96,1.999993121244188,15151,23.649888215321198
GJ_9689,2.000023888394935,17645,26.22951797505084
GJ_9714,1.999985116199241,18154,27.744073738555926
GJ_9773,2.0000346385131706,13305,27.16299605222639
GJ_9827,0.3333372021006653,67108,23.793034843758505
GPX-1,2.0000118056850624,19459,27.718238093269974
GQ_Lup,1.9999595857734676,13868,23.857880965685126
GU_Psc,1.9999796859701746,12895,23.30816985659999
G_192-15,2.0000360418271157,16702,24.908771540772705
G_196-3,1.9999951086720102,18613,27.345786751062633
G_261-6,2.0000330115726683,18418,26.850448480029172
G_264-012,2.000030448216421,14510,23.289237044631136
G_268-110,1.9999857775837881,12777,20.265115417395236
G_9-40,2.0001942492672242,15275,24.078740360234406
Gaia-1,1.9999601610470563,14084,23.013499294575922
Gaia-2,1.999964921051287,15594,25.863473770939436
Gaia-4,2.000004498040653,13397,24.597250181999698
Gaia-5,2.000004721339792,18322,26.58903149664502
Gl_378,1.9999971213110257,18644,27.3458185450188
Gl_410,1.9999823855323484,15974,26.396983811225027
Gl_49,1.99998675230745,15108,23.6289764173016
Gl_686,1.9999903673306108,16912,24.866416827541798
Gl_725_A,1.999984377544024,13226,23.0734552921092
Gliese_12,0.33334725972963497,63279,23.016332128170234
HAT-P-1,0.33333854320517275,113167,27.8827450549652
HAT-P-11,2.000022951324354,18222,26.8502116033128
HAT-P-12,1.9999827047649887,12121,23.669233112092797
HAT-P-13,2.0000152131251525,16024,26.62801800224088
HAT-P-14,2.00002155128459,17046,25.67239273828409
HAT-P-15,1.999970250762999,14942,24.18438124871227
HAT-P-16,1.999995779387973,12403,23.054177688960408
HAT-P-17,2.0000071763206506,12495,26.04456294522174
HAT-P-18,1.9999970784192556,11396,25.66398702518927
HAT-P-19,0.33333385195874143,105361,28.76090528742816
HAT-P-2,2.0000084967978182,17655,26.484944197808318
HAT-P-20,2.0001948360004462,15573,24.174555869680717
HAT-P-21,1.9999689733413106,16439,26.088517048665608
HAT-P-22,2.0000044964035624,18091,27.345917766728917
HAT-P-23,2.000033946678741,17573,26.229652267109486
HAT-P-24,1.9999609439037158,15788,24.23285745060616
HAT-P-25,2.000185818251339,12964,22.859056479370338
