hostname,tic_id,disc_year,disc_facility
TOI-942,TIC 146520535,2020,Transiting Exoplanet Survey Satellite (TESS)
TOI-880,TIC 34077285,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-4940,TIC 237929468,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-2049,TIC 314835525,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-5605,TIC 252469648,2026,Transiting Exoplanet Survey Satellite (TESS)
HD 191939,TIC 269701147,2020,Transiting Exoplanet Survey Satellite (TESS)
TOI-1107,TIC 394561119,2022,Transiting Exoplanet Survey Satellite (TESS)
TOI-6330,TIC 308120029,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-1751,TIC 287080092,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-1273,TIC 445859771,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-260,TIC 37749396,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-4487 A,TIC 193754373,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-2981,TIC 287145649,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-6002,TIC 102734241,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-1723,TIC 71431780,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-2005,TIC 147660886,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-674,TIC 158588995,2021,Transiting Exoplanet Survey Satellite (TESS)
TOI-444,TIC 179034327,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-2202,TIC 358107516,2021,Transiting Exoplanet Survey Satellite (TESS)
TOI-5614,TIC 148960849,2026,Transiting Exoplanet Survey Satellite (TESS)
LTT 1445 A,TIC 98796344,2019,Transiting Exoplanet Survey Satellite (TESS)
HD 23472,TIC 425997655,2022,Transiting Exoplanet Survey Satellite (TESS)
TOI-1749,TIC 233602827,2021,Transiting Exoplanet Survey Satellite (TESS)
NGTS-20,TIC 257527578,2022,Transiting Exoplanet Survey Satellite (TESS)
TOI-2427,TIC 142937186,2022,Transiting Exoplanet Survey Satellite (TESS)
TOI-1777,TIC 29191624,2024,Transiting Exoplanet Survey Satellite (TESS)
TIC 172900988 Aa,TIC 172900988,2021,Transiting Exoplanet Survey Satellite (TESS)
TOI-1221,TIC 349095149,2023,Transiting Exoplanet Survey Satellite (TESS)
TIC 150070085,TIC 150070085,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-1291,TIC 198186769,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-4603,TIC 437856897,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-1670,TIC 441739020,2022,Transiting Exoplanet Survey Satellite (TESS)
TOI-132,TIC 89020549,2020,Transiting Exoplanet Survey Satellite (TESS)
TOI-4633,TIC 307958020,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-4443,TIC 158241252,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-3856,TIC 125552076,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-5734,TIC 9989136,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-1695,TIC 422756130,2022,Transiting Exoplanet Survey Satellite (TESS)
TIC 188624430,TIC 188624430,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-6054,TIC 392681545,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-5788,TIC 42883782,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-1431,TIC 375506058,2021,Transiting Exoplanet Survey Satellite (TESS)
TOI-7009,TIC 405837291,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-421,TIC 94986319,2020,Transiting Exoplanet Survey Satellite (TESS)
TOI-6716,TIC 112115898,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-5532,TIC 318836983,2026,Transiting Exoplanet Survey Satellite (TESS)
HIP 67522,TIC 166527623,2020,Transiting Exoplanet Survey Satellite (TESS)
TOI-1272,TIC 417948359,2022,Transiting Exoplanet Survey Satellite (TESS)
TOI-921,TIC 278775625,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-3464,TIC 290504044,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-5486,TIC 291109653,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-2267 A,TIC 459837008,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-3593,TIC 162289289,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-178,TIC 251848941,2021,Transiting Exoplanet Survey Satellite (TESS)
TOI-954,TIC 44792534,2020,Transiting Exoplanet Survey Satellite (TESS)
TOI-1752,TIC 287139872,2026,Transiting Exoplanet Survey Satellite (TESS)
TIC 32032563,TIC 32032563,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-1820,TIC 393831507,2022,Transiting Exoplanet Survey Satellite (TESS)
TOI-938,TIC 332660150,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-2497,TIC 97568467,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-3362,TIC 464300749,2021,Transiting Exoplanet Survey Satellite (TESS)
HIP 113103,TIC 121490076,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-1080,TIC 161032923,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-2977,TIC 361343239,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-4010,TIC 352682207,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-540,TIC 200322593,2020,Transiting Exoplanet Survey Satellite (TESS)
TOI-1136,TIC 142276270,2022,Transiting Exoplanet Survey Satellite (TESS)
TOI-1468,TIC 243185500,2022,Transiting Exoplanet Survey Satellite (TESS)
TOI-1438,TIC 229650439,2025,Transiting Exoplanet Survey Satellite (TESS)
HD 109833,TIC 360630575,2022,Transiting Exoplanet Survey Satellite (TESS)
TOI-2104,TIC 367630162,2026,Transiting Exoplanet Survey Satellite (TESS)
HIP 67522,TIC 166527623,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-1669,TIC 428679607,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-778,TIC 335630746,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-7333,TIC 160585062,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-2453,TIC 59128183,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-2416,TIC 237922465,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-3523 A,TIC 417047499,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-4640,TIC 337216118,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-1442,TIC 235683377,2022,Transiting Exoplanet Survey Satellite (TESS)
TOI-1453,TIC 198390247,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-7149,TIC 459323923,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-3976 A,TIC 154293917,2023,Transiting Exoplanet Survey Satellite (TESS)
LTT 9779,TIC 183985250,2020,Transiting Exoplanet Survey Satellite (TESS)
TOI-763,TIC 178819686,2020,Transiting Exoplanet Survey Satellite (TESS)
TOI-5726,TIC 71582156,2024,Transiting Exoplanet Survey Satellite (TESS)
Wolf 327,TIC 4918918,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-6478,TIC 332657786,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-1246,TIC 230127302,2022,Transiting Exoplanet Survey Satellite (TESS)
TOI-3837,TIC 308073360,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-849,TIC 33595516,2020,Transiting Exoplanet Survey Satellite (TESS)
TOI-1266,TIC 467179528,2020,Transiting Exoplanet Survey Satellite (TESS)
TOI-4734,TIC 97714451,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-2842,TIC 178162579,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-836,TIC 440887364,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-6699,TIC 341405597,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-2886,TIC 318796593,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-1246,TIC 230127302,2022,Transiting Exoplanet Survey Satellite (TESS)
TOI-1184,TIC 233087860,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-2031 A,TIC 470127886,2025,Transiting Exoplanet Survey Satellite (TESS)
HD 15337,TIC 120896927,2019,Transiting Exoplanet Survey Satellite (TESS)
HD 23472,TIC 425997655,2022,Transiting Exoplanet Survey Satellite (TESS)
TOI-4156,TIC 462553953,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-2796,TIC 220076110,2023,Transiting Exoplanet Survey Satellite (TESS)
NGTS-31,TIC 167714124,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-3984 A,TIC 20182780,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-2525,TIC 149601126,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-1248,TIC 232612416,2024,Transiting Exoplanet Survey Satellite (TESS)
TIC 52059926,TIC 52059926,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-3364,TIC 280655495,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-5422,TIC 80611440,2026,Transiting Exoplanet Survey Satellite (TESS)
LHS 1678,TIC 77156829,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-1347,TIC 229747848,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-1824,TIC 142387023,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-1799,TIC 8967242,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-1269,TIC 198241702,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-7155,TIC 468350765,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-941,TIC 408137826,2026,Transiting Exoplanet Survey Satellite (TESS)
HIP 56998,TIC 397362481,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-1883,TIC 348755728,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-2322,TIC 300812741,2025,Transiting Exoplanet Survey Satellite (TESS)
HD 235088,TIC 293954617,2023,Transiting Exoplanet Survey Satellite (TESS)
NGTS-34,TIC 147277741,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-1683,TIC 58542531,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-270,TIC 259377017,2019,Transiting Exoplanet Survey Satellite (TESS)
TOI-2158,TIC 342642208,2022,Transiting Exoplanet Survey Satellite (TESS)
TOI-6281,TIC 152569268,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-1533,TIC 345143460,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-1408,TIC 364186197,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-5502,TIC 126322519,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-3688 A,TIC 245509452,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-5728,TIC 219875976,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-5398,TIC 8260536,2022,Transiting Exoplanet Survey Satellite (TESS)
TOI-5515,TIC 55275863,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-640,TIC 147977348,2021,Transiting Exoplanet Survey Satellite (TESS)
TIC 9344899,TIC 9344899,2026,Transiting Exoplanet Survey Satellite (TESS)
GJ 357,TIC 413248763,2019,Transiting Exoplanet Survey Satellite (TESS)
LHS 1903,TIC 318022259,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-3819,TIC 95660472,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-1634,TIC 201186294,2021,Transiting Exoplanet Survey Satellite (TESS)
TOI-5789,TIC 87216634,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-1269,TIC 198241702,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-2236,TIC 394722182,2022,Transiting Exoplanet Survey Satellite (TESS)
HIP 113103,TIC 121490076,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-2580,TIC 102713734,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-2084,TIC 441738827,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-2458,TIC 449197831,2024,Transiting Exoplanet Survey Satellite (TESS)
TIC 365102760,TIC 365102760,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-5292 A,TIC 33397739,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-1347,TIC 229747848,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-1173,TIC 232967440,2024,Transiting Exoplanet Survey Satellite (TESS)
HIP 9618,TIC 306263608,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-1722,TIC 85242435,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-4930,TIC 307221757,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-2088,TIC 441765914,2024,Transiting Exoplanet Survey Satellite (TESS)
GJ 238,TIC 260708537,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-5126,TIC 27064468,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-406,TIC 153065527,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-277,TIC 439456714,2022,Transiting Exoplanet Survey Satellite (TESS)
TOI-2025,TIC 394050135,2022,Transiting Exoplanet Survey Satellite (TESS)
TOI-799,TIC 255685030,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-2443,TIC 318753380,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-2384,TIC 382602147,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-1470,TIC 284441182,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-4379,TIC 97766057,2024,Transiting Exoplanet Survey Satellite (TESS)
TIC 241249530,TIC 241249530,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-3261,TIC 358070912,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-6086,TIC 18318288,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-3071,TIC 452006073,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-406,TIC 153065527,2024,Transiting Exoplanet Survey Satellite (TESS)
HIP 65 A,TIC 201248411,2020,Transiting Exoplanet Survey Satellite (TESS)
TIC 139270665,TIC 139270665,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-1794,TIC 286916251,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-261,TIC 63898957,2021,Transiting Exoplanet Survey Satellite (TESS)
TOI-1201,TIC 29960110,2021,Transiting Exoplanet Survey Satellite (TESS)
TOI-421,TIC 94986319,2020,Transiting Exoplanet Survey Satellite (TESS)
TOI-125,TIC 52368076,2019,Transiting Exoplanet Survey Satellite (TESS)
TOI-559,TIC 209459275,2021,Transiting Exoplanet Survey Satellite (TESS)
GJ 806,TIC 239332587,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-5795,TIC 151724385,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-1052,TIC 317060587,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-1174,TIC 154089169,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-1011,TIC 114018671,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-1846,TIC 198385543,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-815,TIC 102840239,2024,Transiting Exoplanet Survey Satellite (TESS)
TIC 67686059,TIC 67686059,2026,Transiting Exoplanet Survey Satellite (TESS)
HD 63433,TIC 130181866,2020,Transiting Exoplanet Survey Satellite (TESS)
HD 110082,TIC 383390264,2021,Transiting Exoplanet Survey Satellite (TESS)
BD+05 4868 A,TIC 466376085,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-5599,TIC 159160230,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-431,TIC 31374837,2021,Transiting Exoplanet Survey Satellite (TESS)
GJ 341,TIC 359271092,2025,Transiting Exoplanet Survey Satellite (TESS)
HD 25463,TIC 407966340,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-5160,TIC 4165850,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-1260,TIC 355867695,2021,Transiting Exoplanet Survey Satellite (TESS)
TOI-3235,TIC 243641947,2023,Transiting Exoplanet Survey Satellite (TESS)
LHS 1903,TIC 318022259,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-1801,TIC 119584412,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-762 A,TIC 178709444,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-5335,TIC 381360750,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-1742,TIC 219857012,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-2295,TIC 48018596,2024,Transiting Exoplanet Survey Satellite (TESS)
TIC 24750448,TIC 24750448,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-1295,TIC 219852584,2024,Transiting Exoplanet Survey Satellite (TESS)
IRAS 04125+2902,TIC 56658270,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-2184,TIC 176956893,2022,Transiting Exoplanet Survey Satellite (TESS)
TOI-2018,TIC 357501308,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-669,TIC 124573851,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-4559,TIC 271169413,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-199,TIC 309792357,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-700,TIC 150428135,2020,Transiting Exoplanet Survey Satellite (TESS)
TOI-6954,TIC 443607377,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-2421,TIC 70524163,2022,Transiting Exoplanet Survey Satellite (TESS)
TOI-7510,TIC 118798035,2025,Transiting Exoplanet Survey Satellite (TESS)
TIC 260969020,TIC 260969020,2026,Transiting Exoplanet Survey Satellite (TESS)
HD 77946,TIC 39699648,2024,Transiting Exoplanet Survey Satellite (TESS)
LHS 1478,TIC 396562848,2021,Transiting Exoplanet Survey Satellite (TESS)
TOI-5143,TIC 281837575,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-2147,TIC 341630071,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-5803,TIC 466382581,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-2136,TIC 336128819,2022,Transiting Exoplanet Survey Satellite (TESS)
TOI-1752,TIC 287139872,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-5261,TIC 402828941,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-5616,TIC 154220877,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-4504,TIC 349972412,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-329,TIC 169765334,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-5788,TIC 42883782,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-1753,TIC 289580577,2024,Transiting Exoplanet Survey Satellite (TESS)
BD-14 3065 A,TIC 293607057,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-833,TIC 362249359,2022,Transiting Exoplanet Survey Satellite (TESS)
TOI-904,TIC 261257684,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-3457,TIC 357312511,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-3160 A,TIC 440872576,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-622,TIC 83092282,2023,Transiting Exoplanet Survey Satellite (TESS)
LP 791-18,TIC 181804752,2019,Transiting Exoplanet Survey Satellite (TESS)
TOI-2345,TIC 91555165,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-1136,TIC 142276270,2022,Transiting Exoplanet Survey Satellite (TESS)
TOI-270,TIC 259377017,2019,Transiting Exoplanet Survey Satellite (TESS)
TOI-4860,TIC 335590096,2023,Transiting Exoplanet Survey Satellite (TESS)
HD 6061,TIC 352413427,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-5232,TIC 69356857,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-333,TIC 224245334,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-4529,TIC 384888319,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-1516,TIC 376637093,2022,Transiting Exoplanet Survey Satellite (TESS)
TOI-150,TIC 271893367,2019,Transiting Exoplanet Survey Satellite (TESS)
TIC 86380416,TIC 86380416,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-332,TIC 139285832,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-5301,TIC 58825110,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-2096,TIC 142748283,2023,Transiting Exoplanet Survey Satellite (TESS)
NGTS-11,TIC 54002556,2020,Transiting Exoplanet Survey Satellite (TESS)
HD 183579,TIC 320004517,2021,Transiting Exoplanet Survey Satellite (TESS)
HD 219666,TIC 266980320,2018,Transiting Exoplanet Survey Satellite (TESS)
TOI-2046,TIC 468574941,2022,Transiting Exoplanet Survey Satellite (TESS)
TIC 153919886,TIC 153919886,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-808,TIC 30122649,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-2134,TIC 75878355,2023,Transiting Exoplanet Survey Satellite (TESS)
TIC 34085383,TIC 34085383,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-1994,TIC 445903569,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-3682,TIC 28961316,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-1842,TIC 404505029,2021,Transiting Exoplanet Survey Satellite (TESS)
TOI-1803,TIC 144401492,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-2260,TIC 232568235,2022,Transiting Exoplanet Survey Satellite (TESS)
TOI-500,TIC 134200185,2022,Transiting Exoplanet Survey Satellite (TESS)
TOI-3693,TIC 240823272,2022,Transiting Exoplanet Survey Satellite (TESS)
TOI-1408,TIC 364186197,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-2346,TIC 317483660,2025,Transiting Exoplanet Survey Satellite (TESS)
TIC 154870955,TIC 154870955,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-6564,TIC 453668803,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-1238,TIC 153951307,2022,Transiting Exoplanet Survey Satellite (TESS)
TOI-209,TIC 52204645,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-700,TIC 150428135,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-201,TIC 350618622,2026,Transiting Exoplanet Survey Satellite (TESS)
GJ 1252,TIC 370133522,2020,Transiting Exoplanet Survey Satellite (TESS)
LHS 475,TIC 369327947,2023,Transiting Exoplanet Survey Satellite (TESS)
TIC 270471727,TIC 270471727,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-2196,TIC 372172128,2022,Transiting Exoplanet Survey Satellite (TESS)
TOI-1411,TIC 116483514,2022,Transiting Exoplanet Survey Satellite (TESS)
TOI-3023,TIC 454248975,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-1811,TIC 376524552,2023,Transiting Exoplanet Survey Satellite (TESS)
TIC 393818343,TIC 393818343,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-733,TIC 106402532,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-1732,TIC 470987100,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-2257,TIC 198485881,2021,Transiting Exoplanet Survey Satellite (TESS)
TOI-6008,TIC 286201103,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-469,TIC 33692729,2021,Transiting Exoplanet Survey Satellite (TESS)
TOI-3757,TIC 445751830,2022,Transiting Exoplanet Survey Satellite (TESS)
TOI-3980,TIC 312548829,2025,Transiting Exoplanet Survey Satellite (TESS)
TIC 88692598,TIC 88692598,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-815,TIC 102840239,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-1231,TIC 447061717,2021,Transiting Exoplanet Survey Satellite (TESS)
TOI-2154,TIC 428787891,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-4666,TIC 165202476,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-5027,TIC 361711730,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-5181 A,TIC 346667887,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-1772,TIC 85293053,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-2285,TIC 329148988,2021,Transiting Exoplanet Survey Satellite (TESS)
TOI-1180,TIC 158002130,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-4994,TIC 277128619,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-1452,TIC 420112589,2022,Transiting Exoplanet Survey Satellite (TESS)
TOI-1136,TIC 142276270,2022,Transiting Exoplanet Survey Satellite (TESS)
TOI-1243,TIC 219698776,2026,Transiting Exoplanet Survey Satellite (TESS)
L 98-59,TIC 307210830,2019,Transiting Exoplanet Survey Satellite (TESS)
L 168-9,TIC 234994474,2020,Transiting Exoplanet Survey Satellite (TESS)
TOI-5005,TIC 282485660,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-5319,TIC 246965431,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-4155,TIC 467331291,2025,Transiting Exoplanet Survey Satellite (TESS)
HD 221416,TIC 441462736,2019,Transiting Exoplanet Survey Satellite (TESS)
TOI-4662,TIC 166778944,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-2368,TIC 401125028,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-4336 A,TIC 166184428,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-3331 A,TIC 194795551,2022,Transiting Exoplanet Survey Satellite (TESS)
LHS 1903,TIC 318022259,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-286,TIC 150030205,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-2081,TIC 321669174,2022,Transiting Exoplanet Survey Satellite (TESS)
HD 152843,TIC 349488688,2021,Transiting Exoplanet Survey Satellite (TESS)
HD 25463,TIC 407966340,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-2379,TIC 201177276,2024,Transiting Exoplanet Survey Satellite (TESS)
HR 858,TIC 178155732,2019,Transiting Exoplanet Survey Satellite (TESS)
TOI-4145 A,TIC 279947414,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-3568,TIC 160390955,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-5786,TIC 40292751,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-6029,TIC 419523962,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-2570,TIC 239816546,2022,Transiting Exoplanet Survey Satellite (TESS)
TOI-663,TIC 54962195,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-6448,TIC 320411045,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-1064,TIC 79748331,2022,Transiting Exoplanet Survey Satellite (TESS)
HD 21520,TIC 404518509,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-4641,TIC 436873727,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-2120,TIC 389900760,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-913,TIC 407126408,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-4010,TIC 352682207,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-700,TIC 150428135,2020,Transiting Exoplanet Survey Satellite (TESS)
TOI-4495,TIC 120826158,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-2094,TIC 356016119,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-1743,TIC 219860288,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-4551,TIC 204650483,2023,Transiting Exoplanet Survey Satellite (TESS)
TIC 4672985,TIC 4672985,2024,Transiting Exoplanet Survey Satellite (TESS)
AU Mic,TIC 441420236,2020,Transiting Exoplanet Survey Satellite (TESS)
TOI-2337,TIC 230001847,2022,Transiting Exoplanet Survey Satellite (TESS)
TOI-2015,TIC 368287008,2023,Transiting Exoplanet Survey Satellite (TESS)
HD 22946,TIC 100990000,2022,Transiting Exoplanet Survey Satellite (TESS)
