hostname,tic_id,disc_year,disc_facility
TOI-4914,TIC 49254857,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-4495,TIC 120826158,2026,Transiting Exoplanet Survey Satellite (TESS)
HD 108236,TIC 260647166,2020,Transiting Exoplanet Survey Satellite (TESS)
TOI-375,TIC 280097543,2026,Transiting Exoplanet Survey Satellite (TESS)
TIC 24750448,TIC 24750448,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-1648,TIC 376353509,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-5817,TIC 418604868,2025,Transiting Exoplanet Survey Satellite (TESS)
TIC 320419023,TIC 320419023,2026,Transiting Exoplanet Survey Satellite (TESS)
TIC 65612701,TIC 65612701,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-1105,TIC 274151135,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-5595,TIC 302908969,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-4438,TIC 22233480,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-697,TIC 77253676,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-4747,TIC 235078021,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-3912,TIC 156648452,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-771,TIC 277634430,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-1226,TIC 177115354,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-3894,TIC 165464482,2024,Transiting Exoplanet Survey Satellite (TESS)
TIC 183374187,TIC 183374187,2026,Transiting Exoplanet Survey Satellite (TESS)
TIC 290487717,TIC 290487717,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-1136,TIC 142276270,2022,Transiting Exoplanet Survey Satellite (TESS)
TOI-1249,TIC 232976128,2024,Transiting Exoplanet Survey Satellite (TESS)
HD 15337,TIC 120896927,2019,Transiting Exoplanet Survey Satellite (TESS)
TOI-969,TIC 280437559,2022,Transiting Exoplanet Survey Satellite (TESS)
TIC 142589416,TIC 142589416,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-2194,TIC 271478281,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-261,TIC 63898957,2021,Transiting Exoplanet Survey Satellite (TESS)
TOI-1693,TIC 353475866,2022,Transiting Exoplanet Survey Satellite (TESS)
TOI-2587 A,TIC 68007716,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-3884,TIC 86263325,2022,Transiting Exoplanet Survey Satellite (TESS)
LHS 1678,TIC 77156829,2021,Transiting Exoplanet Survey Satellite (TESS)
TOI-2364,TIC 39414571,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-4527,TIC 380887434,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-6692,TIC 324609409,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-6000,TIC 259233660,2025,Transiting Exoplanet Survey Satellite (TESS)
HD 28109,TIC 29781292,2022,Transiting Exoplanet Survey Satellite (TESS)
TOI-5624,TIC 53498154,2026,Transiting Exoplanet Survey Satellite (TESS)
