host,trap_vshape,trap_t14_ratio,trap_vshape_err,trap_depth,trap_depth_snr,trap_rmse,trap_nbins,trap_status
11_Com,0.6613414643823325,1.0132413638703126,0.2247064024126903,0.0001931559223230331,6.741140570235373,5.952693174327615e-05,60,ok
11_UMi,0.3928890831595846,2.499999999999999,0.08756535894128614,0.0005307305109266832,12.74897354958539,0.00013225576938435843,60,T14 hit bound
14_And,0.10395231444490169,0.8005793595797398,,2.1789950112749714e-05,,9.480400643424819e-05,60,ok
14_Her,0.5013847287953898,1.2498929229363906,0.4610277383340717,4.930427872965232e-05,3.2787910294424183,3.7611334829871636e-05,60,ok
16_Cyg_B,0.3498956222856815,1.0882242514772043,2.865256502416609,0.00017523201135759647,0.6527849426151596,0.0007188374007698993,60,ok
17_Sco,0.4049865388977254,1.077373257039228,0.4778641615167582,0.00010027100278145119,3.1410304478995044,8.043819303482528e-05,60,ok
18_Del,0.7307101071603543,2.219432463669779,0.08202426986678478,0.00020493426053090196,13.880457312915562,3.43014084191077e-05,60,ok
1RXS_J160929.1-210524,0.8907897279713058,2.499877427234801,0.21767127887195883,0.009694051823991629,9.817450259676516,0.0014338543533871705,31,T14 hit bound
24_Boo,0.6277143236074255,2.4999999999776685,0.034652996879177264,0.0005274463988598022,32.799639373069624,4.377683359931949e-05,60,T14 hit bound
24_Sex,0.40127691326019943,1.3477978107082702,0.15370136510325258,0.0005285471249197598,7.484992182279309,0.0002030829103044537,60,ok
2MASS_J01033563-5515561_A,0.7105659853723244,1.8633010417180222,0.1647439724422196,0.013231220004627498,7.412225378218506,0.004224387554005409,60,ok
2MASS_J01225093-2439505,0.37540902991142666,0.9952917643076031,0.5710536979461145,0.004126615692387547,3.3196079535758605,0.003324759904176196,60,ok
2MASS_J02192210-3925225,0.6041520626236606,2.0760971820025236,0.2634877577712311,0.009397470846531178,5.0081518841853185,0.005103777198919238,60,ok
2MASS_J0249-0557_A,0.7049247888734425,2.4999999999999996,0.05561830983749506,0.016808007228888283,20.60766196103916,0.0020501470603297494,60,T14 hit bound
2MASS_J03590986+2009361,0.22922747962862944,1.3550761358935233,0.20090357029419886,0.07312219723410915,6.029212429063172,0.036692302087636984,60,ok
2MASS_J04372171+2651014,0.8220352101154847,1.969639567864975,0.07395382373149753,0.010716058610588195,16.68580362304117,0.0012916591723985498,60,ok
2MASS_J04414489+2301513,,,,,,,0,no usable ephemeris
2MASS_J11011926-7732383,0.6843860340933656,0.4334805237442096,15.733837364072295,0.0020779643870472812,0.09336344502407667,0.029286133678892545,60,ok
2MASS_J11550485-7919108,0.6390311364955621,1.2592231449284401,0.5185784889563372,0.0057946612140440685,2.693756970855163,0.0049283288490794535,60,ok
2MASS_J12073346-3932539,0.9330685801260742,0.3099184362813373,6109511.378352672,0.05801466822359079,1.5272393067164085e-07,0.02410985450600621,60,ok
2MASS_J16262785-2625152,0.6178373058124623,1.8918835079648064,0.08134054007409333,0.054238697791057784,14.330713323303666,0.009522910501395511,60,ok
2MASS_J19383260+4603591,0.9999997671694307,2.499999998953493,1069353.0604214203,0.0806749639573853,9.351446322355053e-07,0.018222080062193478,60,T14 hit bound
2MASS_J21252752-8138278,0.577922427456283,2.2939358542986703,0.12619053097633265,0.011323996486544974,10.187869038183031,0.003194700550451249,60,ok
2MASS_J22362452+4751425,0.6091761013194456,0.3462753727412839,,0.0002487634321682246,,0.0003888869437254074,60,ok
2MASS_J22501512+2325342,0.350042071864183,2.4999999999999996,0.07513264149314426,0.00955363333881159,13.656408126839267,0.0022873285465859813,60,T14 hit bound
47_UMa,0.18065654931666347,0.8383158738380977,0.0,1.756141251635194e-05,1.7988281560687478,2.595566008563293e-05,60,ok
4_UMa,0.680490916907342,1.6704951759689244,0.0855366573550196,0.0004745107798231267,13.269371661766835,8.140437640959884e-05,60,ok
51_Eri,0.8122567600072251,2.1764437202008233,0.14586659766343502,0.002478852041943867,7.5177652427637485,0.0006513774799818307,60,ok
51_Peg,0.9714291233861067,1.25591201864047,1637.5628336589398,1.843207439062325e-05,0.0005932142018738376,1.9302768021638195e-05,60,ok
55_Cnc,0.5965975922230583,1.5209840064508933,0.038446795129098536,0.00035118604310297754,38.20139168380766,2.28433553480873e-05,60,ok
55_Cnc_B,0.4675515735958158,1.3727054428376588,0.028777249188971055,0.00034967974413812843,41.02122123871779,2.128515628092278e-05,60,ok
61_Vir,0.12415176708699804,0.829670152545753,,2.5016189771556866e-05,,3.683609202700631e-05,60,ok
6_Lyn,0.574554731692516,1.2681428376555302,0.18969386523756848,0.00030751204841198543,8.252690266779394,8.456817365284958e-05,60,ok
70_Vir,0.999597192077989,0.4482494309276892,7148.294100484653,9.300899917602317e-05,0.0001398371686953792,3.242583944706459e-05,60,ok
75_Cet,0.8766563010527628,2.2995283337848247,0.07492704395053933,0.00034377626930509527,13.860230848270911,4.0372111910390906e-05,60,ok
7_CMa,0.6450183754381446,2.497994095287693,0.14089752961525484,9.96969823019453e-05,7.729481493994637,3.384320986414918e-05,60,T14 hit bound
8_UMi,0.8082644206245427,1.649929014561903,0.1828039889906017,0.00039303623725972693,6.367269661188542,0.00011479107206887973,60,ok
91_Aqr,0.45476419522048334,2.499999999999988,0.07740012463135741,0.0012706130014679905,15.79710287800211,0.0002528761357298825,60,T14 hit bound
AB_Aur,0.3674831235845696,0.5462983642788893,0.38586828844430615,0.0006259099784453912,2.841920630269298,0.0004063524594732131,60,ok
AB_Pic,0.19790334843195265,1.3266485621940243,0.8973934037487845,0.0001787434177757853,2.1432943725927482,0.00025502069354453274,60,ok
AF_Lep,0.9590625380998287,1.7798890517268524,0.4363995155056985,0.0005953643819287326,2.39787546429227,0.00023778445604219112,60,ok
AT2021ueyL,0.06612054987664245,0.7765336562217198,,1.0000019286041882e-07,,0.005005490064896387,60,ok
AU_Mic,0.36843161830429044,1.3905625891476403,0.07569580037607425,0.002672432457426591,18.732107975726137,0.00040611767665616545,60,ok
BD+03_2562,0.2380261978921533,1.4815846716127128,0.18322259760105694,0.00025504122105920736,3.9984262436551665,0.00019449245825539557,60,ok
BD+05_4868_A,0.3308048412731265,2.499999999999482,0.07816840468708819,0.003479879464621182,10.622131862772987,0.0007849980957675387,53,T14 hit bound
BD+14_4559,0.9962568340471195,2.416551234007884,6521.218731549451,5.7952545939347044e-05,0.00015277226379037878,0.00011239652002442669,60,ok
BD+15_2375,0.7601415784725554,2.292108696727709,0.12226343847019672,0.0004197809205214737,9.72658604754191,9.951432823583964e-05,60,ok
BD+15_2940,0.575000982487164,2.499999998651744,0.13275593137933012,0.0006570896834257624,8.158917202802387,0.0002268031916378996,60,T14 hit bound
BD+20_2457,0.12364355523495127,1.4172505249559597,0.0,0.00024356820442853668,3.7545099535286166,0.0002093835717092818,60,ok
BD+20_274,0.15497403158215234,1.1362987445752024,0.0,8.418268954592184e-05,1.054216956506723,0.0002287586140711978,60,ok
BD+20_594,0.02537373541932164,0.8986673677162408,,0.0004854631654917934,,0.0006732768118120317,60,ok
BD+37_3172,0.06332395468593865,0.8100486781238961,,6.266626675206616e-06,,7.882395307648744e-05,60,ok
BD+42_2315,0.48465186991124876,2.499999978944968,0.06460585649406031,0.0013195435526460952,17.162302596562295,0.0002444975245550819,60,T14 hit bound
BD+45_564,0.4537481733190808,1.064487768085419,0.3420856535215462,0.0004512606829487743,4.589132045365124,0.0002325563304767921,60,ok
BD+48_738,0.6047852920415097,1.672767348347114,0.1400976618494748,0.0002541246362502342,9.008664103245923,6.811750032901449e-05,60,ok
BD+49_828,0.3346750261852436,1.153418651804235,0.2638355392901887,0.00020904853215676763,6.573846357798372,8.518859743604486e-05,60,ok
BD+55_362,0.47340103417022045,1.1735782893407076,0.2869928991121584,0.0001889128640515416,3.7884631268161653,0.00011824990342851642,60,ok
BD+60_1417,0.7478015502534521,1.0482589072019168,0.3319552243742045,0.0005447083061007015,3.449580615853482,0.00029041147739134653,60,ok
BD+63_1405,0.9762844190000783,0.6531012044257619,3.909701284932032,5.108831330913299e-05,0.37429768527517526,0.00015200954029426553,60,ok
BD-06_1339,0.13597312246545912,1.8840963383455422,0.8259037546314453,3.670943083911274e-05,0.7876960858223935,0.00015880359127529853,60,ok
BD-08_2823,0.25188251407341977,0.7378162746008159,0.21042578566344108,0.0003981188744669933,3.7616017774790964,0.00024002174498509988,60,ok
BD-10_3166,0.42352038724062546,1.0111576165079732,0.4430173049939945,0.00011976982021131503,2.0544049428931475,0.00012865431166761686,60,ok
BD-11_4672,0.7164746759461947,1.5996272240815963,0.3797758160657722,0.00047652090718378526,3.3212462802031903,0.0003385477533106046,47,ok
BD-13_2130,0.6632403938210379,1.2945002052686532,0.14994627103594235,0.0005234710398163751,8.348886270873844,0.00012870244049184728,60,ok
BD-14_3065_A,0.6530549456768259,1.4878977524010257,0.06567701035504803,0.004357242529299331,18.15412518024559,0.0005071647234023691,60,ok
BD-210397,0.6375105117978179,1.2164335246740925,0.19907536345617272,0.0005244918394096146,8.187449160401995,0.00016253919077108267,60,ok
BEBOP-3,0.25732635430133755,2.4036057346105992,0.07855368611316123,0.0011080044454281925,12.080559287477257,0.00032066204095644927,60,ok
BEBOP-4_A,0.7022502812774044,2.4995837158097247,0.18279503589324492,0.0011028329009511466,6.139304420253414,0.00044553688716003886,58,T14 hit bound
Barnard's_star,0.03633040886036354,0.6419612817966078,,1.0000015515581322e-07,,3.7559250750214975e-05,60,ok
CD-35_2722,0.5785404893669852,1.0976637732445105,0.18423929694631852,0.009187685516281675,7.955715029483871,0.002455371988718365,60,ok
CD_Cet,0.011601895365196846,0.6892232884066658,,1.0681759460258036e-07,,0.0007314466058187327,59,ok
CI_Tau,0.03200627613202169,2.499926681869762,,0.009285560685153545,,0.003346591482846969,60,T14 hit bound
COCONUTS-2_A,0.3709023455336324,2.499999999999642,0.1876882440966133,0.0008293341266163015,5.621601476022917,0.00047765373922749625,60,T14 hit bound
CT_Cha,0.4634441190255121,2.499999999999999,0.09113163638368248,0.004846493089315995,12.75159817110202,0.001175571622941701,60,T14 hit bound
CoRoT-1,0.48857843896785547,1.319262976447747,0.05754735627062012,0.016858352289195352,22.427296519881047,0.0018481987230685596,60,ok
