host,label,ra,dec,gaia_ruwe,gaia_nss,gaia_gmag,gaia_sep_arcsec,gaia_source,gaia_nss_flag,gaia_ruwe_high
MOA-2016-BLG-319L,1.0,268.742218,-29.7504635,1.525,0.0,18.378511,47.64,4.0564866599726735e+18,0.0,1.0
MOA-2019-BLG-008L,1.0,267.982875,-29.9897306,1.138,0.0,17.405287,22.56,4.056394717634682e+18,0.0,0.0
MOA-2020-BLG-135L,1.0,268.4235,-29.8075667,1.806,0.0,17.118227,137.94,4.056494253439977e+18,0.0,1.0
MOA-bin-1L,1.0,261.7925,-29.7939722,1.279,0.0,19.505602,31.92,4.058690837175069e+18,0.0,0.0
MOA-bin-29,1.0,269.3759583,-29.7365639,0.952,0.0,17.118671,93.66,4.05630802365308e+18,0.0,0.0
MWC_758,1.0,82.6147199,25.3324076,0.99,0.0,8.220417,0.7799999999999999,3.417062653416093e+18,0.0,0.0
MXB_1658-298,1.0,255.5272522,-29.9455833,1.021,0.0,19.000957,12.180000000000001,6.029391608332997e+18,0.0,0.0
NGC_2682_Sand_1429,1.0,133.0147781,11.6899626,1.005,0.0,12.572901,0.3,6.049034688523799e+17,0.0,0.0
NGC_2682_Sand_978,1.0,132.8228085,11.7562959,0.927,0.0,9.258214,0.3,6.049113758826746e+17,0.0,0.0
NGC_2682_YBP_1194,1.0,132.7533077,11.8146537,0.949,0.0,14.453478,0.36,6.049149492952828e+17,0.0,0.0
NGC_2682_YBP_1514,1.0,132.7531307,11.8865128,0.933,0.0,14.606981,0.36,6.049220961208529e+17,0.0,0.0
NGC_2682_YBP_401,1.0,132.8293081,11.6710271,0.954,0.0,13.576005,0.36,6.049096578957677e+17,0.0,0.0
NGTS-1,1.0,82.7142134,-36.6309812,1.014,0.0,14.848972,1.5599999999999998,4.821739369794768e+18,0.0,0.0
NGTS-10,1.0,91.8722801,-25.5948963,12.331,0.0,14.314493,0.48,2.911987212510959e+18,0.0,1.0
NGTS-11,1.0,23.5214497,-14.4191493,0.949,0.0,12.177389,0.5399999999999999,2.453680078509741e+18,0.0,0.0
NGTS-12,1.0,176.2499418,-35.640563,0.915,0.0,12.118429,0.6,3.464620139089833e+18,0.0,0.0
NGTS-13,1.0,176.2402326,-38.1397158,0.889,0.0,12.557459,0.6599999999999999,5.385076140853434e+18,0.0,0.0
NGTS-14_A,1.0,328.5174799,-38.3774193,1.043,0.0,13.089006,0.72,6.585082036193768e+18,0.0,0.0
NGTS-15,1.0,73.3553101,-32.8003484,0.983,0.0,14.416103,0.18,4.873830691665396e+18,0.0,0.0
NGTS-17,1.0,72.9005729,-34.2262128,1.072,0.0,14.200201,0.36,4.873225513593737e+18,0.0,0.0
NGTS-18,1.0,180.5462193,-35.5486091,0.995,0.0,14.37828,0.06,3.462511310147531e+18,0.0,0.0
NGTS-2,1.0,215.1227617,-31.2020698,1.071,0.0,10.862703,0.6599999999999999,6.220602384081327e+18,0.0,0.0
NGTS-20,1.0,46.2926368,-21.9336472,1.103,0.0,11.027086,0.6,5.078704372599743e+18,0.0,0.0
