host,label,st_logg,st_rho,rho_circ,rho_ratio
Kepler-789,1.0,4.04875,0.248497,1252.574260336414,3.7024823329151064
Kepler-79,1.0,4.26792,0.498955,20.971205440800972,1.6235620157348847
Kepler-790,1.0,4.57289,1.72794,59.28579448369628,1.5354219859721148
Kepler-791,1.0,4.2826,0.524908,52.791231346550944,2.002478600165351
Kepler-792,1.0,4.1716,0.392538,50.87678791337145,2.112637979098368
Kepler-793,1.0,4.26506,0.552934,17.812796761979655,1.508058817181189
Kepler-794,1.0,4.0482,0.246907,146.22527780937926,2.772489052457109
Kepler-795,1.0,4.40103,0.8848,52.672137263978115,1.774735827011631
Kepler-796,1.0,,,28.945533621745017,
Kepler-797,1.0,4.02436,0.232698,31.962747431486846,2.1378514524127086
Kepler-798,1.0,4.29725,0.591649,35.19959687334303,1.7744735548970416
Kepler-799,1.0,,,13611.04348223614,
Kepler-8,1.0,4.1117,0.2982,1.5041100182770697,0.7027719648136136
Kepler-80,1.0,4.65762,2.49674,1417.0674755496443,2.7540172111426093
Kepler-800,1.0,4.60459,1.8632,37.802533551798504,1.3072614320008973
Kepler-801,1.0,4.59962,2.10331,32.859596892585344,1.1937589447427568
Kepler-802,1.0,4.52142,1.37551,273.1117482973231,2.2978766302761433
Kepler-803,1.0,4.27742,0.552475,73.86024809314156,2.126098131513884
Kepler-804,1.0,4.38573,0.826399,91.59185875525286,2.0446670896473997
Kepler-805,1.0,4.05373,0.247255,400.05207667054566,3.2089714464967756
Kepler-806,1.0,4.00305,0.221471,219.05903078858802,2.995244295221045
Kepler-808,1.0,,,2144.085983653777,
Kepler-809,1.0,4.41486,0.918393,13049.109437582714,4.152552308525358
Kepler-81,1.0,4.75875,3.59251,17.062292724190424,0.6766394028325097
Kepler-811,1.0,4.06154,0.273774,73.132294665388,2.426716999144786
Kepler-812,1.0,4.10579,0.265408,28.099650947973682,2.0247869158130305
Kepler-813,1.0,,,115.8548133177029,
Kepler-814,1.0,3.9274,0.159828,364.27713453767825,3.3577790467201316
Kepler-815,1.0,,,203.01530077694608,
Kepler-817,1.0,4.29288,0.608707,7.921157842168785,1.1143803713366112
Kepler-818,1.0,4.51695,1.31317,103.24356576677913,1.8955420430390135
Kepler-819,1.0,4.58155,1.75982,36.88461340114712,1.321376986784088
Kepler-82,1.0,4.43699,1.04438,918.4126501905905,2.9441793106152856
Kepler-821,1.0,4.50797,1.38086,62.87601184855274,1.6583353377270236
Kepler-823,1.0,4.03192,0.24841,542.3801553300284,3.3391347163038425
Kepler-826,1.0,4.2707,0.518628,23.60956802610766,1.658232081038453
Kepler-828,1.0,4.62939,2.13833,95.34425658043307,1.6492198078175617
Kepler-829,1.0,4.32892,0.692903,65.6554706767753,1.9765984774254848
Kepler-83,1.0,,,50.48724803910239,
Kepler-830,1.0,,,17.25547023707095,
Kepler-831,1.0,4.43247,0.966451,33.61726067469363,1.541382481991875
Kepler-833,1.0,4.56351,1.87026,134.8204855359984,1.8578539013236801
Kepler-834,1.0,4.55978,1.83289,144.75618991191905,1.8975007418676872
Kepler-835,1.0,4.15823,0.369475,77.18049369805816,2.319922494475245
Kepler-836,1.0,4.44408,0.991681,77.07017475118735,1.8905143512221472
Kepler-837,1.0,4.65485,2.125,14412.650360526424,3.831384916733861
Kepler-838,1.0,4.54987,1.44974,163.2234169325371,2.05149234341268
Kepler-839,1.0,4.08049,0.279846,37.4731666920225,2.126801291289526
Kepler-84,1.0,,,45.26554449112639,
Kepler-841,1.0,4.5558,1.60085,716.0749033481384,2.6506078127107515
Kepler-842,1.0,4.5509,1.71643,682.6514010729172,2.599572889322708
Kepler-843,1.0,4.43925,1.00408,3.4899609363309487,0.5410522492931295
Kepler-844,1.0,4.49904,1.56769,189.1928942909278,2.0816446330665483
Kepler-845,1.0,4.53871,1.64567,1494.6634008157034,2.9582006480957257
Kepler-846,1.0,4.55174,1.51138,41724.55234241965,4.441018014957096
Kepler-847,1.0,4.48539,1.35075,61.28010282028201,1.6567445091052797
Kepler-848,1.0,3.80868,0.11374,203.31241166712638,3.252250668022474
Kepler-849,1.0,3.94021,0.170812,60.2664292120289,2.547557082493393
Kepler-85,1.0,4.5472,1.48786,52.95067232391709,1.5513094105437082
Kepler-850,1.0,4.28936,0.586701,47.15751595707591,1.905134091924098
Kepler-851,1.0,4.64949,2.08601,2.614971326525783,0.0981505451041803
Kepler-852,1.0,3.82149,0.108529,59.619292898138646,2.7398410194864815
Kepler-853,1.0,4.20458,0.396159,45.17184618592943,2.056998313918187
