host,tic_id,elapsed_s,status,sector_used,shift_pixels,verdict,error_message
gam_Cep,367912480,420.1045219898224,failed,,,,"HTTPSConnectionPool(host='stpubdata.s3.us-east-1.amazonaws.com', port=443): Read timed out."
ome_Ser,272677041,94.02627396583557,failed,,,,"Checked 1 available sector(s); none gave a trustworthy photocenter. sector 51: measured depth -2099 ppm vs expected 481 ppm -- ephemeris doesn't line up here. Usually this means the transit is too shallow to localize in pixel data, or the stored ephemeris doesn't propagate cleanly to any sector that has pixel data available."
omi_CrB,357502856,93.39030313491821,completed,24.0,2.837696011732878,"Photocenter shifted 2.84 px from target -- signal likely from a nearby contaminant, not the target star",
tau_Boo,1000271584,4.915185928344727,failed,,,,No target pixel file available via MAST for this star
iot_Dra,165722603,420.0306329727173,failed,,,,"HTTPSConnectionPool(host='stpubdata.s3.us-east-1.amazonaws.com', port=443): Read timed out."
kap_CrB,334753043,409.9322829246521,completed,78.0,1.862981806028298,"Photocenter shifted 1.86 px from target -- signal likely from a nearby contaminant, not the target star",
mu2_Sco,338105219,377.3631319999695,completed,39.0,3.031934732896738,"Photocenter shifted 3.03 px from target -- signal likely from a nearby contaminant, not the target star",
TIC_103865797,103865797,25.984941720962524,completed,78.0,1.0529035523563157,"Photocenter shifted 1.05 px from target -- signal likely from a nearby contaminant, not the target star",
nu_Oph,9815387,353.9016089439392,failed,,,,"Checked 1 available sector(s); none gave a trustworthy photocenter. sector 80: measured depth -695 ppm vs expected 359 ppm -- ephemeris doesn't line up here. Usually this means the transit is too shallow to localize in pixel data, or the stored ephemeris doesn't propagate cleanly to any sector that has pixel data available."
TIC_124709665,124709665,35.70896792411804,failed,,,,"Checked 1 available sector(s); none gave a trustworthy photocenter. sector 33: measured depth -440 ppm vs expected 165 ppm -- ephemeris doesn't line up here. Usually this means the transit is too shallow to localize in pixel data, or the stored ephemeris doesn't propagate cleanly to any sector that has pixel data available."
mu_Leo,840317207,420.03680205345154,failed,,,,"HTTPSConnectionPool(host='stpubdata.s3.us-east-1.amazonaws.com', port=443): Read timed out."
nu_Oct_A,352542468,420.02806878089905,failed,,,,"HTTPSConnectionPool(host='stpubdata.s3.us-east-1.amazonaws.com', port=443): Read timed out."
TIC_139853601,139853601,15.252288103103638,completed,34.0,0.20651770714610737,Photocenter consistent with target (0.21 px from catalog position),
TIC_140706664,140706664,29.126879930496216,completed,35.0,0.851782616608067,"Photocenter shifted 0.85 px from target -- signal likely from a nearby contaminant, not the target star",
TIC_129319156,129319156,48.789610147476196,completed,38.0,1.9101623816678928,"Photocenter shifted 1.91 px from target -- signal likely from a nearby contaminant, not the target star",
xi_Aql,375464367,108.8650131225586,completed,54.0,0.6396499616658945,"Photocenter shifted 0.64 px from target -- signal likely from a nearby contaminant, not the target star",
TIC_143257766,143257766,34.78136396408081,failed,,,,"Checked 1 available sector(s); none gave a trustworthy photocenter. sector 27: measured depth 10747 ppm vs expected 877 ppm -- ephemeris doesn't line up here. Usually this means the transit is too shallow to localize in pixel data, or the stored ephemeris doesn't propagate cleanly to any sector that has pixel data available."
TIC_143994283,143994283,32.93462681770325,completed,34.0,1.5069772618404196,"Photocenter shifted 1.51 px from target -- signal likely from a nearby contaminant, not the target star",
TIC_149601557,149601557,31.564228773117065,completed,27.0,0.37320264015868637,Borderline: photocenter 0.37 px from target -- weak evidence of a nearby contaminant,
ups_And,189576919,355.23432183265686,completed,17.0,1.4506148350201298,"Photocenter shifted 1.45 px from target -- signal likely from a nearby contaminant, not the target star",
TIC_164150539,164150539,32.42350101470947,completed,56.0,0.6408472059680932,"Photocenter shifted 0.64 px from target -- signal likely from a nearby contaminant, not the target star",
TIC_156115721,156115721,33.30328011512756,completed,34.0,0.8440810662832954,"Photocenter shifted 0.84 px from target -- signal likely from a nearby contaminant, not the target star",
TIC_141482386,141482386,91.59323501586914,completed,28.0,0.6092095178786446,"Photocenter shifted 0.61 px from target -- signal likely from a nearby contaminant, not the target star",
TIC_155491828,155491828,50.25120496749878,failed,,,,"Checked 1 available sector(s); none gave a trustworthy photocenter. sector 34: measured depth -329 ppm vs expected 358 ppm -- ephemeris doesn't line up here. Usually this means the transit is too shallow to localize in pixel data, or the stored ephemeris doesn't propagate cleanly to any sector that has pixel data available."
TIC_155044736,155044736,73.35713624954224,completed,61.0,0.9355385208997999,"Photocenter shifted 0.94 px from target -- signal likely from a nearby contaminant, not the target star",
psi1_Dra_B,441804565,403.92191219329834,completed,17.0,0.4749413929625648,Borderline: photocenter 0.47 px from target -- weak evidence of a nearby contaminant,
TIC_169904935,169904935,36.715479135513306,completed,34.0,2.8702896876621597,"Photocenter shifted 2.87 px from target -- signal likely from a nearby contaminant, not the target star",
TIC_172754786,172754786,2.6831648349761963,failed,,,,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
TIC_172464366,172464366,39.14502286911011,completed,6.0,0.5662669649524562,"Photocenter shifted 0.57 px from target -- signal likely from a nearby contaminant, not the target star",
TIC_17129975,17129975,46.74438810348511,completed,75.0,1.2029601671515209,"Photocenter shifted 1.20 px from target -- signal likely from a nearby contaminant, not the target star",
TIC_172630205,172630205,38.34828996658325,completed,87.0,4.1166310490066325,"Photocenter shifted 4.12 px from target -- signal likely from a nearby contaminant, not the target star",
TIC_173860688,173860688,44.85394811630249,completed,61.0,2.458289240272281,"Photocenter shifted 2.46 px from target -- signal likely from a nearby contaminant, not the target star",
TIC_17416749,17416749,44.91304874420166,completed,51.0,1.0284704983637287,"Photocenter shifted 1.03 px from target -- signal likely from a nearby contaminant, not the target star",
TIC_174143743,174143743,50.88462281227112,completed,8.0,0.909951279628992,"Photocenter shifted 0.91 px from target -- signal likely from a nearby contaminant, not the target star",
TIC_175079720,175079720,35.89256691932678,completed,61.0,2.031834874983262,"Photocenter shifted 2.03 px from target -- signal likely from a nearby contaminant, not the target star",
TIC_17150865,17150865,101.50942397117615,completed,44.0,0.7272119152764822,"Photocenter shifted 0.73 px from target -- signal likely from a nearby contaminant, not the target star",
ups_Leo,49430557,356.4174108505249,completed,72.0,1.0964300659206998,"Photocenter shifted 1.10 px from target -- signal likely from a nearby contaminant, not the target star",
TIC_175476629,175476629,18.473934173583984,completed,29.0,1.9841847981077023,"Photocenter shifted 1.98 px from target -- signal likely from a nearby contaminant, not the target star",
TIC_176772671,176772671,26.001681804656982,completed,35.0,2.4387482786525623,"Photocenter shifted 2.44 px from target -- signal likely from a nearby contaminant, not the target star",
TIC_176778112,176778112,26.363605976104736,completed,4.0,0.8215718948218572,"Photocenter shifted 0.82 px from target -- signal likely from a nearby contaminant, not the target star",
TIC_175310067,175310067,42.22973322868347,failed,,,,"Checked 1 available sector(s); none gave a trustworthy photocenter. sector 34: measured depth 3 ppm vs expected 281 ppm -- ephemeris doesn't line up here. Usually this means the transit is too shallow to localize in pixel data, or the stored ephemeris doesn't propagate cleanly to any sector that has pixel data available."
TIC_172110606,172110606,131.94741201400757,completed,72.0,0.4526185997182157,Borderline: photocenter 0.45 px from target -- weak evidence of a nearby contaminant,
TIC_175180796,175180796,60.614659786224365,completed,7.0,2.729360564528776,"Photocenter shifted 2.73 px from target -- signal likely from a nearby contaminant, not the target star",
TIC_177126182,177126182,21.500048875808716,failed,,,,"Checked 1 available sector(s); none gave a trustworthy photocenter. sector 33: measured depth -684 ppm vs expected 692 ppm -- ephemeris doesn't line up here. Usually this means the transit is too shallow to localize in pixel data, or the stored ephemeris doesn't propagate cleanly to any sector that has pixel data available."
TIC_172871230,172871230,108.72001910209656,failed,,,,"Checked 3 available sector(s); none gave a trustworthy photocenter. sector 74: measured depth -997 ppm vs expected 4571 ppm -- ephemeris doesn't line up here; sector 81: measured depth -1070 ppm vs expected 4571 ppm -- ephemeris doesn't line up here; sector 82: measured depth 47 ppm vs expected 4571 ppm -- ephemeris doesn't line up here. Usually this means the transit is too shallow to localize in pixel data, or the stored ephemeris doesn't propagate cleanly to any sector that has pixel data available."
TIC_176831592,176831592,37.11244487762451,completed,4.0,0.3401387883115644,Borderline: photocenter 0.34 px from target -- weak evidence of a nearby contaminant,
TIC_176984236,176984236,37.72042489051819,completed,4.0,0.8883655900604769,"Photocenter shifted 0.89 px from target -- signal likely from a nearby contaminant, not the target star",
TIC_177612321,177612321,30.4675509929657,failed,,,,"Checked 1 available sector(s); none gave a trustworthy photocenter. sector 87: measured depth -5509 ppm vs expected 4862 ppm -- ephemeris doesn't line up here. Usually this means the transit is too shallow to localize in pixel data, or the stored ephemeris doesn't propagate cleanly to any sector that has pixel data available."
