fraction,n_rows,mean_auc,std_auc,n_reps
0.1,449.0,0.8427060393114141,0.00950562073774624,7
0.2,899.2857142857143,0.8640802855795783,0.0062354192182268375,7
0.3,1347.2857142857142,0.8677942624194391,0.007506683903901057,7
0.4,1797.0,0.8768570734624482,0.00359438307167141,7
0.5,2247.0,0.8876921705776021,0.004808696300397802,7
0.65,2922.0,0.8893134211380321,0.0028418818405313625,7
0.8,3594.8571428571427,0.8970107895143256,0.0034476282218367494,7
0.9,4044.714285714286,0.8947799541858948,0.0035765159709721167,7
0.95,4269.428571428572,0.8978095088420407,0.002532464174403554,7
1.0,4494.0,0.8995994837578997,0.0,1
