tid,toi,tfopwg_disp,ra,dec,st_rad,st_teff
308034948,1206.01,FP,180.325704,-60.200439,1.1512,5824.0
33878688,1210.01,FP,66.221959,-73.333516,0.77,5168.33
399144800,1213.01,FP,163.198824,-67.387472,0.989667,6270.0
382437043,1223.01,FP,117.214876,-63.720125,2.04178,6516.0
237200747,1270.01,FP,293.032494,74.891073,0.83,5056.6
267561446,1284.01,FP,311.513651,56.86715,0.560391,3855.0
274662200,1285.01,FP,316.86724,46.865373,0.53023,3526.0
408203470,1289.01,FP,307.210941,33.413959,0.38621,3446.0
233684822,1253.01,FP,260.902889,64.862363,1.45,5779.0
274762761,1256.01,FP,301.346363,38.228325,0.156193,2972.0
256886630,1323.01,FP,329.385067,41.449509,2.68,9003.0
266688542,1324.01,FP,321.02381,46.384673,1.79,6854.0
274942910,1325.01,FP,322.92657,41.797465,0.67,4349.3
275111900,1326.01,FP,323.206851,39.072196,,8286.0
330332501,1328.01,FP,315.110366,46.060449,2.07,6585.0
345996087,1329.01,FP,327.480039,44.08006,1.72,7274.6
357457104,1330.01,FP,315.540896,45.775741,,
387664866,1331.01,FP,323.548627,50.481445,3.98,6135.4
387664868,1332.01,FP,323.550356,50.481865,,
42123111,1334.01,FP,302.220069,38.245221,6.37,11348.0
89759617,1335.01,FP,301.564685,35.588396,2.35,7965.0
92783821,1336.01,FP,303.017318,35.524628,2.45,7396.0
233681149,1340.01,FP,260.36481,65.012281,0.987583,5929.0
233390838,1341.01,FP,301.559262,59.490771,1.69,6477.6
256621916,1342.01,FP,300.488392,60.246367,,5869.0
358631536,1343.01,FP,317.575459,48.464282,1.65,9622.0
1400770435,1344.01,FP,264.961539,56.078974,1.4,5941.5
229770036,1348.01,FP,282.173361,70.840191,0.84,4567.0
199688472,1292.01,FP,253.14033,57.97415,1.46,5672.9
229536616,1297.01,FP,195.821133,67.823436,1.37,6292.0
258777134,1299.01,FP,286.74788,71.7136,,
185405474,1303.01,FP,301.717674,45.499227,2.29,6897.0
186000935,1304.01,FP,303.072972,44.495878,1.18,5992.0
232679662,1305.01,FP,282.474539,55.26639,,
233735068,1306.01,FP,277.476856,61.049501,3.07,5147.3
277014266,1308.01,FP,306.425841,53.561615,2.67,5924.0
287190564,1309.01,FP,292.50517,54.108503,,8590.0
294179389,1310.01,FP,300.83864,53.29562,1.32,5938.0
405904232,1312.01,FP,301.562631,52.164181,1.86,6460.0
11111899,1313.01,FP,303.824831,36.651807,1.79,7812.5
136848581,1314.01,FP,317.7479,43.551895,2.72,5155.0
137284119,1315.01,FP,318.235161,46.26809,3.16,8321.0
15565627,1316.01,FP,307.016647,39.87713,2.35,6555.5
165523947,1317.01,FP,316.813885,40.167172,3.56,8542.0
167098530,1319.01,FP,318.627107,40.017017,0.87,5159.2
195199644,1321.01,FP,313.536475,37.789356,5.46,7315.0
343442463,1387.01,FP,341.518718,55.162935,1.72,7842.0
365389353,1390.01,FP,323.86462,51.323577,2.5,7495.0
389182138,1391.01,FP,343.635061,54.161814,0.79,5256.0
416987878,1392.01,FP,322.892141,50.320713,2.65,8342.0
430528566,1393.01,FP,333.171245,52.900886,1.35,
431156009,1394.01,FP,340.395784,51.965285,1.58,6294.0
468472950,1395.01,FP,321.283221,40.887821,1.69,6301.3
468845640,1396.01,FP,337.8341,53.796052,0.93,4731.1
