tic_id,sector,ra,dec,st_rad,st_rad_err,st_mass,st_mass_err,st_teff
261056133,104,259.303039266316,-51.2729602580003,0.469356,0.0139602,0.46697,0.0202923,3544.0
197963087,104,348.696964348009,-48.9960882747777,1.91813,0.0836658,1.36,0.220744,6560.38
410006490,104,319.860874859213,-68.8758964763587,0.781755,0.0446382,0.91,0.114902,5299.0
337200363,104,268.974843514558,-55.0895823554861,0.347011,0.0110361,0.330753,0.0206967,3384.0
267080594,104,359.346953337584,-69.5452940256194,0.660928,0.0576181,0.67,0.0807463,4281.0
143894194,104,332.106005918121,-53.2584925278572,0.295348,0.00903481,0.271319,0.0202816,3201.0
144285638,104,354.141819961585,-44.8928358146519,1.87542,0.0461733,1.88,0.2984,7865.0
1989598625,104,305.823782632412,-50.4755084090862,,,,,
23595159,104,269.37514806133,-43.9841463780363,0.330621,0.0105846,0.311809,0.0206801,3316.0
67644505,104,18.4998331854428,-34.7182010243859,9.24022,,,,4784.0
379470448,104,284.39180443229,-56.2968557251866,0.364123,0.011023,0.350506,0.0203542,3379.0
91636891,104,39.4047657066827,-36.9758322831829,2.09859,0.0911307,1.31,0.213355,6461.0
355340132,104,297.511394794482,-50.2816368731667,0.18,0.104,0.47,0.03,31000.0
67583991,104,16.7127952859885,-33.3420502118447,0.18,0.104,0.47,0.03,31000.0
143951327,104,333.618726052055,-50.030833905274,0.573226,0.0170766,0.565674,0.0203144,3843.0
314017913,104,2.30071620917268,-45.8713890278037,0.255846,0.00766828,0.227215,0.0201227,3303.0
371950279,104,307.882809971974,-70.7234190390256,0.880254,0.0450754,0.98,0.127255,5577.0
91240021,104,277.984263992357,-43.5073812349279,92.2493,,,,4474.0
1695999069,104,271.783270042776,-45.4271686194043,,,,,
33241809,104,266.762831130489,-45.3461940849629,22.8624,,,,4120.0
88143396,104,273.63767769634,-46.2833523103331,0.796719,0.0516935,0.8,0.0986295,4905.0
2055325970,104,346.381250133105,-53.0036762438849,,,,,
118732476,104,273.760162119977,-55.6651037357428,0.695076,,0.72,,4569.0
1555630658,104,272.758339695464,-38.2091259412838,,,,,
212203714,104,255.583132520963,-49.0183187664881,0.584314,0.0385535,0.575098,0.0353426,3684.0
631807856,104,30.089755827679,-45.7243620062652,,,,,
87260967,104,272.768354001708,-47.5131226452455,19.036,,,,4665.0
365558320,104,273.934687414799,-62.5426530577088,1.07781,0.0520779,1.02,0.132864,5708.0
1989237861,104,304.391626097721,-58.5497779300126,,,,,
280794907,104,359.263317872969,-60.4034507162983,12.9416,,,,4953.0
631716307,104,22.9790916126144,-46.0185461857997,,,,,
79020913,104,315.280885872824,-49.1235866957366,0.279322,0.00856616,0.253211,0.0202568,3273.0
86141703,104,271.718129862875,-43.5589164668116,,,,,
180723732,104,15.7703473312232,-36.9498152809635,9.27072,,,,4647.0
320056471,104,293.524729414349,-56.1001234586035,29.9475,,,,4351.0
1988642897,104,305.773978715787,-61.6625387040424,,,,,
79152524,104,316.39401797113,-50.1448253942188,1.2496,0.058794,1.18,0.151784,6172.0
351249089,104,300.664494810877,-61.2370277033619,0.667731,,,,4507.78
305938209,104,263.814194543221,-60.2521720593998,0.776379,0.0616557,0.73,0.0873694,4590.0
63863822,104,275.065676669635,-33.9587751346959,0.647389,,0.66,,4245.0
253668790,104,281.664244812887,-39.730917515621,70.2653,,,,3743.0
404265471,104,308.519286775062,-72.3733638593765,15.764,,,,4656.0
467960339,104,285.78847391179,-61.114471959842,1.38964,0.062191,1.37,0.229868,6588.0
1990245477,104,304.92868447168,-48.2547926829439,,,,,
651283988,104,42.2709613899191,-35.6776336158956,,,,,
246444228,104,268.821095424041,-38.5963008050505,14.5336,,,,4760.0
1329038173,104,255.185247671889,-50.0936693174726,,,,,
376672630,104,293.072574327424,-70.27064184314,0.678902,0.0716432,0.62,0.0798746,3983.0
2055103803,104,352.783142932844,-60.331497516769,,,,,
2055145474,104,344.564672737821,-60.7258172680364,,,,,
219319398,104,322.053011514027,-59.089366396456,0.278511,0.0084251,0.252302,0.0201937,3188.0
246601547,104,269.109032117301,-36.2788765292115,0.429249,,0.53,,3661.0
59816984,104,253.369722063835,-48.6932975232538,94.8901,,,,4194.0
291416779,104,261.18426520616,-54.4569322750903,24.5614,,,,4853.0
79005592,104,314.989654090719,-53.441483255031,2.96638,0.134463,1.37,0.228188,6589.0
17499007,104,264.559501827312,-45.4141269950326,,,,,3583.0
2026480285,104,334.841253909913,-65.1207324641108,,,,,
112584039,104,269.490799069177,-39.1365079845687,,,,,
324140620,104,275.620099558551,-39.1359152402917,1.10375,0.0556382,0.96,0.121836,5467.0
363014577,104,266.369760461309,-51.1649298667085,2.06883,0.0739724,2.08,0.305408,8413.0
324497887,104,277.207748914572,-49.0705936768556,8.714,,,,4790.31
2026344500,104,321.001482326817,-69.1242456894162,,,,,
616630946,104,16.5725507547633,-32.3539171725267,,,,,
