host,n_original,n_after_quality,n_after_outliers,n_final,pct_removed,pre_norm_median_flux,flux_source
TIC_78672342,980,973,973,973,0.7142857142857117,13941.8955,pdcsap_flux
TIC_75208638,18025,16641,16641,16641,7.678224687933421,3372.678,pdcsap_flux
TIC_79395355,1184,1184,1184,1184,0.0,4445.54515,pdcsap_flux
TIC_75427473,16724,15114,15114,15114,9.626883520688834,41681.635,pdcsap_flux
TIC_7624182,15691,14982,14982,14982,4.5185137977184375,50728.574,pdcsap_flux
TIC_77031413,16815,14526,14526,14526,13.612845673505802,4203.9123,pdcsap_flux
TIC_77228304,15690,14664,14664,14664,6.539196940726577,74.6700925,pdcsap_flux
TIC_7904580,17550,15353,15349,15349,12.541310541310546,827.76733,pdcsap_flux
TIC_80029842,19433,16762,16762,16762,13.744661143415836,1861.02805,pdcsap_flux
TIC_80275202,17376,16912,16912,16912,2.670349907918967,10129.615,pdcsap_flux
TIC_82010657,1083,936,924,924,14.6814404432133,21847.57,pdcsap_flux
TIC_64836837,107877,104934,104928,104928,2.733668900692454,18879.341,pdcsap_flux
TIC_80478272,17991,17991,17986,17986,0.0277916736145855,5295.1735,pdcsap_flux
TIC_81212286,17632,17632,17631,17631,0.0056715063520895,1704.2593,pdcsap_flux
TIC_83210867,1220,903,903,903,25.983606557377048,15197.011,pdcsap_flux
TIC_81231810,18697,14769,14769,14769,21.008717976145903,1051.8522,pdcsap_flux
TIC_81429971,17374,16971,16971,16971,2.319557960170371,14850.179,pdcsap_flux
TIC_82362447,13362,13065,13065,13065,2.222721149528517,83.84086,pdcsap_flux
TIC_82707763,17338,14496,14496,14496,16.39174068520014,13716.5055,pdcsap_flux
TIC_82302240,17771,15591,15591,15591,12.26717686117832,1540.7605,pdcsap_flux
TIC_83053699,17991,17991,17991,17991,0.0,1135.1909,pdcsap_flux
TIC_86005116,18137,18137,18137,18137,0.0,158.11783,pdcsap_flux
TIC_86280613,18798,16476,16460,16460,12.43749335035642,24978.5285,pdcsap_flux
TIC_86451883,17897,14499,14499,14499,18.98642230541432,596.94617,pdcsap_flux
TIC_87044036,16818,14674,14673,14673,12.754191937210136,1895.6487,pdcsap_flux
TIC_89535068,14082,13719,13719,13719,2.5777588410737073,12024.375,pdcsap_flux
TIC_89510024,18319,18319,18310,18310,0.0491293192859898,3902.52745,pdcsap_flux
TIC_89643259,17898,15583,15583,15583,12.934406078891492,9608.802,pdcsap_flux
TIC_89702406,14084,13717,13716,13716,2.6128940641863108,4194.1638,pdcsap_flux
TIC_89759617,18322,18322,18322,18322,0.0,10220.9245,pdcsap_flux
TIC_89876424,18882,18750,18750,18750,0.699078487448368,637.94595,pdcsap_flux
TIC_9102327,1195,1195,1195,1195,0.0,5006.735,pdcsap_flux
TIC_9032368,16921,14785,14769,14769,12.717924472548903,841.0692,pdcsap_flux
TIC_91576611,1208,1132,1112,1112,7.947019867549665,48978.371499999994,pdcsap_flux
TIC_9033144,18299,18299,18173,18173,0.6885622165145655,20698.451,pdcsap_flux
TIC_90504905,18404,10919,10919,10919,40.67050641164964,367.26346,pdcsap_flux
TIC_91869778,16901,14682,14643,14643,13.36015620377492,6690.099,pdcsap_flux
TIC_92359850,15690,14804,14804,14804,5.646908859145949,19287.221,pdcsap_flux
TIC_92013169,17446,17446,17446,17446,0.0,21739.36,pdcsap_flux
TIC_93594834,17259,16772,16770,16770,2.8333043629410692,12304.1515,pdcsap_flux
TIC_92783821,18321,18321,18321,18321,0.0,13022.732,pdcsap_flux
TIC_95122849,14074,12945,12945,12945,8.021884325706974,2508.1614,pdcsap_flux
TIC_93963408,17372,16900,16898,16898,2.7285286668201736,15684.2425,pdcsap_flux
TIC_95129101,15988,15747,15746,15746,1.5136352264198183,7434.68995,pdcsap_flux
TIC_96291218,16870,15585,15573,15573,7.688203912270297,11746.204,pdcsap_flux
TIC_97158538,17458,17458,17458,17458,0.0,49767.19,pdcsap_flux
