host,n_points,SDE,SDE_raw,FAP,period,period_uncertainty,T0,duration,depth,depth_mean,depth_mean_std,depth_mean_even,depth_mean_odd,odd_even_mismatch,rp_rs,snr,transit_count,distinct_transit_count,empty_transit_count,elapsed_s
11_UMi,17584,6.334614605277252,5.372858124955867,0.030972389,5.684632214339306,0.033371570009554,1686.1335471772434,0.0392532774688346,0.9993656504761164,0.9992768529933416,4.4165149276488714e-05,0.9990658951899576,0.9994918676775604,4.726446653183643,0.0226501694792953,26.46907107351184,5.0,4.0,1.0,319.5161137499963
14_And,13878,4.752531670318888,4.180267606957821,,0.9671386313979364,0.0052390347247085,1738.8153041749442,0.0246983892658243,0.9998171182771356,0.9997990052119844,1.4469516089616416e-05,0.999782665213128,0.9998152528944628,0.8064852114047688,0.0121616443529103,14.5713216553888,24.0,20.0,4.0,241.57621041699895
14_Her,18189,6.014592523017869,4.489408729632203,0.055542217,1.601370168941561,0.0035659837688639,1956.0931898284373,0.0343854010453874,0.9999395756878452,0.999943425822665,9.12303551173455e-06,0.9999438702698916,0.9999429882130878,0.0345002155033961,0.0069905766897444,5.711435990534024,17.0,16.0,1.0,231.18397558300055
1RXS_J160929.1-210524,12499,8.333741318841462,6.8694374714990865,0.000880352,10.522941495597612,0.024107359391051,3775.298629481276,0.0341267391277785,0.9928991778224818,0.9942131380357856,0.0005211081761567,0.9942131380357856,,,0.0757811977740377,16.79543074857242,3.0,2.0,1.0,125.00324849999744
24_Boo,17779,5.100274921416428,4.153800872128666,,2.697028686651044,0.0140791561886985,1899.8713583601063,0.0828268188348454,0.9997345368720372,0.9997322237165672,1.0989408730905386e-05,0.9997293716440956,0.99973572938898,0.2013413356417426,0.0146524163447544,23.388393124385473,10.0,9.0,1.0,183.1278835410194
24_Sex,12834,6.385037008210273,5.680270996667879,0.02745098,11.68278775198478,0.0692572341664679,1523.5621472005178,0.1497639933271288,0.999478042339626,0.9995298015449144,3.580099083532782e-05,0.9997126331518836,0.9993185294657502,4.49812722980996,0.0205458817729383,19.606373540292747,2.0,2.0,0.0,111.64921537498594
2MASS_J01033563-5515561_A,18271,10.777015852850395,10.571176628733252,8.0032e-05,0.6665650017691137,0.001606564244989,1354.75062402115,0.0707577925749655,0.9922041678287836,0.9931030933835232,0.0001976892327995,0.993192793994568,0.9930093538967976,0.3289076363018341,0.0794032698852582,29.27036305423609,41.0,39.0,2.0,173.6407226669835
2MASS_J01225093-2439505,12869,5.287052637003328,5.147210939317118,,9.11559119920968,0.0710532399775383,1393.6841211353274,0.0650905218482451,0.9960995753806212,0.996679901020599,0.0003191761279409,0.995519298727584,0.9978405033136138,2.7740722581534563,0.0561646544627721,9.90515926660598,2.0,2.0,0.0,89.63926358299796
2MASS_J02192210-3925225,12295,4.587061638764799,4.8829911682622775,,0.9832461388439532,0.0024361295426849,1386.9191517102015,0.0121185150946442,0.9976005107273412,0.996962563506606,0.0007275179584436,0.9993769000299926,0.9945482269832192,2.449327929978377,0.0440520935854683,4.008768926940741,20.0,17.0,3.0,123.74612633298966
2MASS_J0249-0557_A,3229,5.9698311035744345,5.318702472791561,0.060264106,2.2046639341305694,0.0313571794453839,2146.230407415193,0.2445438384851877,0.9875515312464396,0.9892548396641077,0.0003954740512075,0.9870806071488238,0.9925161884370334,5.08875449239751,0.1003379245571782,21.947411218005843,11.0,10.0,1.0,40.78774054200039
2MASS_J03590986+2009361,14022,4.442684756401221,3.7641004450559175,,6.7272540843613,0.0134455758837996,2448.550493420877,0.0217569973578059,0.9295085748551168,0.9321475066317388,0.0125991165210207,0.9710736714509584,0.8919238029852116,2.518971500932144,0.2387675440379708,7.380960630789419,4.0,4.0,0.0,174.0328340829874
2MASS_J035909862009361,14022,4.442684756401221,3.7641004450559175,,6.7272540843613,0.0134455758837996,2448.550493420877,0.0217569973578059,0.9295085748551168,0.9321475066317388,0.0125991165210207,0.9710736714509584,0.8919238029852116,2.518971500932144,0.2387675440379708,7.380960630789419,4.0,4.0,0.0,178.20742362501915
2MASS_J04372171+2651014,15263,14.390112251908514,13.755367692500736,8.0032e-05,1.8410811595642216,0.0083259408524826,2474.7408367561657,0.0787715463134967,0.9919560685067212,0.9929270540508552,0.0002986445670695,0.9932198636257088,0.9926359618342124,0.6918028932944612,0.0806568632863266,24.906169454975416,13.0,12.0,1.0,191.8786363340041
2MASS_J043721712651014,15263,14.390112251908514,13.755367692500736,8.0032e-05,1.8410811595642216,0.0083259408524826,2474.7408367561657,0.0787715463134967,0.9919560685067212,0.9929270540508552,0.0002986445670695,0.9932198636257088,0.9926359618342124,0.6918028932944612,0.0806568632863266,24.906169454975416,13.0,12.0,1.0,192.31842895800943
2MASS_J04414489+2301513,15204,0.0,0.0,,,-5.63639681055189,0.0,,1.0,,,,,,,,,,,75.85263733399916
2MASS_J044144892301513,15204,0.0,0.0,,,-5.63639681055189,0.0,,1.0,,,,,,,,,,,73.04644054098753
2MASS_J11011926-7732383,11700,5.910127568466366,5.667472427582997,0.065466186,1.05301327666259,0.0017977379811583,1601.697887398219,0.0157247036281444,0.9652573466365498,0.9680057075868154,0.0072417524156646,0.9677650260371822,0.9682463891364484,0.0235041994664663,0.1676249411862397,4.11967113271336,22.0,16.0,6.0,132.21959420799976
2MASS_J11550485-7919108,19512,8.036838259338802,8.113983456899398,0.001280512,12.34915005106628,0.077177472987306,3078.7688371488366,0.1413160850343968,0.9954203108488986,0.9962473736275876,0.000604695530657,0.9961198937545892,0.996374853500586,0.1499600538188076,0.0608590469934689,6.065781944354797,2.0,2.0,0.0,197.98395787499612
2MASS_J19383260+4603591,18394,12.405724290085326,12.383937692916456,8.0032e-05,0.6286118429636037,0.0017702022048857,1683.720090910963,0.0517317669140566,0.931904939309697,0.9409597532428132,0.0005450321660322,0.9407338983737272,0.941209236950105,0.3080844021908561,0.2346739873383553,40.595614398417254,43.0,42.0,1.0,154.06797624999308
2MASS_J193832604603591,18394,3.148703331465248,0.6605563782545446,,0.6513889729203077,0.0010612870627396,1683.445347933649,0.0529634756501055,0.9979457283209184,0.999158870557806,0.0015068840434312,0.9980930556067203,1.000217551540009,0.4985421478910414,0.0407601793477055,0.5501753446992056,42.0,40.0,2.0,172.7681658329966
2MASS_J21252752-8138278,17212,3.3091376017862113,0.6728023155826905,,0.8132254679878682,0.0067884537867229,1657.837979604382,0.0925321721416278,0.9958046143275564,0.9971956116661118,8.937853622449268e-05,0.9946768351735632,1.0000322919878173,30.45193038744694,0.0582496194201194,16.862771288041106,31.0,30.0,1.0,145.36516899999697
2MASS_J223624524751425,107640,5.374299352418158,5.225599594464604,,2.753043868384126,0.0034879618366945,2827.4942144221513,0.028590464671662,0.9994004190270224,0.999411796331134,0.0001492147287163,0.9991860186047636,0.9996353162802404,1.0656794614995664,0.0220206973526173,3.913507541371376,10.0,10.0,0.0,1092.9894165830046
2MASS_J22501512+2325342,16290,9.812674971816316,9.152934550639031,8.0032e-05,0.7381615744717924,0.0045208662259694,2825.4559099457274,0.0714429015665155,0.990587287176792,0.9918755380190772,0.0001381189633211,0.9909240963429338,0.992801484303168,4.9627858801207845,0.0872498223251455,49.028349820428375,38.0,32.0,6.0,239.85371087500243
2MASS_J225015122325342,16290,9.812674971816316,9.152934550639031,8.0032e-05,0.7381615744717924,0.0045208662259694,2825.4559099457274,0.0714429015665155,0.990587287176792,0.9918755380190772,0.0001381189633211,0.9909240963429338,0.992801484303168,4.9627858801207845,0.0872498223251455,49.028349820428375,38.0,32.0,6.0,241.23773037499632
47_UMa,91569,2.950257643050803,0.4060983373814736,,0.6084916440003645,0.0004975032817866,2610.030294052996,0.0153221675968013,0.9999835968957116,0.9999844244369416,3.4906835496543273e-06,0.9999890929306652,0.9999795182148284,0.9697086354006094,0.0036422535048031,4.486715722122769,43.0,37.0,6.0,563.0814243749774
51_Eri,17253,8.951365367087671,8.473201915455913,0.000240096,0.7965631070661653,0.0043449257060413,1438.4865292901916,0.089854250938605,0.9983097583914828,0.9985089436606276,2.233540126489732e-05,0.9984529159047528,0.9985662841008788,1.810475657787889,0.0369727318558996,41.47189840336563,32.0,30.0,2.0,198.21466029199655
51_Peg,111344,8.8519624267698,6.2024767592562124,0.000240096,1.7329885177938795,0.0018817169832681,2826.3863187227357,0.0246020968612065,0.9999675585521732,0.9999691686128434,5.5658197192366765e-06,0.9999708261562308,0.9999674180219807,0.2162670594825359,0.0051222085988272,5.313027152411287,16.0,16.0,0.0,664.5268967089942
55_Cnc,17335,21.69579556210917,21.575957658702997,8.0032e-05,0.7363809780599304,0.0018388718847304,1870.6963387956023,0.0559734895123318,0.9996966989566666,0.999722856354541,4.504806061471771e-06,0.999718553037006,0.9997274896604312,0.7009690497439891,0.0156618874595595,58.60256803268128,37.0,34.0,3.0,191.34370479200152
55_Cnc_B,17335,21.69579556210917,21.575957658702997,8.0032e-05,0.7363809780599304,0.0018388718847304,1870.6963387956023,0.0559734895123318,0.9996966989566666,0.999722856354541,4.504806061471771e-06,0.999718553037006,0.9997274896604312,0.7009690497439891,0.0156618874595595,58.60256803268128,37.0,34.0,3.0,190.2124031250132
61_Vir,15050,4.917855230479042,4.69259966083516,,3.063037815713235,0.0161665915114361,1571.3915282246662,0.0270838705978361,0.999966978864858,0.999960869349691,9.067179736598466e-06,0.9999653328071748,0.9999575503684854,0.3017316012120543,0.0051677696394292,4.441395188640329,8.0,7.0,1.0,103.22457641700748
6_Lyn,17625,4.318365864807172,4.929077269946982,,12.250859887458628,0.027047839029465,1843.003936268238,0.0499287104901835,0.9996140424259148,0.999615057069456,1.931617613493502e-05,0.999615057069456,,,0.0176675744809899,16.646856513304318,3.0,2.0,1.0,192.15849150001304
7_CMa,14621,5.478936478659373,4.503569104936496,,0.9150380771850506,0.003085262103168,1468.505150158325,0.0269954602410609,0.9998742637532212,0.9998652762598366,1.0991342351363232e-05,0.9999179134133572,0.9998161327227,3.3514866232462492,0.010084105789923,16.49995146081001,24.0,23.0,1.0,133.8990984169941
8_UMi,17654,5.6441089861993206,4.480330399365458,,1.2202139441479334,0.0055118867329037,1684.0038567921877,0.0970435500899318,0.9997588095223592,0.9997890335010376,7.929141475747097e-06,0.9998569323957776,0.9997142562812148,6.594493752641899,0.0139664884202122,23.308750509475995,22.0,21.0,1.0,204.30107162499917
AB_Aur,15605,5.9449674710704095,5.606151648226542,0.06282513,10.841205133941546,0.0497459182282193,2476.3679723958976,0.132973992568744,0.9978243984864302,0.9980410779871042,8.636638191061817e-05,0.9986858679779048,0.9961364675527395,12.57302926885097,0.0419466056326319,31.91958444659919,3.0,3.0,0.0,157.533477666002
AB_Pic,18254,6.363572811342615,3.754554572763062,0.028651461,4.038500721574031,0.049280129224676,1327.5604824406971,0.0377801892869159,0.9985719191862676,0.998418350511914,0.0002203159186821,0.9995036527781817,0.996519071545946,4.996925205345649,0.033984707709588,19.823478543863665,7.0,7.0,0.0,197.83817395800725
