host,has_spoc,error
TIC_41875043,False,
TIC_419946164,False,
TIC_420446142,False,
TIC_432422552,False,
TIC_435673126,False,
TIC_444523623,False,
TIC_452810327,False,
TIC_453289469,False,
TIC_469436001,False,
TIC_55390413,False,
TIC_604863428,False,
TIC_74484886,False,
TIC_76505260,False,
TIC_77102895,False,
TIC_78775584,False,
TIC_80174172,False,
TIC_841226527,True,
TIC_84126162,False,
TIC_90919952,False,
