tic_id,sector,n_sectors_observed,sectors_observed,st_rad,st_mass,st_teff
303537262,103,3,"103,102,101",0.143,0.47,34000.0
364420518,103,3,"103,102,101",40.5861,,4017.0
309898261,103,3,"103,102,101",0.170844,0.141148,2877.0
1815679645,103,3,"103,102,101",,,
403050659,103,3,"103,102,101",,,7485.0
2026419057,103,3,"103,102,101",,,
2026029028,103,3,"103,102,101",,,
1112956829,103,3,"103,102,101",,,
381293626,103,3,"103,102,101",0.848274,0.93,5361.0
300441785,103,3,"103,102,101",1.23694,1.03,5768.0
423911734,103,3,"103,102,101",55.1138,,5273.0
396211656,103,3,"103,102,101",79.3964,,3824.0
396118466,103,3,"103,102,101",,,5404.8
464405850,103,3,"103,102,101",1.49858,1.87,7860.0
1689447815,103,3,"103,102,101",0.565905,0.61,3942.0
407885273,103,3,"103,102,101",2.05862,2.29,9044.0
299612431,103,3,"103,102,101",0.834435,0.66,4236.0
402705956,103,3,"103,102,101",3.71818,2.28,9030.0
350172725,103,3,"103,102,101",0.587479,0.577751,3273.0
295376786,103,3,"103,102,101",1.00367,0.75,4702.0
304341456,103,3,"103,102,101",0.258841,0.230491,3217.0
238831201,103,3,"103,102,101",0.318299,0.297598,2965.0
298281735,103,3,"103,102,101",,,
327595545,103,3,"103,102,101",5.16078,,4915.0
1113536772,103,3,"103,102,101",,,
1988647548,103,3,"103,102,101",,,
363592740,103,3,"103,102,101",1.90396,1.61,7189.52
343681524,103,3,"103,102,101",1.80506,2.11,8497.0
447557875,103,3,"103,102,101",3.17283,2.16,8644.0
35920267,103,3,"103,102,101",4.82878,1.93,7998.0
401671176,103,3,"103,102,101",,,
1509222327,103,3,"103,102,101",,,
1988987895,103,3,"103,102,101",,,
341029467,103,3,"103,102,101",2.14291,1.58,7118.0
1206002130,103,3,"103,102,101",,,
71379213,103,3,"103,102,101",61.3285,,4503.0
273365294,103,3,"103,102,101",8.09161,,4524.0
354944747,103,3,"103,102,101",2.75422,1.3,6443.0
40709970,103,3,"103,102,101",73.3791,,5552.0
1922433415,103,3,"103,102,101",,,
1815961134,103,3,"103,102,101",,,
2054959106,103,3,"103,102,101",,,
343646670,103,3,"103,102,101",,,
1816317215,103,3,"103,102,101",,,
219285759,103,3,"103,102,101",10.8967,,4980.3
365893665,103,3,"103,102,101",3.42297,2.26,8958.0
424829832,103,3,"103,102,101",,,3144.0
265467908,103,3,"103,102,101",2.40019,,4953.0
1208919518,103,3,"103,102,101",,,
299878316,103,3,"103,102,101",1.69513,2.02,8245.0
234281396,103,3,"103,102,101",0.678038,0.68,4365.0
276977013,103,3,"103,102,101",38.342,,4006.0
325280344,103,3,"103,102,101",4.75786,,4828.0
