host,n_original,n_after_quality,n_after_outliers,n_final,pct_removed,pre_norm_median_flux,flux_source
1RXS_J160929.1-210524,14061,12499,12499,12499,11.108740487874256,5803.5664,pdcsap_flux
24_Sex,13285,12957,12834,12834,3.3948061723748535,896852.225,pdcsap_flux
14_And,16712,13878,13878,13878,16.957874581139297,3016265.4,pdcsap_flux
2MASS_J0249-0557_A,3439,3229,3229,3229,6.106426286711253,335.99063,pdcsap_flux
2MASS_J01033563-5515561_A,18295,18295,18271,18271,0.1311833834380937,1145.0259,pdcsap_flux
11_UMi,18348,17584,17584,17584,4.163941574013519,4725428.25,pdcsap_flux
24_Boo,18568,17779,17779,17779,4.249246014648856,1996616.1,pdcsap_flux
14_Her,18206,18206,18189,18189,0.0933758101724691,706527.5,pdcsap_flux
2MASS_J02192210-3925225,13537,12331,12295,12295,9.174854103567998,642.5487,pdcsap_flux
2MASS_J01225093-2439505,13538,12892,12869,12869,4.941645737922884,3228.3127,pdcsap_flux
2MASS_J03590986+2009361,16861,14041,14022,14022,16.83767273589941,99.341872,pdcsap_flux
2MASS_J035909862009361,16861,14041,14022,14022,16.83767273589941,99.341872,pdcsap_flux
2MASS_J04372171+2651014,16868,15263,15263,15263,9.515058098174055,946.3767,pdcsap_flux
2MASS_J04414489+2301513,17343,15208,15204,15204,12.333506313786549,20.159413,pdcsap_flux
2MASS_J043721712651014,16868,15263,15263,15263,9.515058098174055,946.3767,pdcsap_flux
2MASS_J11011926-7732383,18186,11700,11700,11700,35.66479709666777,43.656617,pdcsap_flux
2MASS_J044144892301513,17343,15208,15204,15204,12.333506313786549,20.159413,pdcsap_flux
2MASS_J193832604603591,18394,18394,18394,18394,0.0,1679.30165,pdcsap_flux
2MASS_J21252752-8138278,19420,17212,17212,17212,11.369721936148302,20887.3945,pdcsap_flux
2MASS_J11550485-7919108,19515,19515,19512,19512,0.0153727901614164,724.9271,pdcsap_flux
2MASS_J22501512+2325342,19604,16313,16290,16290,16.90471332381147,1849.5882,pdcsap_flux
2MASS_J225015122325342,19604,16313,16290,16290,16.90471332381147,1849.5882,pdcsap_flux
51_Eri,17515,17253,17253,17253,1.4958606908364258,1728738.9,pdcsap_flux
55_Cnc,18225,17347,17335,17335,4.883401920438956,1339412.4,pdcsap_flux
55_Cnc_B,18225,17347,17335,17335,4.883401920438956,1339412.4,pdcsap_flux
61_Vir,16416,15054,15050,15050,8.32115009746589,3809970.8,pdcsap_flux
7_CMa,14664,14621,14621,14621,0.2932351336606631,9455263.0,pdcsap_flux
6_Lyn,17625,17625,17625,17625,0.0,1522726.6,pdcsap_flux
8_UMi,18418,17654,17654,17654,4.148115973504185,661441.0800000001,pdcsap_flux
AB_Aur,16865,15605,15605,15605,7.471093981618737,277533.4,pdcsap_flux
AB_Pic,18276,18276,18254,18254,0.1203764499890569,78672.78,pdcsap_flux
AF_Lep,17651,17314,17314,17314,1.909240269673107,771090.2,pdcsap_flux
AU_Mic,17802,17687,17687,17687,0.6459948320413411,285650.84,pdcsap_flux
BD+05_4868_A,3770,2617,2405,2405,36.206896551724135,36874.625,pdcsap_flux
2MASS_J22362452+4751425,117650,107731,107640,107640,8.508287292817684,5641.27125,pdcsap_flux
2MASS_J223624524751425,117650,107731,107640,107640,8.508287292817684,5641.27125,pdcsap_flux
47_UMa,110786,91577,91569,91569,17.346054555629774,2623747.5,pdcsap_flux
