n_points,SDE,SDE_raw,FAP,period,period_uncertainty,T0,duration,depth,depth_mean,depth_mean_std,depth_mean_even,depth_mean_odd,odd_even_mismatch,rp_rs,snr,transit_count,distinct_transit_count,empty_transit_count,host,label
13874,4.388508366412248,4.3488736222121736,,3.2213082455340185,0.013244134045691691,2797.3982932939803,0.02272515648813543,0.9996195745762575,0.9996765629104946,8.076657542112566e-05,0.9996736829097455,0.9996803069114685,0.028520296309811805,0.01754049775381957,3.8166497016316376,9,7,2,LSPM_J2116+0234,1
14510,5.313812359059313,5.751363281554176,,10.6603934027539,0.07379752210079538,2483.341593065228,0.05412869212367399,0.998645600796053,0.9988368766408571,0.0002070324617535796,0.9986031167209148,0.9990286796520917,0.741496146458892,0.03309637980492908,5.783794158351922,2,2,0,Teegarden's_Star,1
14285,5.016792095594875,3.60312180139759,,0.6112384844071855,0.002187845716241532,1683.869083117203,0.007685056810432691,0.9539924214119043,1.0048348896921018,0.028445606106257685,1.0253824398798101,0.9858507400621539,0.49548120613333085,0.19289538403788303,-0.16112268968680418,44,33,11,WD_1856+534,1
15878,5.382532322321472,5.7429645271663725,,11.2498439863051,0.07404706775383829,2614.0032453657786,0.08285234776041407,0.9981959012625102,0.9983848271698788,0.00031026297025259035,0.9986261785030365,0.9981262364557811,0.5720296790870927,0.03819770744357375,5.279735714059781,2,2,0,TIC_1001477809,0
7793,13.31358491086391,10.01391190171164,8.0032e-05,1.624338161193753,0.011317052934085026,2700.021964123266,0.028332074339163273,0.9987956203355635,0.9988376307682912,0.0001278727904973258,0.9989309318181945,0.9986463636159897,0.7712380726125816,0.031209646803721618,8.6147527642524,11,6,5,TIC_1100766816,0
19609,8.587875123087851,8.112335462724383,0.000480192,5.240616218076584,0.024408937422386145,2394.0322385172512,0.068230016269323,0.9992340566902486,0.9993862534055904,0.00011798993903099368,0.999521946420475,0.9992505603907059,0.8161521997320704,0.024888886109295356,4.861174199276408,5,4,1,TIC_1400212743,0
12086,18.180326865168595,17.179949224759245,8.0032e-05,1.252072132108337,0.003768492038396798,3367.7107846221124,0.021049335479728405,0.9749491225078767,0.9751457339241392,0.0009555513909552047,0.9759588900066557,0.9743325778416225,0.6032059265100701,0.1423372655763582,27.941787684780014,22,14,8,TIC_161687209,0
19475,11.340763381417867,11.12896598324909,8.0032e-05,7.843256273235364,0.0629022242502244,2394.4345174899827,0.15006059953775314,0.9930557999421935,0.9932344522413248,0.00018342290404894284,0.9925803024005266,0.9939016850789388,2.6090497762764997,0.07494078860507808,28.488988199922577,4,4,0,TIC_1717732429,0
13763,16.832999754273327,14.169091565406912,8.0032e-05,4.32005511035333,0.019586846361954624,2797.9842851483513,0.09096525296154988,0.9930518519200086,0.9937216572785802,0.00024253220661354683,0.9937353320796081,0.9937077720959981,0.040258114685069527,0.07496208881623484,26.785740496057805,7,6,1,TIC_1965256662,0
19611,18.086515604216984,17.365824130646605,8.0032e-05,2.759608831662101,0.010498095231114446,2825.6935157451853,0.07369375180512654,0.9932483059193752,0.9942768677479803,0.00021498237207510538,0.9940852144158873,0.9944692443001945,0.6329972320124607,0.07389473991905864,28.44991406085328,10,10,0,TIC_1976308113,0
18880,6.195650403683039,6.007050115786033,0.040016006,2.6304550961334803,0.0152014198851258,2798.5166061468235,0.1056963794581537,0.9987893177596906,0.9989385615823774,0.000198145773309871,0.9988824058520166,0.9989945699223696,0.20015512789732035,0.03129120102920674,5.188641491327751,10,10,0,TIC_1979500576,0
17991,22.42163414199631,14.53621903763932,8.0032e-05,13.58294360579127,0.08521147743792135,2860.215902531161,0.11604962779719499,0.9822248405105474,0.9849058052143419,0.0003419392834184598,0.9846178487122778,0.985193761716406,0.5971200810243251,0.11989854143022263,86.74926834678908,2,2,0,TIC_2041563029,0
18424,15.82928750588715,14.37205607311889,8.0032e-05,5.939786442401952,0.045287712418617065,1685.9813796018548,0.09697951311429973,0.9944783629889014,0.9952329487564265,0.00014841013297319024,0.9954458350088539,0.9949167046857916,1.2894682147598602,0.0668253240375685,55.26459864218431,5,5,0,TIC_258777134,0
16457,20.13667426265716,10.967241168350798,8.0032e-05,8.944980668610368,0.055711160071973964,2915.9798152394496,0.04362306454870854,0.9885785487953185,0.9871855850021044,0.0010907449323361406,0.9871855850021044,,,0.09610982604180583,13.689163170831478,3,2,1,TIC_286696848,0
19605,12.561767253275843,11.633865293473463,8.0032e-05,1.430916006908994,0.00874649649819037,2826.461168454944,0.1216903023785703,0.9999134123508676,0.9999258638288483,5.526168523801483e-06,0.9999177410209752,0.9999348617174175,1.0953815608167852,0.00836825915204692,13.298886596135258,19,19,0,TIC_365683032,0
19022,13.960368460086363,13.09250314367355,8.0032e-05,2.655903417654031,0.015446614037357476,3369.4177740633013,0.08819235182725253,0.9993886756568547,0.9994814040153984,3.1729954750233416e-05,0.9993849938395638,0.9995781183242798,2.1686585883807012,0.022235299919693637,17.337789834863376,10,10,0,TIC_387664868,0
19611,6.998154747764141,6.684386665727672,0.009443778,14.099782195148226,inf,2390.821495792394,0.05979134387539349,0.9980080915520975,0.9977904793828033,0.0003230168611338297,0.9977904793828033,,,0.040136715825303586,5.58574896994286,2,1,1,TIC_841226527,0
