Host Star,Status,search_seconds,download_seconds,write_seconds,search_method
WASP-188,Success,5.604877832985949,1.7724937080056409,2.061273166997126,name
WASP-189,Success,2.9311029580130707,1.537964249990182,1.4470837080152703,name
WASP-19,Success,5.712795749976067,2.143236459000036,1.7250155409856234,name
WASP-190,Success,3.732942208007444,3.565299917012453,5.970370790979359,name
WASP-192,Success,3.67183695800486,3.621663415979128,5.757573792012408,name
WASP-193,Success,4.874250290973578,1.2721832090173848,1.507483042019885,name
WASP-194,Success,11.02621262500179,0.8215436250029597,1.0765568329952655,name
WASP-195,Success,3.941724832984619,2.2020936670014635,1.220609499985585,name
WASP-197,Success,1.8558002500212751,2.1213816670060623,1.588989457988646,name
WASP-2,Success,3.7527067080081906,2.01223162500537,0.9745077080151532,name
WASP-20,Success,3.158198665973032,1.91933100001188,0.6998987080005463,name
WASP-21,Success,2.9904221250035334,1.0435092499828895,3.3431215420132503,name
WASP-22,Success,3.4172580419981387,1.4995849159895442,0.5604970830027014,name
WASP-23,Success,8.955422541999724,0.3876043330237735,0.3164492919750046,name
WASP-24,Success,3.067547374987043,1.2740952500025742,0.8207715840253513,name
WASP-25,Success,5.796355541999219,0.7441775409970433,0.3539992079895455,name
WASP-26,Success,2.049007708003046,1.8469807079818563,2.608693000016501,name
WASP-28,Success,6.017451749998145,0.560372458974598,0.3100350830063689,name
WASP-29,Success,4.229158000001917,0.084499875025358,0.4657802500005346,name
WASP-3,Success,9.602866665984038,0.2532920000085141,0.5937415839871392,name
WASP-31,Success,3.1290890839882195,0.0829556249955203,0.3507123329909518,name
WASP-32,Success,4.637791290995665,0.0854260830092243,0.3325592080072965,name
WASP-33,Success,5.119753874983871,0.0837722499854862,0.3151867919950746,name
WASP-34,Success,3.443153041007463,0.0874324580072425,0.440082833985798,name
WASP-35,Success,20.04052874998888,0.4839423750236165,0.660397625004407,name
WASP-36,Success,5.453134292009054,0.164200457977131,0.4155061659985222,name
WASP-37,Success,2.060863040998811,0.3012310409976635,0.2183701670146547,name
WASP-38,No TESS Data,1.5972627910086885,0.0,0.0,none
WASP-39,Success,2.3233916250173934,0.0828580840025097,0.2155856669996865,name
WASP-4,Success,6.131455750000896,0.1038268749834969,0.4664598329982254,name
WASP-41,Success,3.163876500009792,0.2372483340150211,0.3228663749760017,name
WASP-42,Success,3.9985478750022594,0.3043757079867646,0.3514277909998782,name
WASP-43,Success,2.8125194999738596,0.0841926250141114,0.4370257090195082,name
WASP-44,Success,3.419951374991797,0.1027819580049254,0.2708167909877375,name
WASP-45,Success,5.315805708989501,0.2904777079820633,0.7914894169953186,name
WASP-46,Success,8.614140416990267,0.0832175000105053,0.4769055419892538,name
WASP-47,Success,2.214950667024823,0.4732575000089127,1.743097291997401,name
WASP-48,Success,12.968186707992572,1.00024762499379,0.4964425840007607,name
WASP-49,Success,6.0439752909878734,0.0811898749961983,0.3161126670020167,name
WASP-5,Success,3.0956100419862196,0.2799435839988291,0.760230165993562,name
WASP-50,Success,2.260907000018051,0.8090502499835566,0.3480921250011306,name
WASP-52,Success,5.6796992080053315,0.3966689590015448,2.3229720840172376,name
WASP-53,Success,6.287843708996661,0.7296853750012815,0.3760659169929568,name
WASP-54,Success,1.9191515420097855,0.0839558330189902,0.3077130419842433,name
WASP-55,Success,2.510695166012738,0.3225554579985328,0.3684033339959569,name
WASP-56,Success,1.8952690830046777,0.0860919170081615,0.4314413339889142,name
WASP-57,Success,1.879132457979722,0.1948092090024147,0.2524829170142766,name
WASP-58,Success,6.484911999985343,0.3769762500014622,0.3525612080120481,name
WASP-59,Success,4.913748582999688,0.9661139590025414,0.5813952919852454,name
WASP-6,Success,3.300773041992215,0.660997375001898,0.7688294580148067,name
WASP-60,Success,2.8472740830038674,0.663828332995763,0.8560735000064597,name
WASP-61,Success,13.84239066700684,0.8645022080163471,1.8470097089884805,name
WASP-62,Success,25.31432829200639,0.3874523749982472,1.385243166005239,name
WASP-63,Success,10.341708458028734,1.1905493750236928,1.4452975829772186,name
WASP-64,Success,9.213920375012094,1.353630665980745,1.4447920419916045,name
WASP-65,Success,4.52958000000217,0.527384290995542,2.44074995801202,name
WASP-66,Success,6.167022082983749,0.913416249997681,0.9376840830082074,name
WASP-67,Success,4.8160616249952,1.6813645829970485,4.186310417018831,name
WASP-68,Success,3.1205257079855073,0.1722922920016572,0.3736615829984657,name
WASP-69,Success,3.2662233329901937,1.541509959002724,5.34532995900372,name
WASP-7,Success,3.646998084004736,2.2823915419867262,3.840622624993557,name
WASP-70 A,Success,3.1964085409999825,1.0496698330098295,1.7507505829853471,name
WASP-71,Success,5.826659958984237,0.4418012919777538,0.8281376670056488,name
WASP-72,Success,4.861000832985155,0.425187790999189,0.4647658340109046,name
WASP-73,Success,2.778363416000502,0.7101331670128275,0.7360742919845507,name
WASP-74,Success,2.278806665999582,0.9932761249947362,3.697262500005309,name
WASP-75,Success,5.261419250018662,1.1628531249880325,0.5617983329866547,name
WASP-76,Success,3.762955332989805,1.2899876669980586,1.0527567089884542,name
WASP-77 A,Success,1.9292828750039916,0.7541247909830417,0.9040902919950896,name
WASP-78,Success,6.560164291993715,0.3938573749910574,1.4998404170037247,name
WASP-79,Success,5.977984874974936,0.3744855410186574,1.1702782500069588,name
WASP-8,Success,6.835546250018524,0.9644872500211932,1.0407438750262372,name
WASP-80,Success,3.544757875002688,0.9511413339932916,3.4118223330006003,name
WASP-81,Success,1.86904591700295,0.0837507079995703,0.3971379589929711,name
WASP-82,Success,8.595628542010672,1.5289627499878409,1.429566208011238,name
WASP-83,Success,3.228975000005448,1.1646092500013765,1.024043207988143,name
WASP-84,Success,4.056800666003255,0.2718994590104557,3.727566292014671,name
WASP-85 A,Success,3.169765375001589,1.147711541998433,1.3465562920027878,name
WASP-87,Success,3.1297153750201687,0.9541471670090688,1.349919750005938,name
WASP-88,Success,3.779149666981539,2.3833122919895686,3.36782154100365,name
WASP-89,Success,3.215433708013734,1.435162792011397,1.4859661249793137,name
WASP-90,Success,2.1661703330173623,1.596499750012299,1.128945250005927,name
WASP-91,Success,5.173890457983362,0.4670566669956315,0.9341987919760868,name
WASP-92,Success,4.224458708020393,0.3372196670097764,0.9156479169905652,name
WASP-93,Success,5.014497541997116,0.6778169169847388,0.8377094170136843,name
WASP-94 A,Success,3.697934374999022,0.2167384159984067,0.8800765839987434,name
WASP-94 B,Success,6.170426583004883,0.1677481670049019,0.6640629580069799,name
WASP-95,Success,2.646793833002448,0.8660667499934789,0.5378791659895796,name
WASP-96,Success,3.2893842499761377,0.8597417499986477,0.4736082500021439,name
WASP-97,Success,2.906243417004589,0.5722225839854218,0.3896785409888252,name
WASP-98,Success,3.2260316660103854,0.1931093330204021,0.5660627499746624,name
WASP-99,Success,3.834408833005,0.0846434170089196,0.2884994579944759,name
WD 0806-661,Success,23.782306166016497,0.3562902920239139,0.3756706250132993,name
WD 1856+534,Success,14.118548250000458,0.521142375015188,1.024547499982873,name
WISE J033605.05-014350.4,No TESS Data,2.2142302909924183,0.0,0.0,none
WISEP J121756.91+162640.2 A,No TESS Data,4.297269917005906,0.0,0.0,none
WISPIT 1,Success,7.585110583982896,0.6034602500149049,0.1760717500001192,name
WISPIT 2,Success,1.782564082997851,0.0859937079949304,0.2522844170161988,name
WTS-1,Success,3.879055333993165,0.3688357500068377,0.3865761249908246,name
WTS-2,Success,6.213112375000492,1.0192312910221517,1.0859952920000069,name
Wendelstein-1,Success,2.5247987500042655,0.0843679159879684,0.4601496249961201,name
