host,status,n_original,n_after_quality,n_after_outliers,n_final,pct_removed,pre_norm_median_flux,flux_source,elapsed_s
TIC_10552342,"Skipped: Non-standard schema (missing columns: ['pdcsap_flux', 'pdcsap_flux_err'])",,,,,,,,0.008911959012039006
TIC_114103136,"Skipped: Non-standard schema (missing columns: ['pdcsap_flux', 'pdcsap_flux_err'])",,,,,,,,0.008826832985505462
TIC_126171392,"Skipped: Non-standard schema (missing columns: ['pdcsap_flux', 'pdcsap_flux_err'])",,,,,,,,0.00757625000551343
TIC_117843067,"Skipped: Non-standard schema (missing columns: ['pdcsap_flux', 'pdcsap_flux_err'])",,,,,,,,0.013370958040468395
TIC_126357909,"Skipped: Non-standard schema (missing columns: ['pdcsap_flux', 'pdcsap_flux_err'])",,,,,,,,0.009744665992911905
TIC_126772538,"Skipped: Non-standard schema (missing columns: ['pdcsap_flux', 'pdcsap_flux_err'])",,,,,,,,0.01020620804047212
TIC_131036011,"Skipped: Non-standard schema (missing columns: ['pdcsap_flux', 'pdcsap_flux_err'])",,,,,,,,0.006435666990000755
TIC_125405602,Success,16108.0,11701.0,11701.0,11701.0,27.359076235410974,4964.5757,pdcsap_flux,0.22752145898994058
TIC_141663460,"Skipped: Non-standard schema (missing columns: ['pdcsap_flux', 'pdcsap_flux_err'])",,,,,,,,0.006974333024118096
TIC_13499636,Success,17456.0,12244.0,12244.0,12244.0,29.85792850595783,9319.676,pdcsap_flux,0.21827750001102686
TIC_10974783,Success,16749.0,16749.0,16749.0,16749.0,0.0,1416.4812,pdcsap_flux,0.27638016699347645
TIC_102283403,Success,17446.0,17446.0,17445.0,17445.0,0.00573197294508887,36360.008,pdcsap_flux,0.282200624991674
TIC_144970275,"Skipped: Non-standard schema (missing columns: ['pdcsap_flux', 'pdcsap_flux_err'])",,,,,,,,0.012575457978527993
TIC_103604037,Success,19611.0,19611.0,19611.0,19611.0,0.0,5116.7124,pdcsap_flux,0.3198562079924159
TIC_129991079,Success,19468.0,18785.0,18785.0,18785.0,3.508321347852883,10786.688,pdcsap_flux,0.30917162500554696
TIC_148523092,"Skipped: Non-standard schema (missing columns: ['pdcsap_flux', 'pdcsap_flux_err'])",,,,,,,,0.05472545902011916
TIC_143022742,Success,15691.0,14586.0,14586.0,14586.0,7.042253521126762,1586.10565,pdcsap_flux,0.2501671659993008
TIC_152685831,"Skipped: Non-standard schema (missing columns: ['pdcsap_flux', 'pdcsap_flux_err'])",,,,,,,,0.00556870800210163
TIC_153197346,"Skipped: Non-standard schema (missing columns: ['pdcsap_flux', 'pdcsap_flux_err'])",,,,,,,,0.008909041993319988
TIC_144138509,Success,16915.0,15982.0,15982.0,15982.0,5.51581436594738,9884.0245,pdcsap_flux,0.27315616596024483
TIC_155986102,"Skipped: Non-standard schema (missing columns: ['pdcsap_flux', 'pdcsap_flux_err'])",,,,,,,,0.006880792032461613
TIC_150151262,Success,13540.0,12642.0,12642.0,12642.0,6.632200886262929,17556.048499999997,pdcsap_flux,0.21963883400894701
TIC_150247134,Success,15690.0,14630.0,14602.0,14602.0,6.934353091140855,3605.6289,pdcsap_flux,0.25495495897484943
TIC_149539158,Success,18277.0,16760.0,16759.0,16759.0,8.305520599660776,36220.27,pdcsap_flux,0.3002683339873329
TIC_153949511,Success,18420.0,17086.0,17086.0,17086.0,7.2421281216069495,19536.259,pdcsap_flux,0.2785120419575833
