host,n_points,n_points_original,was_binned,SDE,SDE_raw,FAP,period,period_uncertainty,T0,duration,depth,depth_mean,depth_mean_std,depth_mean_even,depth_mean_odd,odd_even_mismatch,rp_rs,snr,transit_count,distinct_transit_count,empty_transit_count,elapsed_s
TIC_103865797,12209,48839,True,10.626805961433446,10.445617648071936,8.0032e-05,2.225244351769794,0.012230524655749,3436.5437619168492,0.0179641785830293,0.9903992905255892,0.9884507878964482,0.0021597479341312,0.9858426316573377,0.992363022255114,1.0644360604106349,0.0881168189815642,5.368298412665278,8,5,3,23.399618583964184
TIC_124709665,14415,100911,True,4.814561513296705,4.773542842598658,,0.6885849253056601,0.0017794775022892,2202.3886155445384,0.0179688284827486,0.9999027115002704,0.999905100986639,3.152134268982139e-05,0.9998952119554464,0.9999157549152716,0.2299902985673617,0.0088702916612812,2.984398874118585,37,35,2,28.920828333008103
TIC_129319156,13457,107659,True,5.102507108058404,4.745067541478611,,1.432819854458242,0.0045752872910148,2333.942253499287,0.0226814357105962,0.9996946197853834,0.999702836879576,7.856053492974188e-05,0.9996555270646093,0.9997627290921406,0.4825523778333438,0.0157154779937216,3.4262009679028327,19,18,1,33.693556000012904
TIC_139853601,13772,96405,True,16.204115878877964,15.836571702092614,8.0032e-05,0.6804328471886959,0.0018065413696606,2229.5660990581346,0.0287996346133856,0.9998839688034356,0.99989631458234,1.6201798961039793e-05,0.999916700818721,0.9998746452961168,0.9197180812960444,0.0096871167135225,6.5855277726857215,37,36,1,25.15642554103397
TIC_140706664,13410,80463,True,5.699954310292482,5.710710801447297,0.092196879,0.7466173400300319,0.0021086216250535,2255.928260293152,0.0152185175847083,0.9997284246807664,0.9997519005123776,8.862430476427508e-05,0.9997781114349352,0.9997237763837936,0.2174620168892845,0.0148201396562276,3.0838585216065817,33,27,6,28.52786912501324
TIC_141482386,13525,94681,True,4.665197926688951,4.4124684330073825,,0.7063074915381177,0.0019602512404338,2036.6944157494008,0.0173924991577677,0.9998293660028298,0.9998113767778792,5.020227953866653e-05,0.9997593387617564,0.9998634147940024,0.734214017017688,0.0117473505613567,3.740562457466834,34,32,2,33.0497696250095
TIC_143257766,12283,61415,True,6.140628921267793,6.212009313491607,0.043537415,0.6077150483589463,0.0028614010593566,2036.774538628422,0.0130654493484618,0.9992280063713253,0.9991603652432632,9.846016207090104e-05,0.9995349787135724,0.9987886334150342,2.758052693909414,0.0249869935604664,7.601625416744224,33,24,9,27.112571416946594
TIC_143994283,14066,98467,True,5.692702193510549,5.080780508224417,0.093317327,0.7685515197916938,0.0021251638766976,2229.748965514469,0.0188155362997002,0.9997778196247716,0.999784728319347,6.671322025098646e-05,0.9997409370939888,0.9998293062134244,0.4689597305526145,0.0134047893853663,3.401957526634218,32,30,2,29.685552833019756
TIC_149601557,13760,96320,True,4.921311682532192,4.337603011956173,,1.5286632586291449,0.0054654431924975,2037.222165802084,0.0256124233503028,0.999814711029271,0.9998283596085644,5.737037472379949e-05,0.999766019020384,0.9998917221736002,0.7765063213198423,0.0122414237357049,3.058389347077405,16,16,0,21.22959862498101
TIC_155044736,13921,97447,True,4.748228825829939,4.434507920283598,,0.8268137652544864,0.0023453477306255,2229.7135096718616,0.0180712835603186,0.9997310613339692,0.9997216082103144,8.347241446912638e-05,0.999783194203712,0.9996612377299444,0.5169522283700497,0.0147480217708121,3.3688797077474444,30,28,2,25.837683541001752
