host,label,status,r_star_used,m_star_used,period_v3,duration_v3,SDE_v3,depth_v3,chi2red_min,depth_consistency_std,secondary_eclipse_depth,transit_shape_ratio,ttv_std,ttv_amplitude,elapsed_s
2MASS_J12073346-3932539,1.0,Success,0.21887,0.188001,0.3080037242256756,0.0015478475649177,4.983171040671669,0.988565912199834,0.0030775063454347,0.0486222522422266,0.0019084607317412,,1.1126929985034689e-13,2.273736754432321e-13,74.31413712498033
2MASS_J16262785-2625152,1.0,Success,1.0,1.0,1.1974915265617134,0.0734554874405393,11.237531294554744,0.95793883814104,0.0005132994413222,0.0064894319969756,0.0314168470178938,1.0473689628408875,3.215549355384372e-13,9.094947017729282e-13,36.218069708033
2MASS_J19383260+4603591,1.0,Success,0.203,0.48,0.1257646632463427,0.0143921260313284,23.64860699496178,0.9030362932387186,0.0026006037967602,0.0028034971088055,0.0836495434769254,,0.0,0.0,207.90277529199375
2MASS_J21252752-8138278,1.0,Success,0.672832,0.643977,0.812677656129547,0.089640541762202,3.537951750891985,0.9957066310707076,5.5423596710687455e-05,0.0033454106660698,0.0024385341162324,,3.5774962370777834e-13,1.1368683772161605e-12,30.11493908299599
2MASS_J22362452+4751425,1.0,Success,0.641152,0.6,0.5430287144106624,0.015994154755573,5.108914813737708,0.9996399691190416,3.2958372420861408e-06,0.0005415216585364,5.091238529764119e-06,-1.419487362003512,5.300700595649e-13,1.8189894035458565e-12,52.02682129101595
2MASS_J22501512+2325342,1.0,Success,0.437589,0.433173,0.7377543155022988,0.0714429015665154,11.435703315367869,0.9906344731269714,4.732016857654154e-05,0.003912245447929,0.0077686416372618,1.055391641732917,0.0,0.0,84.73266354197403
47_UMa,1.0,Success,1.21334,1.06,2.498516228498011,0.0230919527167138,0.265229285519681,0.9999749000140674,5.11146182632035e-09,2.1982402795062336e-05,-2.8635880200411634e-07,-0.6184271884892074,3.0379062860569545e-13,9.094947017729282e-13,17.720858999993652
4_UMa,1.0,Success,18.11,1.234,12.143614512796397,0.1565655999969832,6.520151586170394,0.9996555246804956,2.3924999142213285e-08,0.0001519457839245,-6.463364174535968e-06,0.0317051122506826,2.835847974267033e-13,6.821210263296962e-13,101.92222404200584
51_Eri,1.0,Success,1.45,1.75,0.7975926634691666,0.0898542509386049,8.200408872130312,0.9983387286714543,2.189688456509336e-06,0.0005916726804421,0.0015559156728751,,6.148145266931661e-13,2.0463630789890885e-12,26.658398291037884
51_Peg,1.0,Success,1.19,1.07,0.971233906325895,0.0201826603842439,5.95592638103288,0.99997634758477,7.310119320080089e-09,1.852257533764708e-05,4.02012162392662e-06,0.5245880249584336,4.70428294020481e-13,1.3642420526593924e-12,17.00048887502635
55_Cnc,1.0,Success,0.98,1.015,0.7358806957505815,0.0559734895123318,18.75665859268711,0.9997230864789732,3.1691599204688005e-08,3.063960875218738e-05,0.000226189212003,0.4553105909687504,1.0854648263852249e-13,2.273736754432321e-13,33.903707167017274
55_Cnc_B,1.0,Success,0.274,0.26,0.7368553294736554,0.0559734895123318,24.811415181735356,0.9997037840367688,3.110921808570564e-08,2.7154136583791983e-05,0.000231332602408,,0.0,0.0,107.21240620902972
61_Vir,1.0,Success,0.963,0.942,3.0686562118932676,0.027083870597836,4.677917623445721,0.9999709751474544,1.0555981349347009e-08,2.893225033073244e-05,2.5888168387888655e-06,0.8032761584536251,9.845568954283849e-14,2.273736754432321e-13,21.30283566698199
6_Lyn,1.0,Success,4.94,1.32,11.958087141675776,0.0499287104901835,4.621806218649183,0.9996598857729504,3.690496315464372e-08,0.0001142107099263,-9.802106124334742e-06,,0.0,0.0,103.00949349999428
70_Vir,1.0,Success,1.89,1.09,2.9702919878236105,0.0343673573449895,4.922214443727941,0.9999247644783394,1.3614247028876756e-08,3.0436948475676137e-05,4.393977406147442e-06,,2.5421149729252077e-13,6.821210263296962e-13,11.024989374971485
75_Cet,1.0,Success,10.38,1.92,1.147937118033697,0.0632269954149729,6.268323948644913,0.9997998056190008,4.79159259299428e-08,0.0001703936509911,0.000121976865725,2.5088581575408515,1.3593789884128528e-13,4.547473508864641e-13,84.7243510420085
7_CMa,1.0,Success,4.87,1.34,1.8283470750409627,0.0539909204821218,5.488275879030344,0.9998194526642826,2.9908974887512895e-08,0.0001279955124202,3.5122619592264925e-05,1.155757795410387,2.17693720459542e-13,6.821210263296962e-13,70.00825358298607
8_UMi,1.0,Success,10.73,1.51,1.2202139441479334,0.0970435500899318,5.580583365369038,0.9997588095223592,1.1389344359087785e-07,0.0001967497993341,0.0001870004146695,0.1104045169489055,1.6664956150921065e-13,4.547473508864641e-13,96.6739420830272
91_Aqr,1.0,Success,11.0,1.4,5.130267730654274,0.0630036490038592,5.0721073841373885,0.9991894318069776,1.0406479372537549e-07,5.31387740898559e-06,-0.0001841782469775,,2.273736754432321e-13,4.547473508864641e-13,56.16816545801703
AB_Aur,1.0,Success,2.95887,2.4,6.674698415601831,0.1208854477897673,2.995024997544,0.9980552512242966,9.60466260821863e-07,0.001248554593838,-2.6888468367847196e-05,1.1148633836581232,2.1436995702562485e-13,4.547473508864641e-13,11.083465875010006
AB_Pic,1.0,Success,0.999394,0.9,4.0389987840988475,0.0377801892869159,6.129363081288338,0.9985710425116388,1.06080023088333e-06,0.0025901843467343,8.910549175800142e-05,,2.342306987146516e-13,6.821210263296962e-13,28.52213129203301
AF_Lep,1.0,Success,1.25,1.218,7.031264467482671,0.0729109832974946,3.859989456038482,0.994406090546794,2.2356459627626243e-06,0.0063754867574681,9.45567378310974e-05,,0.0,0.0,39.53689004096668
AT2021ueyL,1.0,Success,1.0,0.49,0.8684682095767416,0.020781653354323,4.87114125092315,0.9957023275295382,0.0006293394715123,0.0047178686545553,-0.0002515641865887,,2.2277979431084337e-13,4.547473508864641e-13,24.692879125010226
AU_Mic,1.0,Success,0.862,0.635,4.6636828477202625,0.1017751912247521,8.463886641891149,0.9966632516323052,2.149535795300563e-06,0.0027872958567597,-1.5652540241273272e-05,-0.3255046184030786,1.1138989715542168e-13,2.273736754432321e-13,41.703990084002726
BD+03_2562,1.0,Success,32.35,1.14,2.9447396042744978,0.0107418894098343,6.625696891088671,0.99985443177098,1.1624947973612341e-07,0.0002095774440084,6.322378394152395e-07,1.2000757952096317,2.2596577537112965e-13,4.547473508864641e-13,65.53615833399817
BD+05_4868_A,1.0,Success,0.69,0.7,1.2700034740691346,0.0953974732145018,15.359045824910163,0.9958753500032644,1.1174130208742198e-06,0.0006184453805424,0.0035762260528499,,3.108024926666493e-13,9.094947017729282e-13,15.636303583043627
BD+14_4559,1.0,Success,0.86,0.49,2.2968260309561974,0.0288327513594465,4.102088765471364,0.9998239274046472,2.618757049556729e-07,0.0001809089778404,1.8658413454275543e-05,-0.2266153123770627,2.1875425451109314e-13,4.547473508864641e-13,31.88344733300619
BD+15_2375,1.0,Success,8.95,1.08,0.9973030658188734,0.0996742340340208,5.886186150449145,0.9997347576798484,6.851827880105556e-07,0.0002190502388287,0.0002327604834384,,4.885775121847907e-13,1.5916157281026244e-12,98.45747174997814
BD+15_2940,1.0,Success,14.7,1.1,3.0940120670005955,0.0390636803097938,5.592859566546901,0.999374271358654,2.528637749525809e-07,0.0002278986384411,9.62354714917346e-06,,3.1249522677911813e-13,9.094947017729282e-13,37.77097874996253
BD+20_2457,1.0,Success,49.0,2.8,5.095637019290196,0.0476059786225831,5.039893469691735,0.9993508523489724,2.979343360387679e-07,0.0010429060399093,1.8805577892577752e-05,,1.818989403545857e-13,4.547473508864641e-13,89.47746733302483
BD+20_274,1.0,Success,17.3,0.8,9.824215466208829,0.0649448724281964,4.811385329287439,0.9995750418244076,2.085374579901184e-07,0.0001133742941882,3.578037420837177e-05,-2.1663283204121413,,,68.15185070800362
BD+20_594,1.0,Success,1.08,1.67,0.9013418677590188,0.0046327763251604,4.70045980550873,0.9996553680770468,1.696476666191128e-06,0.000574853966372,0.0001034077747633,-0.9141844992085728,2.1827872842550277e-13,4.547473508864641e-13,33.77856200002134
BD+37_3172,1.0,Success,50.24,3.75,1.0981263709278692,0.0204034254917075,6.398711739928389,0.9999371845245904,9.545844934529976e-08,7.110221640107327e-05,-2.9016899949496633e-07,,0.0,0.0,62.156930208031554
BD+42_2315,1.0,Success,17.85,1.38,4.893836551573664,0.0744900286808703,5.455717742094526,0.999111505503173,3.394943055323621e-07,0.0001478221495799,-0.0001021862981147,,3.71299657184739e-13,9.094947017729282e-13,51.49843566596974
BD+45_564,1.0,Success,0.813064,0.81,9.051420982397287,0.0314885301541619,4.650541238572638,0.999678916850488,3.132860961546922e-07,7.643002251819728e-05,-1.909412898903895e-07,0.4889722267766093,1.0718497851281241e-13,2.273736754432321e-13,30.261537292040884
BD+48_738,1.0,Success,11.0,0.74,2.9682326244254837,0.1903529885835768,5.047494461046938,0.9997920492578496,1.0327350581900966e-07,0.0001371936429516,0.0001199188203593,0.5975452523609387,3.183231456205249e-13,9.094947017729282e-13,68.51098183298018
BD+49_828,1.0,Success,7.6,1.52,1.2523906538002072,0.1383810497429095,6.5113010844841375,0.9998271999806628,1.7438394980597489e-07,0.0001230698013597,0.0001632299840154,-0.7840340948219899,2.2358384877307645e-13,4.547473508864641e-13,52.516440792009234
BD+55_362,1.0,Success,0.896193,0.909,3.4702296077554875,0.2821194093080317,4.596635287563881,0.9996520867528622,5.9355511868992335e-08,0.0001974278101063,0.0001004031810729,2.940817369190018,1.452637127385833e-13,4.547473508864641e-13,2.6160290829720907
BD+60_1417,1.0,Success,0.797,1.0,12.74275761688249,0.0835284080396734,8.343741528810176,0.9995131659683372,4.03417046287893e-07,0.0001896660844902,9.981550424420504e-06,-0.6124897861171319,,,39.981829249998555
BD+63_1405,1.0,Success,0.804724,0.816,0.6604040963546238,0.0046716726353832,5.115952697501269,0.999931112795448,1.70971262206757e-07,0.0002782746487804,1.5907277387205987e-05,,3.9672471385561593e-13,1.3642420526593924e-12,36.96199937496567
BD-06_1339,1.0,Success,0.686355,0.7,0.509374004324834,0.0037062195432393,4.700732162483412,0.999918078305018,1.7929702978852882e-07,0.0002664290601769,8.686765506804583e-06,,1.6747379459327177e-13,4.547473508864641e-13,29.82698000001255
BD-08_2823,1.0,Success,0.71,0.5,1.8596639736707032,0.0109244808640813,5.563824570804172,0.9997618396352832,3.187200478160573e-07,0.0002660737146419,1.943842241547422e-05,,1.3088529112001693e-13,4.547473508864641e-13,30.176067083957605
BD-10_3166,1.0,Success,0.91,1.47,0.6248823089058338,0.0304587991155828,5.957410332810848,0.9998385310021904,7.249075184947023e-07,0.0001720543748757,3.541930656036918e-05,0.1140521853867991,2.757616326802167e-13,9.094947017729282e-13,37.51949604199035
BD-11_4672,1.0,Success,0.639,0.651,7.324130480681659,0.0401748109433865,6.015445317886838,0.9995092614461726,3.464916513384125e-07,0.0002067321936959,1.979756245640285e-05,,2.1436995702562485e-13,4.547473508864641e-13,38.804852167028
BD-13_2130,1.0,Success,19.17,2.12,0.9899701258805856,0.0392466292275931,11.3778108775072,0.9995806263027142,6.055467215698817e-07,0.0002114026533421,0.0001194646999649,,9.710746100637437e-14,2.273736754432321e-13,85.76275787502527
BD-14_3065_A,1.0,Success,2.35,1.41,4.27984978011974,0.0813693746919716,9.962306439042834,0.9968639551722638,1.8813427931254856e-06,0.0003717002148552,-0.0004509395584986,,6.778973261133887e-13,1.8189894035458565e-12,13.888753208972048
BD-210397,1.0,Success,0.747,0.69,5.794591886321281,0.1033641657448817,6.947746599081605,0.9996407745571234,2.1817080331188026e-07,0.0002134134067464,2.8544712411537887e-06,,3.595093471822542e-13,9.094947017729282e-13,25.866722584003583
BEBOP-3,1.0,Success,1.414,1.083,6.614846228099679,0.0850281497917207,12.25010947844605,0.9991098875599224,3.3042244576432033e-07,0.000124575983332,-3.149366362542594e-05,,2.5421149729252077e-13,6.821210263296962e-13,20.874299624993
BEBOP-4_A,1.0,Success,2.75645,1.507,12.33033016798776,0.0574291913900412,3.425007419514173,0.9993481487407287,4.276442211048584e-07,,1.7115742279583124e-05,,,,10.128304290992672
Barnard's_star,1.0,Success,0.185,0.162,0.164360262291777,0.0071566639204031,7.1945883630963525,0.999958760188006,3.939739430576469e-08,8.473427620857243e-05,7.290663086911842e-06,0.3235382421553969,6.858403607722174e-13,2.273736754432321e-12,76.58620958402753
CD-35_2722,1.0,Success,0.558549,0.4,10.574570271867351,0.0939121597189558,6.040740177666664,0.9931447460691432,2.5441929663322332e-06,0.0052563703149861,2.711355096773893e-06,-0.8440001081387409,,,37.28713320899987
CD_Cet,1.0,Success,0.175,0.161,0.3722842008475832,0.0020708854642532,7.294541915856652,0.9995370445416676,2.6432854184713315e-06,0.0014724110005047,7.781979966381414e-05,-2.6594594399902496,2.2529896459035217e-13,6.821210263296962e-13,105.3666133749648
