host,status,t_search,t_download,search_method,n_sectors_downloaded
TIC_1922582683,Success,0.3928791250218637,7.776282625040039,tic_id_spoc,3.0
TIC_410397673,I/O operation on closed file.,,,,
TIC_1509709867,"Error in reading Data product /Users/anujtripathi/.cache/lightkurve/mastDownload/TESS/tess2026060005000-s0101-0000001509709867-0303-s/tess2026060005000-s0101-0000001509709867-0303-s_lc.fits of type TessLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again.",,,,
TIC_464275366,I/O operation on closed file.,,,,
TIC_1988262914,I/O operation on closed file.,,,,
TIC_331634064,I/O operation on closed file.,,,,
TIC_304907445,Success,0.5163238749955781,13.414656250039116,tic_id_spoc,3.0
TIC_293246090,I/O operation on closed file.,,,,
TIC_414077635,I/O operation on closed file.,,,,
TIC_310952994,Success,0.9565120419720188,14.558014083013404,tic_id_spoc,3.0
TIC_349859612,I/O operation on closed file.,,,,
TIC_327710325,I/O operation on closed file.,,,,
TIC_363212626,I/O operation on closed file.,,,,
TIC_469872864,Success,0.6144032500451431,14.909364207996989,tic_id_spoc,3.0
TIC_340390410,I/O operation on closed file.,,,,
TIC_381242179,Success,0.6594675410306081,12.653924124955664,tic_id_spoc,3.0
TIC_327303945,I/O operation on closed file.,,,,
TIC_303537262,I/O operation on closed file.,,,,
TIC_380834439,I/O operation on closed file.,,,,
TIC_364420518,I/O operation on closed file.,,,,
TIC_309898261,I/O operation on closed file.,,,,
TIC_1815679645,I/O operation on closed file.,,,,
TIC_403050659,I/O operation on closed file.,,,,
TIC_2026419057,Success,0.9007047079503536,12.450477833976038,tic_id_spoc,3.0
TIC_2026029028,Success,0.9549357499927282,12.375495832995512,tic_id_spoc,3.0
TIC_1112956829,"Error in reading Data product /Users/anujtripathi/.cache/lightkurve/mastDownload/TESS/tess2026060005000-s0101-0000001112956829-0303-s/tess2026060005000-s0101-0000001112956829-0303-s_lc.fits of type TessLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again.",,,,
TIC_381293626,I/O operation on closed file.,,,,
TIC_300441785,I/O operation on closed file.,,,,
TIC_423911734,I/O operation on closed file.,,,,
TIC_396211656,I/O operation on closed file.,,,,
TIC_396118466,I/O operation on closed file.,,,,
TIC_342361818,I/O operation on closed file.,,,,
TIC_464405850,I/O operation on closed file.,,,,
