host,label,status,elapsed_s,SDE,SDE_raw,FAP,period,period_uncertainty,T0,duration,depth,depth_mean,depth_mean_std,depth_mean_even,depth_mean_odd,odd_even_mismatch,rp_rs,snr,transit_count,distinct_transit_count,empty_transit_count,chi2red_min,depth_consistency_std,secondary_eclipse_depth,transit_shape_ratio,depth_duration_ratio,st_rad,st_teff,st_mass
KIC_5631630,1,TLS: Required feature(s) not computable: ['transit_shape_ratio'],1355.3810560703278,,,,,,,,,,,,,,,,,,,,,,,,,,
KIC_9391506,1,TLS: Required feature(s) not computable: ['transit_shape_ratio'],2335.1233220100403,,,,,,,,,,,,,,,,,,,,,,,,,,
KIC_3645438,1,TLS: Required feature(s) not computable: ['transit_shape_ratio'],2672.8759500980377,,,,,,,,,,,,,,,,,,,,,,,,,,
KIC_7584650,1,TLS: Required feature(s) not computable: ['transit_shape_ratio'],2872.7332561016083,,,,,,,,,,,,,,,,,,,,,,,,,,
KIC_3937519,1,TLS: Required feature(s) not computable: ['transit_shape_ratio'],3409.129896879196,,,,,,,,,,,,,,,,,,,,,,,,,,
KIC_8573193,1,TLS: Required feature(s) not computable: ['transit_shape_ratio'],3708.2644259929657,,,,,,,,,,,,,,,,,,,,,,,,,,
KIC_7288306,1,TLS: Required feature(s) not computable: ['transit_shape_ratio'],4422.079936027527,,,,,,,,,,,,,,,,,,,,,,,,,,
KIC_5794379,1,Success,4955.858164072037,67.70842041009553,25.19364492184074,8.0032e-05,368.06049612932964,0.48206217337849466,168.60864867886576,1.1479890958603811,0.969574916154859,0.9730835241635538,0.002540121030151547,0.9835274277108301,0.9661209217987028,2.957678452795746,0.15686391095391497,43.57542673382492,4.0,4.0,0.0,1.1011859481107653e-05,0.023509838200395473,-1.3523221704225818e-05,-0.8520366320754966,0.8445854752898969,0.686,4702.0,0.67
KIC_7219825,1,TLS: Required feature(s) not computable: ['transit_shape_ratio'],2665.7364852428436,,,,,,,,,,,,,,,,,,,,,,,,,,
KIC_5866724,1,TLS: Required feature(s) not computable: ['transit_shape_ratio'],2269.708930015564,,,,,,,,,,,,,,,,,,,,,,,,,,
KIC_11074178,1,Success,3333.1656787395477,56.657705901856474,20.6219079066528,8.0032e-05,371.13098030441904,0.6567240418466156,257.4562593825864,1.4554627961041344,0.9753567981242632,0.977552435978462,0.0013277393895372934,0.9830864208275305,0.9718339849677576,3.6232345144932383,0.1411743231505011,51.15775776369347,4.0,4.0,0.0,9.195140739329934e-06,0.007629024470373619,-7.049405034376122e-06,0.08957247285168572,0.6701351630113939,0.846,5741.0,0.938
KIC_4913852,1,"TLS: Required feature(s) not computable: ['depth_mean_even', 'odd_even_mismatch', 'transit_shape_ratio']",5228.243313789368,,,,,,,,,,,,,,,,,,,,,,,,,,
KIC_3326377,1,TLS: Required feature(s) not computable: ['transit_shape_ratio'],4304.930500030518,,,,,,,,,,,,,,,,,,,,,,,,,,
