scenario,auc,auc_delta,flipped
all measured,0.9031559838011451,0.0,
transit_shape_ratio imputed,0.9037145650048874,0.0005585812037423032,19.0
FAP imputed,0.8978544496977676,-0.005301534103377525,50.0
BOTH imputed (the real long-period case),0.8981736389570492,-0.004982344844095987,54.0
