threshold,n_flagged_as_positive,precision,recall,f1
0.1,1077,0.8040854224698236,0.9988465974625144,0.8909465020576132
0.2,1048,0.8244274809160306,0.9965397923875432,0.9023498694516972
0.3,1007,0.846077457795432,0.9826989619377162,0.9092849519743863
0.4,977,0.8628454452405322,0.972318339100346,0.9143167028199566
0.5,927,0.8813376483279396,0.9423298731257209,0.9108138238573021
0.6,869,0.9010356731875719,0.903114186851211,0.902073732718894
0.7,803,0.9190535491905355,0.8512110726643599,0.8838323353293414
0.8,703,0.9402560455192034,0.76239907727797,0.8420382165605096
0.9,562,0.9733096085409253,0.6309111880046137,0.7655703289013296
