model,cv_roc_auc_mean,cv_roc_auc_std,cv_precision_mean,cv_precision_std,cv_recall_mean,cv_recall_std,cv_f1_mean,cv_f1_std,test_roc_auc,test_precision,test_recall,test_f1
LogisticRegression,0.8036572831229162,0.013538778562396213,0.9057870571226146,0.006030059409459536,0.7154792053927501,0.016431376887013294,0.7993896259683547,0.012023927881120522,0.7629573976297808,0.8943452380952381,0.6931949250288351,0.7810266406757634
RandomForest,0.9064064608094675,0.013123419769645142,0.9126682076273109,0.0100959627062731,0.8907469091907133,0.01299446943185686,0.9015108191725911,0.008914371054046298,0.8818336802731404,0.89988358556461,0.8915801614763552,0.895712630359212
HistGradientBoosting,0.9090369004373692,0.014626861650084307,0.9294049309229356,0.011229258421831628,0.8564450599032731,0.01335783097767989,0.8913668125749419,0.009742835207449346,0.8840945330557815,0.9214929214929215,0.825836216839677,0.8710462287104623
